fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
719468,H. Osmers,2021-12-03,748.0,Stadion An der Alten Försterei,Berlin,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2021,Regular Season - 14,182,Union Berlin,https://media-4.api-sports.io/football/teams/182.png,True,173,RB Leipzig,https://media-4.api-sports.io/football/teams/173.png,False,2,1,1,1,2,1,47,1694.79418945,19,1794.5480957
719620,D. Schlager,2022-04-23,738.0,Red Bull Arena,Leipzig,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2021,Regular Season - 31,173,RB Leipzig,https://media-4.api-sports.io/football/teams/173.png,False,182,Union Berlin,https://media-4.api-sports.io/football/teams/182.png,True,1,2,0,0,1,2,10,1855.35449219,47,1701.43664551
