fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
187467,,2010-08-21,,Stade Vélodrome (Marseille),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 3,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,True,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,False,2,0,1,0,2,0,14,1788.67980957,46,1675.24121094
187471,,2010-08-21,,Stade de l'Abbé Deschamps (Auxerre),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 3,108,Auxerre,https://media-4.api-sports.io/football/teams/108.png,0,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,0,1,1,0,0,1,1,32,1731.03942871,55,1660.50244141
187468,,2010-08-21,,Stade Municipal du Ray (Nice),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 3,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,0,1,1,1,0,1,1,72,1628.64001465,81,1616.36437988
187473,,2010-08-22,,Stade Auguste-Bonal (Montbéliard),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 3,115,Sochaux,https://media-4.api-sports.io/football/teams/115.png,0,79,Lille,https://media-4.api-sports.io/football/teams/79.png,0,0,0,0,0,0,0,95,1564.78356934,20,1774.37133789
187472,,2010-08-22,,Stade de la Mosson (Montpellier),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 3,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,0,88,Caen,https://media-4.api-sports.io/football/teams/88.png,0,0,0,0,0,0,0,44,1686.58959961,86,1610.14831543
187476,,2010-08-28,,Stade Yves Allainmat - Le Moustoir (Lorient),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,True,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,False,2,0,1,0,2,0,47,1677.4855957,11,1811.5736084
187477,,2010-08-28,,Stade Marcel Picot (Tomblaine),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,False,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,True,0,2,0,0,0,2,75,1626.27185059,50,1671.81030273
187479,,2010-08-28,,Stade Nungesser (Valenciennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,False,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,True,0,1,0,1,0,1,49,1671.90466309,43,1689.85144043
187481,,2010-08-29,,Stadium Nord Lille Métropole (Villeneuve d'Ascq),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,79,Lille,https://media-4.api-sports.io/football/teams/79.png,0,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,1,1,0,1,1,1,17,1781.83422852,71,1633.53271484
187482,,2010-08-29,,Stade Louis II. (Monaco),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,True,108,Auxerre,https://media-4.api-sports.io/football/teams/108.png,False,2,0,0,0,2,0,55,1660.24572754,25,1752.0213623
187484,,2010-08-29,,Stade Jacques Chaban-Delmas (Bordeaux),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 4,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,0,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,0,1,1,0,1,1,1,29,1746.54663086,12,1801.23571777
