,fixture_id,fixture_referee,fixture_date,venue_name,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
14,194551,M Oliver,2010-08-28,Bloomfield Road (Blackpool),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,1356,Blackpool,https://media-4.api-sports.io/football/teams/1356.png,0,36,Fulham,https://media-4.api-sports.io/football/teams/36.png,0,2,2,0,1,2,2,95,1568.58996582,35,1724.72473145
15,194549,P Dowd,2010-08-28,White Hart Lane (London),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,47,Tottenham,https://media-4.api-sports.io/football/teams/47.png,False,61,Wigan,https://media-4.api-sports.io/football/teams/61.png,True,0,1,0,0,0,1,15,1794.45019531,94,1568.76306152
16,194548,S Attwell,2010-08-28,"Molineux Stadium (Wolverhampton, West Midlands)",Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,39,Wolves,https://media-4.api-sports.io/football/teams/39.png,0,34,Newcastle,https://media-4.api-sports.io/football/teams/34.png,0,1,1,1,0,1,1,81,1617.51904297,37,1704.86096191
17,194547,C Foy,2010-08-28,Ewood Park (Blackburn),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,67,Blackburn,https://media-4.api-sports.io/football/teams/67.png,False,42,Arsenal,https://media-4.api-sports.io/football/teams/42.png,True,1,2,1,1,1,2,40,1696.74084473,7,1871.57202148
18,194555,L Probert,2010-08-29,Anfield (Liverpool),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,40,Liverpool,https://media-4.api-sports.io/football/teams/40.png,True,60,West Brom,https://media-4.api-sports.io/football/teams/60.png,False,1,0,0,0,1,0,8,1835.50073242,73,1632.78063965
19,194556,M Jones,2010-08-29,Villa Park (Birmingham),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,66,Aston Villa,https://media-4.api-sports.io/football/teams/66.png,True,45,Everton,https://media-4.api-sports.io/football/teams/45.png,False,1,0,1,0,1,0,34,1727.57519531,22,1764.33374023
20,194553,K Friend,2010-08-29,Reebok Stadium (Bolton),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 36,68,Bolton,https://media-4.api-sports.io/football/teams/68.png,0,54,Birmingham,https://media-4.api-sports.io/football/teams/54.png,0,2,2,0,1,2,2,68,1637.53015137,60,1652.37402344
21,194538,A Marriner,2010-09-11,The DW Stadium (Wigan),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,61,Wigan,https://media-4.api-sports.io/football/teams/61.png,0,746,Sunderland,https://media-4.api-sports.io/football/teams/746.png,0,1,1,0,0,1,1,91,1583.67480469,66,1643.74499512
22,194540,H Webb,2010-09-11,"The Hawthorns, West Bromwich (West Bromwich)",Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,60,West Brom,https://media-4.api-sports.io/football/teams/60.png,0,47,Tottenham,https://media-4.api-sports.io/football/teams/47.png,0,1,1,1,1,1,1,73,1630.57836914,16,1779.53845215
23,194541,L Mason,2010-09-11,Sports Direct Arena (Newcastle-upon-Tyne),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,34,Newcastle,https://media-4.api-sports.io/football/teams/34.png,False,1356,Blackpool,https://media-4.api-sports.io/football/teams/1356.png,True,0,2,0,1,0,2,38,1704.93054199,94,1570.47753906
