,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
,,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,2018-02-10 Tottenham-Arsenal,2018-02-10,Matchweek 27,Sat,Away,L,0,1,Tottenham,1,0,0,9,13,6,12,11,9,0,0,0,52,13,16,44.8,12:30:00
ENG-Premier League,1718,Arsenal,2018-03-01 Arsenal-Manchester City,2018-03-01,Matchweek 28,Thu,Home,L,0,3,Manchester City,1,0,0,11,11,0,14,13,17,1,0,0,70,6,9,40.0,19:45:00
ENG-Premier League,1718,Arsenal,2018-03-04 Brighton-Arsenal,2018-03-04,Matchweek 29,Sun,Away,L,1,2,Brighton,3,0,0,12,12,0,25,8,8,0,0,0,49,19,18,51.4,13:30:00
ENG-Premier League,1718,Arsenal,2018-03-11 Arsenal-Watford,2018-03-11,Matchweek 30,Sun,Home,W,3,0,Watford,2,0,0,12,9,5,9,8,13,0,1,0,54,20,17,54.1,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-01 Arsenal-Stoke City,2018-04-01,Matchweek 32,Sun,Home,W,3,0,Stoke City,1,0,0,9,13,3,16,11,9,2,0,0,56,23,26,46.9,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-08 Arsenal-Southampton,2018-04-08,Matchweek 33,Sun,Home,W,3,2,Southampton,2,1,0,11,7,1,18,8,6,0,0,0,51,23,23,50.0,14:15:00
ENG-Premier League,1718,Arsenal,2018-04-15 Newcastle Utd-Arsenal,2018-04-15,Matchweek 34,Sun,Away,L,1,2,Newcastle Utd,0,0,0,9,11,2,22,9,15,0,0,0,70,20,21,48.8,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-22 Arsenal-West Ham,2018-04-22,Matchweek 35,Sun,Home,W,4,1,West Ham,3,0,0,11,9,1,27,10,3,0,0,0,55,9,11,45.0,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-29 Manchester Utd-Arsenal,2018-04-29,Matchweek 36,Sun,Away,L,1,2,Manchester Utd,1,0,0,7,12,1,6,13,19,0,0,0,58,6,5,54.5,16:30:00
ENG-Premier League,1718,Arsenal,2018-05-06 Arsenal-Burnley,2018-05-06,Matchweek 37,Sun,Home,W,5,0,Burnley,0,0,0,6,7,0,14,13,8,0,0,0,57,10,14,41.7,16:30:00
ENG-Premier League,1718,Arsenal,2018-05-09 Leicester City-Arsenal,2018-05-09,Matchweek 31,Wed,Away,L,1,3,Leicester City,2,1,0,12,6,1,17,11,13,0,1,0,52,12,14,46.2,19:45:00
ENG-Premier League,1718,Arsenal,2018-05-13 Huddersfield-Arsenal,2018-05-13,Matchweek 38,Sun,Away,W,1,0,Huddersfield,0,0,0,7,10,2,5,8,9,0,0,0,55,12,23,34.3,15:00:00
