,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
,,,,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,2017-08-11 Arsenal-Leicester City,2017-08-11,Matchweek 1,Fri,Home,W,4,3,Leicester City,681,621,55,15,2,8,20,21,9,3,3,0,565,5,15,19:45:00
ENG-Premier League,1718,Arsenal,2017-08-19 Stoke City-Arsenal,2017-08-19,Matchweek 2,Sat,Away,L,0,1,Stoke City,785,733,49,10,7,7,24,21,9,3,3,0,674,3,10,17:30:00
ENG-Premier League,1718,Arsenal,2017-08-27 Liverpool-Arsenal,2017-08-27,Matchweek 3,Sun,Away,L,0,4,Liverpool,578,531,42,8,1,4,7,18,3,2,0,0,465,5,13,16:00:00
ENG-Premier League,1718,Arsenal,2017-09-09 Arsenal-Bournemouth,2017-09-09,Matchweek 4,Sat,Home,W,3,0,Bournemouth,627,572,51,9,5,4,12,26,10,1,4,0,494,4,8,15:00:00
ENG-Premier League,1718,Arsenal,2017-09-17 Chelsea-Arsenal,2017-09-17,Matchweek 5,Sun,Away,D,0,0,Chelsea,552,510,40,14,1,6,8,15,1,0,1,0,433,2,12,13:30:00
ENG-Premier League,1718,Arsenal,2017-09-25 Arsenal-West Brom,2017-09-25,Matchweek 6,Mon,Home,W,2,0,West Brom,660,614,46,13,4,9,18,19,7,3,1,1,565,0,5,20:00:00
ENG-Premier League,1718,Arsenal,2017-10-01 Arsenal-Brighton,2017-10-01,Matchweek 7,Sun,Home,W,2,0,Brighton,734,693,39,9,1,3,12,17,6,4,0,0,636,2,9,12:00:00
ENG-Premier League,1718,Arsenal,2017-10-14 Watford-Arsenal,2017-10-14,Matchweek 8,Sat,Away,L,1,2,Watford,586,546,40,9,7,6,13,15,5,4,0,0,464,0,6,17:30:00
ENG-Premier League,1718,Arsenal,2017-10-22 Everton-Arsenal,2017-10-22,Matchweek 9,Sun,Away,W,5,2,Everton,666,605,60,14,2,5,15,30,7,7,0,0,549,1,15,13:30:00
ENG-Premier League,1718,Arsenal,2017-10-28 Arsenal-Swansea City,2017-10-28,Matchweek 10,Sat,Home,W,2,1,Swansea City,856,812,42,10,6,9,18,23,5,5,0,0,735,2,7,15:00:00
ENG-Premier League,1718,Arsenal,2017-11-05 Manchester City-Arsenal,2017-11-05,Matchweek 11,Sun,Away,L,1,3,Manchester City,492,429,60,17,3,3,8,27,5,4,0,0,399,3,11,14:15:00
ENG-Premier League,1718,Arsenal,2017-11-18 Arsenal-Tottenham,2017-11-18,Matchweek 12,Sat,Home,W,2,0,Tottenham,447,387,52,16,7,4,16,21,7,6,0,0,304,8,15,12:30:00
ENG-Premier League,1718,Arsenal,2017-11-26 Burnley-Arsenal,2017-11-26,Matchweek 13,Sun,Away,W,1,0,Burnley,681,637,41,11,1,3,17,20,5,4,1,0,557,3,8,14:00:00
ENG-Premier League,1718,Arsenal,2017-11-29 Arsenal-Huddersfield,2017-11-29,Matchweek 14,Wed,Home,W,5,0,Huddersfield,848,804,42,14,7,5,11,17,7,3,3,0,739,2,5,19:45:00
ENG-Premier League,1718,Arsenal,2017-12-02 Arsenal-Manchester Utd,2017-12-02,Matchweek 15,Sat,Home,L,1,3,Manchester Utd,717,662,51,8,2,2,26,24,12,11,0,0,594,4,13,17:30:00
ENG-Premier League,1718,Arsenal,2017-12-10 Southampton-Arsenal,2017-12-10,Matchweek 16,Sun,Away,D,1,1,Southampton,806,760,45,15,1,1,17,19,5,3,1,0,696,1,15,12:00:00
ENG-Premier League,1718,Arsenal,2017-12-13 West Ham-Arsenal,2017-12-13,Matchweek 17,Wed,Away,D,0,0,West Ham,754,708,46,11,2,11,23,21,7,5,2,0,639,0,15,20:00:00
ENG-Premier League,1718,Arsenal,2017-12-16 Arsenal-Newcastle Utd,2017-12-16,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,801,752,48,11,2,3,10,21,7,4,1,0,679,1,16,15:00:00
ENG-Premier League,1718,Arsenal,2017-12-22 Arsenal-Liverpool,2017-12-22,Matchweek 19,Fri,Home,D,3,3,Liverpool,559,498,58,11,3,3,14,27,7,6,0,1,414,3,9,19:45:00
ENG-Premier League,1718,Arsenal,2017-12-28 Crystal Palace-Arsenal,2017-12-28,Matchweek 20,Thu,Away,W,3,2,Crystal Palace,698,641,54,12,2,2,15,22,4,1,0,1,580,3,11,20:00:00
ENG-Premier League,1718,Arsenal,2017-12-31 West Brom-Arsenal,2017-12-31,Matchweek 21,Sun,Away,D,1,1,West Brom,685,637,46,13,3,10,10,18,6,3,2,0,571,2,5,16:30:00
ENG-Premier League,1718,Arsenal,2018-01-03 Arsenal-Chelsea,2018-01-03,Matchweek 22,Wed,Home,D,2,2,Chelsea,637,590,45,13,2,4,20,9,10,7,1,0,534,2,13,19:45:00
ENG-Premier League,1718,Arsenal,2018-01-14 Bournemouth-Arsenal,2018-01-14,Matchweek 23,Sun,Away,L,1,2,Bournemouth,598,547,47,8,10,1,13,24,5,4,1,0,440,4,17,13:30:00
ENG-Premier League,1718,Arsenal,2018-01-20 Arsenal-Crystal Palace,2018-01-20,Matchweek 24,Sat,Home,W,4,1,Crystal Palace,755,724,28,8,4,0,9,8,5,3,1,0,661,3,11,15:00:00
ENG-Premier League,1718,Arsenal,2018-01-30 Swansea City-Arsenal,2018-01-30,Matchweek 25,Tue,Away,L,1,3,Swansea City,948,906,39,4,3,4,21,23,3,0,3,0,859,3,10,19:45:00
ENG-Premier League,1718,Arsenal,2018-02-03 Arsenal-Everton,2018-02-03,Matchweek 26,Sat,Home,W,5,1,Everton,582,543,38,10,3,1,10,13,4,2,2,0,488,1,6,17:30:00
ENG-Premier League,1718,Arsenal,2018-02-10 Tottenham-Arsenal,2018-02-10,Matchweek 27,Sat,Away,L,0,1,Tottenham,549,503,40,13,6,1,12,10,2,1,1,0,438,6,12,12:30:00
ENG-Premier League,1718,Arsenal,2018-03-01 Arsenal-Manchester City,2018-03-01,Matchweek 28,Thu,Home,L,0,3,Manchester City,585,535,50,10,1,1,14,28,6,1,1,1,454,0,13,19:45:00
ENG-Premier League,1718,Arsenal,2018-03-04 Brighton-Arsenal,2018-03-04,Matchweek 29,Sun,Away,L,1,2,Brighton,666,607,59,18,2,1,25,20,11,9,2,0,553,0,13,13:30:00
ENG-Premier League,1718,Arsenal,2018-03-11 Arsenal-Watford,2018-03-11,Matchweek 30,Sun,Home,W,3,0,Watford,540,490,45,12,4,2,9,17,4,1,2,0,440,5,13,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-01 Arsenal-Stoke City,2018-04-01,Matchweek 32,Sun,Home,W,3,0,Stoke City,690,641,46,14,1,0,16,18,6,3,0,0,574,3,6,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-08 Arsenal-Southampton,2018-04-08,Matchweek 33,Sun,Home,W,3,2,Southampton,751,701,49,8,2,2,18,24,8,3,4,0,626,1,11,14:15:00
ENG-Premier League,1718,Arsenal,2018-04-15 Newcastle Utd-Arsenal,2018-04-15,Matchweek 34,Sun,Away,L,1,2,Newcastle Utd,747,698,47,11,1,7,22,22,5,4,1,0,621,2,11,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-22 Arsenal-West Ham,2018-04-22,Matchweek 35,Sun,Home,W,4,1,West Ham,683,639,43,9,0,5,27,20,8,3,5,0,584,1,15,13:30:00
ENG-Premier League,1718,Arsenal,2018-04-29 Manchester Utd-Arsenal,2018-04-29,Matchweek 36,Sun,Away,L,1,2,Manchester Utd,467,426,40,14,1,3,6,18,0,0,0,0,381,1,4,16:30:00
ENG-Premier League,1718,Arsenal,2018-05-06 Arsenal-Burnley,2018-05-06,Matchweek 37,Sun,Home,W,5,0,Burnley,698,670,28,7,3,3,14,14,4,1,1,0,613,0,8,16:30:00
ENG-Premier League,1718,Arsenal,2018-05-09 Leicester City-Arsenal,2018-05-09,Matchweek 31,Wed,Away,L,1,3,Leicester City,523,467,55,13,3,7,17,21,6,4,2,0,412,1,14,19:45:00
ENG-Premier League,1718,Arsenal,2018-05-13 Huddersfield-Arsenal,2018-05-13,Matchweek 38,Sun,Away,W,1,0,Huddersfield,561,508,51,10,2,1,5,27,4,4,0,0,448,2,13,15:00:00
ENG-Premier League,1718,Bournemouth,2017-08-12 West Brom-Bournemouth,2017-08-12,Matchweek 1,Sat,Away,L,0,1,West Brom,657,612,45,17,1,1,24,14,2,0,0,0,550,0,7,15:00:00
ENG-Premier League,1718,Bournemouth,2017-08-19 Bournemouth-Watford,2017-08-19,Matchweek 2,Sat,Home,L,0,2,Watford,483,423,59,21,0,1,15,21,8,5,1,0,366,1,7,15:00:00
ENG-Premier League,1718,Bournemouth,2017-08-26 Bournemouth-Manchester City,2017-08-26,Matchweek 3,Sat,Home,L,1,2,Manchester City,289,236,53,17,1,1,9,19,2,2,0,0,168,0,7,12:30:00
ENG-Premier League,1718,Bournemouth,2017-09-09 Arsenal-Bournemouth,2017-09-09,Matchweek 4,Sat,Away,L,0,3,Arsenal,453,397,56,17,0,1,20,27,3,1,1,0,321,0,8,15:00:00
ENG-Premier League,1718,Bournemouth,2017-09-15 Bournemouth-Brighton,2017-09-15,Matchweek 5,Fri,Home,W,2,1,Brighton,688,644,43,12,4,6,18,16,6,1,2,0,594,1,4,20:00:00
