league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Brentford,2022-08-20 Fulham-Brentford,2022-08-20,15:00:00,Matchweek 3,Sat,Away,L,2,3,Fulham,1.8,2.4,57,21798,Pontus Jansson,4-3-3,Peter Bankes
ENG-Premier League,2223,Brentford,2022-08-27 Brentford-Everton,2022-08-27,15:00:00,Matchweek 4,Sat,Home,D,1,1,Everton,2.1,1.1,58,17009,Christian Nørgaard,4-3-3,John Brooks
ENG-Premier League,2223,Brentford,2022-08-30 Crystal Palace-Brentford,2022-08-30,19:30:00,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1.4,1.0,51,25043,Ivan Toney,4-3-3,Simon Hooper
ENG-Premier League,2223,Brentford,2022-09-03 Brentford-Leeds United,2022-09-03,15:00:00,Matchweek 6,Sat,Home,W,5,2,Leeds United,2.3,1.7,32,17092,Pontus Jansson,4-3-3,Robert Jones
ENG-Premier League,2223,Brentford,2022-09-18 Brentford-Arsenal,2022-09-18,12:00:00,Matchweek 8,Sun,Home,L,0,3,Arsenal,0.5,1.5,37,17122,Pontus Jansson,3-5-2,David Coote
ENG-Premier League,2223,Brentford,2022-10-01 Bournemouth-Brentford,2022-10-01,15:00:00,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.9,0.4,58,10126,Pontus Jansson,4-3-3,Thomas Bramall
ENG-Premier League,2223,Brentford,2022-10-08 Newcastle Utd-Brentford,2022-10-08,15:00:00,Matchweek 10,Sat,Away,L,1,5,Newcastle Utd,1.2,1.5,46,52067,Ivan Toney,3-5-2,John Brooks
ENG-Premier League,2223,Brentford,2022-10-14 Brentford-Brighton,2022-10-14,20:00:00,Matchweek 11,Fri,Home,W,2,0,Brighton,1.5,1.9,28,17016,Ivan Toney,4-3-3,Michael Salisbury
ENG-Premier League,2223,Brentford,2022-10-19 Brentford-Chelsea,2022-10-19,19:30:00,Matchweek 12,Wed,Home,D,0,0,Chelsea,1.3,0.9,34,17118,Ivan Toney,3-5-2,Jarred Gillett
ENG-Premier League,2223,Brentford,2022-10-23 Aston Villa-Brentford,2022-10-23,14:00:00,Matchweek 13,Sun,Away,L,0,4,Aston Villa,0.9,2.8,55,41693,Ivan Toney,3-5-2,Darren England
ENG-Premier League,2223,Brentford,2022-10-29 Brentford-Wolves,2022-10-29,15:00:00,Matchweek 14,Sat,Home,D,1,1,Wolves,1.4,0.6,58,17051,Ivan Toney,4-3-3,Robert Madley
ENG-Premier League,2223,Brentford,2022-11-05 Nott'ham Forest-Brentford,2022-11-05,15:00:00,Matchweek 15,Sat,Away,D,2,2,Nott'ham Forest,1.5,1.5,52,28869,David Raya,4-3-3,Andre Marriner
ENG-Premier League,2223,Brentford,2022-11-12 Manchester City-Brentford,2022-11-12,12:30:00,Matchweek 16,Sat,Away,W,2,1,Manchester City,1.3,1.6,26,52786,Ivan Toney,3-5-2,Peter Bankes
ENG-Premier League,2223,Brentford,2022-12-26 Brentford-Tottenham,2022-12-26,12:30:00,Matchweek 17,Mon,Home,D,2,2,Tottenham,2.0,1.1,39,17137,Christian Nørgaard,3-5-2,David Coote
ENG-Premier League,2223,Brentford,2022-12-30 West Ham-Brentford,2022-12-30,19:45:00,Matchweek 18,Fri,Away,W,2,0,West Ham,1.6,1.3,37,62467,Christian Nørgaard,3-5-2,Darren England
ENG-Premier League,2223,Brentford,2023-01-02 Brentford-Liverpool,2023-01-02,17:30:00,Matchweek 19,Mon,Home,W,3,1,Liverpool,1.7,2.0,28,17163,Christian Nørgaard,3-5-2,Stuart Attwell
ENG-Premier League,2223,Brentford,2023-01-14 Brentford-Bournemouth,2023-01-14,17:30:00,Matchweek 20,Sat,Home,W,2,0,Bournemouth,1.4,0.6,50,17031,Christian Nørgaard,4-3-3,Jarred Gillett
ENG-Premier League,2223,Brentford,2023-01-22 Leeds United-Brentford,2023-01-22,14:00:00,Matchweek 21,Sun,Away,D,0,0,Leeds United,0.4,0.5,42,36260,Christian Nørgaard,3-5-2,Peter Bankes
ENG-Premier League,2223,Brentford,2023-02-04 Brentford-Southampton,2023-02-04,15:00:00,Matchweek 22,Sat,Home,W,3,0,Southampton,2.2,0.7,49,17051,Christian Nørgaard,4-3-3,Darren Bond
ENG-Premier League,2223,Brentford,2023-02-11 Arsenal-Brentford,2023-02-11,15:00:00,Matchweek 23,Sat,Away,D,1,1,Arsenal,2.0,1.6,31,60254,Christian Nørgaard,3-5-2,Peter Bankes
ENG-Premier League,2223,Brentford,2023-02-18 Brentford-Crystal Palace,2023-02-18,15:00:00,Matchweek 24,Sat,Home,D,1,1,Crystal Palace,0.9,1.1,59,17122,Christian Nørgaard,4-3-3,Paul Tierney
ENG-Premier League,2223,Brentford,2023-03-06 Brentford-Fulham,2023-03-06,20:00:00,Matchweek 26,Mon,Home,W,3,2,Fulham,2.2,1.4,37,17025,Christian Nørgaard,4-3-3,Anthony Taylor
ENG-Premier League,2223,Brentford,2023-03-11 Everton-Brentford,2023-03-11,15:00:00,Matchweek 27,Sat,Away,L,0,1,Everton,2.0,1.0,67,39274,Christian Nørgaard,4-3-3,Simon Hooper
ENG-Premier League,2223,Brentford,2023-03-15 Southampton-Brentford,2023-03-15,19:30:00,Matchweek 7,Wed,Away,W,2,0,Southampton,1.9,0.5,34,30438,Christian Nørgaard,4-3-3,Michael Salisbury
ENG-Premier League,2223,Brentford,2023-03-18 Brentford-Leicester City,2023-03-18,15:00:00,Matchweek 28,Sat,Home,D,1,1,Leicester City,0.6,1.3,53,17006,Christian Nørgaard,4-3-3,Darren Bond
ENG-Premier League,2223,Brentford,2023-04-01 Brighton-Brentford,2023-04-01,15:00:00,Matchweek 29,Sat,Away,D,3,3,Brighton,1.6,4.2,28,31493,Pontus Jansson,5-3-2,Michael Oliver
ENG-Premier League,2223,Brentford,2023-04-05 Manchester Utd-Brentford,2023-04-05,20:00:00,Matchweek 25,Wed,Away,L,0,1,Manchester Utd,0.7,1.2,36,73309,Pontus Jansson,5-3-2,John Brooks
ENG-Premier League,2223,Brentford,2023-04-08 Brentford-Newcastle Utd,2023-04-08,15:00:00,Matchweek 30,Sat,Home,L,1,2,Newcastle Utd,2.6,1.3,42,17107,Pontus Jansson,5-3-2,Chris Kavanagh
ENG-Premier League,2223,Brentford,2023-04-15 Wolves-Brentford,2023-04-15,15:00:00,Matchweek 31,Sat,Away,L,0,2,Wolves,1.1,0.8,50,30769,Christian Nørgaard,4-3-3,Paul Tierney
ENG-Premier League,2223,Brentford,2023-04-22 Brentford-Aston Villa,2023-04-22,15:00:00,Matchweek 32,Sat,Home,D,1,1,Aston Villa,2.7,1.5,44,17098,Christian Nørgaard,4-3-3,Michael Salisbury
ENG-Premier League,2223,Brentford,2023-04-26 Chelsea-Brentford,2023-04-26,19:45:00,Matchweek 33,Wed,Away,W,2,0,Chelsea,1.1,1.3,29,39929,Ivan Toney,5-3-2,Andy Madley
ENG-Premier League,2223,Brentford,2023-04-29 Brentford-Nott'ham Forest,2023-04-29,15:00:00,Matchweek 34,Sat,Home,W,2,1,Nott'ham Forest,1.6,0.7,68,17080,Ivan Toney,4-3-3,Peter Bankes
ENG-Premier League,2223,Brentford,2023-05-06 Liverpool-Brentford,2023-05-06,17:30:00,Matchweek 35,Sat,Away,L,0,1,Liverpool,0.2,2.2,46,52838,Ivan Toney,5-3-2,Anthony Taylor
ENG-Premier League,2223,Brentford,2023-05-14 Brentford-West Ham,2023-05-14,14:00:00,Matchweek 36,Sun,Home,W,2,0,West Ham,3.4,0.2,53,17075,David Raya,4-3-3,Michael Oliver
ENG-Premier League,2223,Brentford,2023-05-20 Tottenham-Brentford,2023-05-20,12:30:00,Matchweek 37,Sat,Away,W,3,1,Tottenham,1.3,1.8,39,61514,David Raya,4-3-3,Jarred Gillett
ENG-Premier League,2223,Brentford,2023-05-28 Brentford-Manchester City,2023-05-28,16:30:00,Matchweek 38,Sun,Home,W,1,0,Manchester City,1.3,1.6,35,17120,David Raya,5-3-2,John Brooks
ENG-Premier League,2223,Brighton,2022-08-07 Manchester Utd-Brighton,2022-08-07,14:00:00,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,1.5,1.4,38,73711,Lewis Dunk,3-3-3-1,Paul Tierney
ENG-Premier League,2223,Brighton,2022-08-13 Brighton-Newcastle Utd,2022-08-13,15:00:00,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,1.5,0.2,54,31552,Lewis Dunk,3-4-1-2,Graham Scott
ENG-Premier League,2223,Brighton,2022-08-21 West Ham-Brighton,2022-08-21,14:00:00,Matchweek 3,Sun,Away,W,2,0,West Ham,1.7,0.8,50,62449,Lewis Dunk,3-5-1-1,Anthony Taylor
ENG-Premier League,2223,Brighton,2022-08-27 Brighton-Leeds United,2022-08-27,15:00:00,Matchweek 4,Sat,Home,W,1,0,Leeds United,2.0,1.8,44,30953,Lewis Dunk,4-4-2,Michael Salisbury
ENG-Premier League,2223,Brighton,2022-08-30 Fulham-Brighton,2022-08-30,19:30:00,Matchweek 5,Tue,Away,L,1,2,Fulham,1.4,0.7,61,22224,Lewis Dunk,3-5-2,Thomas Bramall
ENG-Premier League,2223,Brighton,2022-09-04 Brighton-Leicester City,2022-09-04,14:00:00,Matchweek 6,Sun,Home,W,5,2,Leicester City,2.6,1.4,53,31185,Lewis Dunk,3-5-2,Tony Harrington
ENG-Premier League,2223,Brighton,2022-10-01 Liverpool-Brighton,2022-10-01,15:00:00,Matchweek 9,Sat,Away,D,3,3,Liverpool,1.4,1.5,46,53320,Lewis Dunk,3-4-3,Andy Madley
ENG-Premier League,2223,Brighton,2022-10-08 Brighton-Tottenham,2022-10-08,17:30:00,Matchweek 10,Sat,Home,L,0,1,Tottenham,0.7,0.8,59,31498,Lewis Dunk,3-4-3,Tony Harrington
ENG-Premier League,2223,Brighton,2022-10-14 Brentford-Brighton,2022-10-14,20:00:00,Matchweek 11,Fri,Away,L,0,2,Brentford,1.9,1.5,72,17016,Lewis Dunk,4-4-2,Michael Salisbury
ENG-Premier League,2223,Brighton,2022-10-18 Brighton-Nott'ham Forest,2022-10-18,19:30:00,Matchweek 12,Tue,Home,D,0,0,Nott'ham Forest,1.7,0.1,70,31463,Lewis Dunk,3-4-3,Darren England
ENG-Premier League,2223,Brighton,2022-10-22 Manchester City-Brighton,2022-10-22,15:00:00,Matchweek 13,Sat,Away,L,1,3,Manchester City,0.5,1.6,52,53223,Lewis Dunk,3-4-1-2,Craig Pawson
ENG-Premier League,2223,Brighton,2022-10-29 Brighton-Chelsea,2022-10-29,15:00:00,Matchweek 14,Sat,Home,W,4,1,Chelsea,2.4,1.4,41,31746,Lewis Dunk,4-2-3-1,Andy Madley
ENG-Premier League,2223,Brighton,2022-11-05 Wolves-Brighton,2022-11-05,15:00:00,Matchweek 15,Sat,Away,W,3,2,Wolves,1.5,1.2,71,30732,Lewis Dunk,4-2-3-1,Graham Scott
ENG-Premier League,2223,Brighton,2022-11-13 Brighton-Aston Villa,2022-11-13,14:00:00,Matchweek 16,Sun,Home,L,1,2,Aston Villa,0.6,1.5,65,31581,Lewis Dunk,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Brighton,2022-12-26 Southampton-Brighton,2022-12-26,15:00:00,Matchweek 17,Mon,Away,W,3,1,Southampton,0.6,1.9,66,31010,Lewis Dunk,4-2-3-1,Robert Jones
ENG-Premier League,2223,Brighton,2022-12-31 Brighton-Arsenal,2022-12-31,17:30:00,Matchweek 18,Sat,Home,L,2,4,Arsenal,1.2,2.9,68,31647,Lewis Dunk,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Brighton,2023-01-03 Everton-Brighton,2023-01-03,19:45:00,Matchweek 19,Tue,Away,W,4,1,Everton,2.2,1.3,51,39103,Lewis Dunk,4-2-3-1,Andre Marriner
ENG-Premier League,2223,Brighton,2023-01-14 Brighton-Liverpool,2023-01-14,15:00:00,Matchweek 20,Sat,Home,W,3,0,Liverpool,1.9,1.0,61,31645,Lewis Dunk,4-2-3-1,Darren England
ENG-Premier League,2223,Brighton,2023-01-21 Leicester City-Brighton,2023-01-21,15:00:00,Matchweek 21,Sat,Away,D,2,2,Leicester City,1.7,0.9,63,32056,Lewis Dunk,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Brighton,2023-02-04 Brighton-Bournemouth,2023-02-04,15:00:00,Matchweek 22,Sat,Home,W,1,0,Bournemouth,2.2,1.1,71,31600,Lewis Dunk,3-4-3,Craig Pawson
ENG-Premier League,2223,Brighton,2023-02-11 Crystal Palace-Brighton,2023-02-11,15:00:00,Matchweek 23,Sat,Away,D,1,1,Crystal Palace,2.5,1.1,73,24827,Lewis Dunk,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Brighton,2023-02-18 Brighton-Fulham,2023-02-18,15:00:00,Matchweek 24,Sat,Home,L,0,1,Fulham,2.2,0.3,65,31619,Lewis Dunk,4-2-3-1,Darren England
ENG-Premier League,2223,Brighton,2023-03-04 Brighton-West Ham,2023-03-04,15:00:00,Matchweek 26,Sat,Home,W,4,0,West Ham,3.5,0.3,65,31523,Lewis Dunk,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Brighton,2023-03-11 Leeds United-Brighton,2023-03-11,15:00:00,Matchweek 27,Sat,Away,D,2,2,Leeds United,2.7,0.9,62,36471,Lewis Dunk,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Brighton,2023-03-15 Brighton-Crystal Palace,2023-03-15,19:30:00,Matchweek 8,Wed,Home,W,1,0,Crystal Palace,0.6,1.1,57,30933,Lewis Dunk,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Brighton,2023-04-01 Brighton-Brentford,2023-04-01,15:00:00,Matchweek 29,Sat,Home,D,3,3,Brentford,4.2,1.6,72,31493,Lewis Dunk,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Brighton,2023-04-04 Bournemouth-Brighton,2023-04-04,19:45:00,Matchweek 7,Tue,Away,W,2,0,Bournemouth,2.7,1.7,63,10266,Lewis Dunk,4-2-3-1,Darren Bond
ENG-Premier League,2223,Brighton,2023-04-08 Tottenham-Brighton,2023-04-08,15:00:00,Matchweek 30,Sat,Away,L,1,2,Tottenham,1.4,0.8,65,61405,Lewis Dunk,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Brighton,2023-04-15 Chelsea-Brighton,2023-04-15,15:00:00,Matchweek 31,Sat,Away,W,2,1,Chelsea,2.9,0.5,57,40126,Lewis Dunk,4-2-3-1,Robert Jones
ENG-Premier League,2223,Brighton,2023-04-26 Nott'ham Forest-Brighton,2023-04-26,19:30:00,Matchweek 33,Wed,Away,L,1,3,Nott'ham Forest,2.3,2.4,74,28808,Lewis Dunk,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Brighton,2023-04-29 Brighton-Wolves,2023-04-29,15:00:00,Matchweek 34,Sat,Home,W,6,0,Wolves,3.3,0.8,57,31584,Lewis Dunk,4-2-3-1,David Coote
ENG-Premier League,2223,Brighton,2023-05-04 Brighton-Manchester Utd,2023-05-04,20:00:00,Matchweek 28,Thu,Home,W,1,0,Manchester Utd,2.3,1.4,59,31577,Lewis Dunk,4-2-3-1,Andre Marriner
ENG-Premier League,2223,Brighton,2023-05-08 Brighton-Everton,2023-05-08,17:30:00,Matchweek 35,Mon,Home,L,1,5,Everton,3.2,2.3,78,31567,Lewis Dunk,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Brighton,2023-05-14 Arsenal-Brighton,2023-05-14,16:30:00,Matchweek 36,Sun,Away,W,3,0,Arsenal,1.7,0.9,59,60139,Lewis Dunk,4-2-3-1,Andy Madley
ENG-Premier League,2223,Brighton,2023-05-18 Newcastle Utd-Brighton,2023-05-18,19:30:00,Matchweek 25,Thu,Away,L,1,4,Newcastle Utd,0.5,3.6,65,52122,Lewis Dunk,4-2-3-1,Robert Jones
ENG-Premier League,2223,Brighton,2023-05-21 Brighton-Southampton,2023-05-21,14:00:00,Matchweek 37,Sun,Home,W,3,1,Southampton,2.5,0.6,63,31507,Lewis Dunk,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Brighton,2023-05-24 Brighton-Manchester City,2023-05-24,20:00:00,Matchweek 32,Wed,Home,D,1,1,Manchester City,2.2,1.8,40,31388,Pascal Groß,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Brighton,2023-05-28 Aston Villa-Brighton,2023-05-28,16:30:00,Matchweek 38,Sun,Away,L,1,2,Aston Villa,1.4,2.8,59,,Pascal Groß,4-4-2,David Coote
ENG-Premier League,2223,Chelsea,2022-08-06 Everton-Chelsea,2022-08-06,17:30:00,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,0.7,62,39254,César Azpilicueta,3-4-3,Craig Pawson
ENG-Premier League,2223,Chelsea,2022-08-14 Chelsea-Tottenham,2022-08-14,16:30:00,Matchweek 2,Sun,Home,D,2,2,Tottenham,1.6,1.0,63,39946,Jorginho,3-5-2,Anthony Taylor
ENG-Premier League,2223,Chelsea,2022-08-21 Leeds United-Chelsea,2022-08-21,14:00:00,Matchweek 3,Sun,Away,L,0,3,Leeds United,0.9,2.1,61,36372,Jorginho,3-5-2,Stuart Attwell
ENG-Premier League,2223,Chelsea,2022-08-27 Chelsea-Leicester City,2022-08-27,15:00:00,Matchweek 4,Sat,Home,W,2,1,Leicester City,1.8,2.5,45,39953,Jorginho,4-4-2,Paul Tierney
ENG-Premier League,2223,Chelsea,2022-08-30 Southampton-Chelsea,2022-08-30,19:45:00,Matchweek 5,Tue,Away,L,1,2,Southampton,1.1,1.1,67,31542,César Azpilicueta,4-2-2-2,Michael Oliver
ENG-Premier League,2223,Chelsea,2022-09-03 Chelsea-West Ham,2022-09-03,15:00:00,Matchweek 6,Sat,Home,W,2,1,West Ham,0.9,1.1,67,39923,Thiago Silva,3-1-4-2,Andy Madley
ENG-Premier League,2223,Chelsea,2022-10-01 Crystal Palace-Chelsea,2022-10-01,15:00:00,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,1.1,0.4,64,25198,Jorginho,4-2-2-2,Chris Kavanagh
ENG-Premier League,2223,Chelsea,2022-10-08 Chelsea-Wolves,2022-10-08,15:00:00,Matchweek 10,Sat,Home,W,3,0,Wolves,1.9,1.1,57,39940,César Azpilicueta,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Chelsea,2022-10-16 Aston Villa-Chelsea,2022-10-16,14:00:00,Matchweek 11,Sun,Away,W,2,0,Aston Villa,0.9,1.8,58,41754,Thiago Silva,3-4-3,Robert Jones
ENG-Premier League,2223,Chelsea,2022-10-19 Brentford-Chelsea,2022-10-19,19:30:00,Matchweek 12,Wed,Away,D,0,0,Brentford,0.9,1.3,66,17118,César Azpilicueta,3-5-1-1,Jarred Gillett
ENG-Premier League,2223,Chelsea,2022-10-22 Chelsea-Manchester Utd,2022-10-22,17:30:00,Matchweek 13,Sat,Home,D,1,1,Manchester Utd,1.1,0.8,48,39503,César Azpilicueta,3-4-3,Stuart Attwell
ENG-Premier League,2223,Chelsea,2022-10-29 Brighton-Chelsea,2022-10-29,15:00:00,Matchweek 14,Sat,Away,L,1,4,Brighton,1.4,2.4,59,31746,Thiago Silva,3-4-3,Andy Madley
ENG-Premier League,2223,Chelsea,2022-11-06 Chelsea-Arsenal,2022-11-06,12:00:00,Matchweek 15,Sun,Home,L,0,1,Arsenal,0.3,2.1,45,40142,César Azpilicueta,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Chelsea,2022-11-12 Newcastle Utd-Chelsea,2022-11-12,17:30:00,Matchweek 16,Sat,Away,L,0,1,Newcastle Utd,0.3,1.0,51,52264,César Azpilicueta,3-4-3,Robert Jones
ENG-Premier League,2223,Chelsea,2022-12-27 Chelsea-Bournemouth,2022-12-27,17:30:00,Matchweek 17,Tue,Home,W,2,0,Bournemouth,1.8,0.5,60,40046,Jorginho,4-3-3,Simon Hooper
ENG-Premier League,2223,Chelsea,2023-01-01 Nott'ham Forest-Chelsea,2023-01-01,16:30:00,Matchweek 18,Sun,Away,D,1,1,Nott'ham Forest,0.9,1.4,71,29229,César Azpilicueta,4-3-3,Peter Bankes
ENG-Premier League,2223,Chelsea,2023-01-05 Chelsea-Manchester City,2023-01-05,20:00:00,Matchweek 19,Thu,Home,L,0,1,Manchester City,0.4,2.0,48,39998,César Azpilicueta,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Chelsea,2023-01-12 Fulham-Chelsea,2023-01-12,20:00:00,Matchweek 7,Thu,Away,L,1,2,Fulham,2.1,1.0,52,24460,César Azpilicueta,3-5-2,David Coote
ENG-Premier League,2223,Chelsea,2023-01-15 Chelsea-Crystal Palace,2023-01-15,14:00:00,Matchweek 20,Sun,Home,W,1,0,Crystal Palace,1.5,0.7,61,40075,Jorginho,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Chelsea,2023-01-21 Liverpool-Chelsea,2023-01-21,12:30:00,Matchweek 21,Sat,Away,D,0,0,Liverpool,1.6,1.4,52,53126,Jorginho,3-4-3,Michael Oliver
ENG-Premier League,2223,Chelsea,2023-02-03 Chelsea-Fulham,2023-02-03,20:00:00,Matchweek 22,Fri,Home,D,0,0,Fulham,1.3,0.6,66,40041,Thiago Silva,4-3-3,Stuart Attwell
ENG-Premier League,2223,Chelsea,2023-02-11 West Ham-Chelsea,2023-02-11,12:30:00,Matchweek 23,Sat,Away,D,1,1,West Ham,1.1,1.3,71,62471,Thiago Silva,4-2-3-1,Craig Pawson
ENG-Premier League,2223,Chelsea,2023-02-18 Chelsea-Southampton,2023-02-18,15:00:00,Matchweek 24,Sat,Home,L,0,1,Southampton,1.6,0.6,62,40152,César Azpilicueta,4-2-3-1,David Coote
ENG-Premier League,2223,Chelsea,2023-02-26 Tottenham-Chelsea,2023-02-26,13:30:00,Matchweek 25,Sun,Away,L,0,2,Tottenham,0.4,0.8,59,61613,Thiago Silva,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Chelsea,2023-03-04 Chelsea-Leeds United,2023-03-04,15:00:00,Matchweek 26,Sat,Home,W,1,0,Leeds United,1.5,1.0,57,39905,Mateo Kovačić,3-4-3,Michael Oliver
ENG-Premier League,2223,Chelsea,2023-03-11 Leicester City-Chelsea,2023-03-11,15:00:00,Matchweek 27,Sat,Away,W,3,1,Leicester City,1.6,2.4,52,32170,Mateo Kovačić,3-4-3,Andre Marriner
ENG-Premier League,2223,Chelsea,2023-03-18 Chelsea-Everton,2023-03-18,17:30:00,Matchweek 28,Sat,Home,D,2,2,Everton,2.3,1.2,68,40025,Mateo Kovačić,3-4-3,Darren England
ENG-Premier League,2223,Chelsea,2023-04-01 Chelsea-Aston Villa,2023-04-01,17:30:00,Matchweek 29,Sat,Home,L,0,2,Aston Villa,2.1,0.9,69,40082,Mateo Kovačić,3-4-3,Andy Madley
ENG-Premier League,2223,Chelsea,2023-04-04 Chelsea-Liverpool,2023-04-04,20:00:00,Matchweek 8,Tue,Home,D,0,0,Liverpool,2.2,0.3,49,40093,N'Golo Kanté,3-5-2,Anthony Taylor
ENG-Premier League,2223,Chelsea,2023-04-08 Wolves-Chelsea,2023-04-08,15:00:00,Matchweek 30,Sat,Away,L,0,1,Wolves,1.1,0.6,62,31614,Mateo Kovačić,4-3-3,Peter Bankes
ENG-Premier League,2223,Chelsea,2023-04-15 Chelsea-Brighton,2023-04-15,15:00:00,Matchweek 31,Sat,Home,L,1,2,Brighton,0.5,2.9,43,40126,Kepa Arrizabalaga,4-2-3-1,Robert Jones
ENG-Premier League,2223,Chelsea,2023-04-26 Chelsea-Brentford,2023-04-26,19:45:00,Matchweek 33,Wed,Home,L,0,2,Brentford,1.3,1.1,71,39929,César Azpilicueta,3-4-3,Andy Madley
ENG-Premier League,2223,Chelsea,2023-05-02 Arsenal-Chelsea,2023-05-02,20:00:00,Matchweek 34,Tue,Away,L,1,3,Arsenal,0.8,1.7,45,60144,César Azpilicueta,4-3-3,Robert Jones
ENG-Premier League,2223,Chelsea,2023-05-06 Bournemouth-Chelsea,2023-05-06,15:00:00,Matchweek 35,Sat,Away,W,3,1,Bournemouth,1.3,1.2,65,10357,Thiago Silva,4-3-3,John Brooks
ENG-Premier League,2223,Chelsea,2023-05-13 Chelsea-Nott'ham Forest,2023-05-13,15:00:00,Matchweek 36,Sat,Home,D,2,2,Nott'ham Forest,1.2,1.3,75,40030,Thiago Silva,4-3-3,Paul Tierney
ENG-Premier League,2223,Chelsea,2023-05-21 Manchester City-Chelsea,2023-05-21,16:00:00,Matchweek 37,Sun,Away,L,0,1,Manchester City,1.2,1.2,36,53490,César Azpilicueta,3-4-1-2,Michael Oliver
ENG-Premier League,2223,Chelsea,2023-05-25 Manchester Utd-Chelsea,2023-05-25,20:00:00,Matchweek 32,Thu,Away,L,1,4,Manchester Utd,1.9,5.2,58,73561,César Azpilicueta,4-3-3,Stuart Attwell
ENG-Premier League,2223,Chelsea,2023-05-28 Chelsea-Newcastle Utd,2023-05-28,16:30:00,Matchweek 38,Sun,Home,D,1,1,Newcastle Utd,2.2,1.7,64,40130,César Azpilicueta,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Crystal Palace,2022-08-05 Crystal Palace-Arsenal,2022-08-05,20:00:00,Matchweek 1,Fri,Home,L,0,2,Arsenal,1.2,1.0,56,25286,Marc Guéhi,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Crystal Palace,2022-08-15 Liverpool-Crystal Palace,2022-08-15,20:00:00,Matchweek 2,Mon,Away,D,1,1,Liverpool,1.0,2.0,28,52970,Joel Ward,5-4-1,Paul Tierney
ENG-Premier League,2223,Crystal Palace,2022-08-20 Crystal Palace-Aston Villa,2022-08-20,15:00:00,Matchweek 3,Sat,Home,W,3,1,Aston Villa,2.6,0.9,51,22012,Joel Ward,4-3-3,Andy Madley
ENG-Premier League,2223,Crystal Palace,2022-08-27 Manchester City-Crystal Palace,2022-08-27,15:00:00,Matchweek 4,Sat,Away,L,2,4,Manchester City,0.1,2.2,26,53112,Joel Ward,5-4-1,Darren England
ENG-Premier League,2223,Crystal Palace,2022-08-30 Crystal Palace-Brentford,2022-08-30,19:30:00,Matchweek 5,Tue,Home,D,1,1,Brentford,1.0,1.4,49,25043,Joel Ward,4-1-4-1,Simon Hooper
ENG-Premier League,2223,Crystal Palace,2022-09-03 Newcastle Utd-Crystal Palace,2022-09-03,15:00:00,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1.0,2.8,48,51863,Joel Ward,4-3-3,Michael Salisbury
ENG-Premier League,2223,Crystal Palace,2022-10-01 Crystal Palace-Chelsea,2022-10-01,15:00:00,Matchweek 9,Sat,Home,L,1,2,Chelsea,0.4,1.1,36,25198,Joel Ward,4-3-3,Chris Kavanagh
ENG-Premier League,2223,Crystal Palace,2022-10-09 Crystal Palace-Leeds United,2022-10-09,14:00:00,Matchweek 10,Sun,Home,W,2,1,Leeds United,1.1,1.0,54,25042,Joel Ward,4-3-3,Paul Tierney
ENG-Premier League,2223,Crystal Palace,2022-10-15 Leicester City-Crystal Palace,2022-10-15,12:30:00,Matchweek 11,Sat,Away,D,0,0,Leicester City,0.4,1.0,46,31298,Joel Ward,4-3-3,Andy Madley
ENG-Premier League,2223,Crystal Palace,2022-10-18 Crystal Palace-Wolves,2022-10-18,20:15:00,Matchweek 12,Tue,Home,W,2,1,Wolves,1.2,0.8,51,25125,Joel Ward,4-3-3,David Coote
ENG-Premier League,2223,Crystal Palace,2022-10-22 Everton-Crystal Palace,2022-10-22,15:00:00,Matchweek 13,Sat,Away,L,0,3,Everton,0.9,1.4,54,38939,Luka Milivojević,4-1-4-1,Simon Hooper
