league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Arsenal,2023-03-19 Arsenal-Crystal Palace,2023-03-19,14:00:00,Matchweek 28,Sun,Home,W,4,1,Crystal Palace,1.6,0.8,62,60247,Martin Ødegaard,4-3-3,Stuart Attwell
ENG-Premier League,2223,Arsenal,2023-04-01 Arsenal-Leeds United,2023-04-01,15:00:00,Matchweek 29,Sat,Home,W,4,1,Leeds United,3.8,0.7,66,60283,Martin Ødegaard,4-3-3,Darren England
ENG-Premier League,2223,Arsenal,2023-04-09 Liverpool-Arsenal,2023-04-09,16:30:00,Matchweek 30,Sun,Away,D,2,2,Liverpool,1.4,3.9,41,53267,Martin Ødegaard,4-3-3,Paul Tierney
ENG-Premier League,2223,Arsenal,2023-04-16 West Ham-Arsenal,2023-04-16,14:00:00,Matchweek 31,Sun,Away,D,2,2,West Ham,2.7,1.8,70,62481,Martin Ødegaard,4-3-3,David Coote
ENG-Premier League,2223,Arsenal,2023-04-21 Arsenal-Southampton,2023-04-21,20:00:00,Matchweek 32,Fri,Home,D,3,3,Southampton,2.5,1.3,74,60175,Martin Ødegaard,4-3-3,Simon Hooper
ENG-Premier League,2223,Arsenal,2023-04-26 Manchester City-Arsenal,2023-04-26,20:00:00,Matchweek 33,Wed,Away,L,1,4,Manchester City,0.5,2.5,48,53482,Martin Ødegaard,4-3-3,Michael Oliver
ENG-Premier League,2223,Arsenal,2023-05-02 Arsenal-Chelsea,2023-05-02,20:00:00,Matchweek 34,Tue,Home,W,3,1,Chelsea,1.7,0.8,55,60144,Martin Ødegaard,4-3-3,Robert Jones
ENG-Premier League,2223,Arsenal,2023-05-07 Newcastle Utd-Arsenal,2023-05-07,16:30:00,Matchweek 35,Sun,Away,W,2,0,Newcastle Utd,1.3,1.3,45,50267,Martin Ødegaard,4-3-3,Chris Kavanagh
ENG-Premier League,2223,Arsenal,2023-05-14 Arsenal-Brighton,2023-05-14,16:30:00,Matchweek 36,Sun,Home,L,0,3,Brighton,0.9,1.7,41,60139,Martin Ødegaard,4-3-3,Andy Madley
ENG-Premier League,2223,Arsenal,2023-05-20 Nott'ham Forest-Arsenal,2023-05-20,17:30:00,Matchweek 37,Sat,Away,L,0,1,Nott'ham Forest,0.6,0.6,81,29514,Martin Ødegaard,4-3-3,Anthony Taylor
ENG-Premier League,2223,Arsenal,2023-05-28 Arsenal-Wolves,2023-05-28,16:30:00,Matchweek 38,Sun,Home,W,5,0,Wolves,2.8,0.5,51,60095,Martin Ødegaard,4-3-3,Andre Marriner
ENG-Premier League,2223,Aston Villa,2022-08-06 Bournemouth-Aston Villa,2022-08-06,15:00:00,Matchweek 1,Sat,Away,L,0,2,Bournemouth,0.7,0.6,65,11013,John McGinn,4-3-3,Peter Bankes
ENG-Premier League,2223,Aston Villa,2022-08-13 Aston Villa-Everton,2022-08-13,12:30:00,Matchweek 2,Sat,Home,W,2,1,Everton,2.3,1.6,57,41883,John McGinn,4-1-2-1-2◆,Michael Oliver
ENG-Premier League,2223,Aston Villa,2022-08-20 Crystal Palace-Aston Villa,2022-08-20,15:00:00,Matchweek 3,Sat,Away,L,1,3,Crystal Palace,0.9,2.6,49,22012,John McGinn,4-3-3,Andy Madley
ENG-Premier League,2223,Aston Villa,2022-08-28 Aston Villa-West Ham,2022-08-28,14:00:00,Matchweek 4,Sun,Home,L,0,1,West Ham,0.5,0.6,58,41796,John McGinn,4-3-1-2,David Coote
ENG-Premier League,2223,Aston Villa,2022-08-31 Arsenal-Aston Villa,2022-08-31,19:30:00,Matchweek 5,Wed,Away,L,1,2,Arsenal,0.4,2.4,41,60012,John McGinn,4-3-3,Robert Jones
ENG-Premier League,2223,Aston Villa,2022-09-03 Aston Villa-Manchester City,2022-09-03,17:30:00,Matchweek 6,Sat,Home,D,1,1,Manchester City,0.3,2.1,29,41830,John McGinn,4-3-2-1,Simon Hooper
ENG-Premier League,2223,Aston Villa,2022-09-16 Aston Villa-Southampton,2022-09-16,20:00:00,Matchweek 8,Fri,Home,W,1,0,Southampton,1.5,0.3,53,40758,John McGinn,4-3-2-1,Tony Harrington
ENG-Premier League,2223,Aston Villa,2022-10-02 Leeds United-Aston Villa,2022-10-02,16:30:00,Matchweek 9,Sun,Away,D,0,0,Leeds United,2.2,0.4,56,36582,John McGinn,4-3-3,Stuart Attwell
ENG-Premier League,2223,Aston Villa,2022-10-10 Nott'ham Forest-Aston Villa,2022-10-10,20:00:00,Matchweek 10,Mon,Away,D,1,1,Nott'ham Forest,0.7,0.3,60,29208,John McGinn,4-3-3,Anthony Taylor
