,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
,,,,,,,,,,,,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Arsenal,2022-08-05 Crystal Palace-Arsenal,2022-08-05,Matchweek 1,Fri,Away,W,2,0,Crystal Palace,1,10,2,20.0,0.1,0.5,14.6,1,0,0,1.0,1.0,0.1,0.0,0.0,20:00:00
ENG-Premier League,2223,Arsenal,2022-08-13 Arsenal-Leicester City,2022-08-13,Matchweek 2,Sat,Home,W,4,2,Leicester City,4,19,7,36.8,0.21,0.57,13.0,0,0,0,2.7,2.7,0.16,1.3,1.3,15:00:00
ENG-Premier League,2223,Arsenal,2022-08-20 Bournemouth-Arsenal,2022-08-20,Matchweek 3,Sat,Away,W,3,0,Bournemouth,3,14,6,42.9,0.21,0.5,14.8,0,0,0,1.3,1.3,0.1,1.7,1.7,17:30:00
ENG-Premier League,2223,Arsenal,2022-08-27 Arsenal-Fulham,2022-08-27,Matchweek 4,Sat,Home,W,2,1,Fulham,2,22,8,36.4,0.09,0.25,15.5,1,0,0,2.6,2.6,0.12,-0.6,-0.6,17:30:00
ENG-Premier League,2223,Arsenal,2022-08-31 Arsenal-Aston Villa,2022-08-31,Matchweek 5,Wed,Home,W,2,1,Aston Villa,2,22,8,36.4,0.09,0.25,16.3,1,0,0,2.4,2.4,0.12,-0.4,-0.4,19:30:00
ENG-Premier League,2223,Arsenal,2022-09-04 Manchester Utd-Arsenal,2022-09-04,Matchweek 6,Sun,Away,L,1,3,Manchester Utd,1,16,3,18.8,0.06,0.33,18.6,1,0,0,1.3,1.3,0.08,-0.3,-0.3,16:30:00
ENG-Premier League,2223,Arsenal,2022-09-18 Brentford-Arsenal,2022-09-18,Matchweek 8,Sun,Away,W,3,0,Brentford,3,13,7,53.8,0.23,0.43,18.2,0,0,0,1.5,1.5,0.12,1.5,1.5,12:00:00
ENG-Premier League,2223,Arsenal,2022-10-01 Arsenal-Tottenham,2022-10-01,Matchweek 9,Sat,Home,W,3,1,Tottenham,3,22,9,40.9,0.14,0.33,18.6,1,0,0,2.4,2.4,0.11,0.6,0.6,12:30:00
ENG-Premier League,2223,Arsenal,2022-10-09 Arsenal-Liverpool,2022-10-09,Matchweek 10,Sun,Home,W,3,2,Liverpool,3,10,6,60.0,0.2,0.33,14.3,0,1,1,2.7,2.3,0.24,0.3,-0.3,16:30:00
ENG-Premier League,2223,Arsenal,2022-10-16 Leeds United-Arsenal,2022-10-16,Matchweek 11,Sun,Away,W,1,0,Leeds United,1,9,4,44.4,0.11,0.25,16.6,1,0,0,0.5,0.5,0.06,0.5,0.5,14:00:00
ENG-Premier League,2223,Arsenal,2022-10-23 Southampton-Arsenal,2022-10-23,Matchweek 13,Sun,Away,D,1,1,Southampton,1,12,3,25.0,0.08,0.33,17.2,0,0,0,1.0,1.0,0.08,0.0,0.0,14:00:00
ENG-Premier League,2223,Arsenal,2022-10-30 Arsenal-Nott'ham Forest,2022-10-30,Matchweek 14,Sun,Home,W,5,0,Nott'ham Forest,5,24,9,37.5,0.21,0.56,16.0,1,0,0,2.3,2.3,0.1,2.7,2.7,14:00:00
ENG-Premier League,2223,Arsenal,2022-11-06 Chelsea-Arsenal,2022-11-06,Matchweek 15,Sun,Away,W,1,0,Chelsea,1,14,2,14.3,0.07,0.5,14.5,0,0,0,2.1,2.1,0.16,-1.1,-1.1,12:00:00
ENG-Premier League,2223,Arsenal,2022-11-12 Wolves-Arsenal,2022-11-12,Matchweek 16,Sat,Away,W,2,0,Wolves,2,14,3,21.4,0.14,0.67,13.7,0,0,0,2.1,2.1,0.15,-0.1,-0.1,19:45:00
ENG-Premier League,2223,Arsenal,2022-12-26 Arsenal-West Ham,2022-12-26,Matchweek 17,Mon,Home,W,3,1,West Ham,3,16,5,31.3,0.19,0.6,18.2,1,0,0,2.1,2.1,0.14,0.9,0.9,20:00:00
