,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
ENG-Premier League,2021,Aston Villa,2020-11-01 Aston Villa-Southampton,2020-11-01,Matchweek 7,Sun,Home,L,3,4,Southampton,438,365,71,17,0,7,31,34,11,2,3,2,315,2,7,12:00:00
ENG-Premier League,2021,Aston Villa,2020-11-08 Arsenal-Aston Villa,2020-11-08,Matchweek 8,Sun,Away,W,3,0,Arsenal,408,365,42,12,0,2,15,11,8,1,2,3,312,1,7,19:15:00
ENG-Premier League,2021,Aston Villa,2020-11-21 Aston Villa-Brighton,2020-11-21,Matchweek 9,Sat,Home,L,1,2,Brighton,533,468,63,18,0,1,41,25,12,5,1,0,418,2,11,15:00:00
ENG-Premier League,2021,Aston Villa,2020-11-30 West Ham-Aston Villa,2020-11-30,Matchweek 10,Mon,Away,L,1,2,West Ham,575,515,57,19,0,7,30,20,7,5,0,0,457,3,5,20:00:00
ENG-Premier League,2021,Aston Villa,2020-12-12 Wolves-Aston Villa,2020-12-12,Matchweek 12,Sat,Away,W,1,0,Wolves,390,333,55,21,0,3,28,24,8,4,2,1,277,2,9,12:30:00
ENG-Premier League,2021,Aston Villa,2020-12-17 Aston Villa-Burnley,2020-12-17,Matchweek 13,Thu,Home,D,0,0,Burnley,444,384,59,20,0,1,27,24,10,4,1,1,318,1,9,18:00:00
ENG-Premier League,2021,Aston Villa,2020-12-20 West Brom-Aston Villa,2020-12-20,Matchweek 14,Sun,Away,W,3,0,West Brom,630,587,39,13,0,5,27,18,7,3,1,0,519,4,13,19:15:00
ENG-Premier League,2021,Aston Villa,2020-12-26 Aston Villa-Crystal Palace,2020-12-26,Matchweek 15,Sat,Home,W,3,0,Crystal Palace,334,287,46,18,2,2,17,13,4,1,2,1,237,1,6,15:00:00
ENG-Premier League,2021,Aston Villa,2020-12-28 Chelsea-Aston Villa,2020-12-28,Matchweek 16,Mon,Away,D,1,1,Chelsea,361,303,57,17,0,0,19,24,4,3,0,0,253,1,5,17:30:00
ENG-Premier League,2021,Aston Villa,2021-01-01 Manchester Utd-Aston Villa,2021-01-01,Matchweek 17,Fri,Away,L,1,2,Manchester Utd,473,409,63,22,1,4,27,18,10,6,3,0,365,1,8,20:00:00
ENG-Premier League,2021,Aston Villa,2021-01-20 Manchester City-Aston Villa,2021-01-20,Matchweek 1,Wed,Away,L,0,2,Manchester City,309,270,38,12,0,0,7,13,2,1,1,0,222,1,3,18:00:00
ENG-Premier League,2021,Aston Villa,2021-01-23 Aston Villa-Newcastle Utd,2021-01-23,Matchweek 11,Sat,Home,W,2,0,Newcastle Utd,603,559,43,20,0,5,16,15,4,1,1,1,521,1,7,20:00:00
ENG-Premier League,2021,Aston Villa,2021-01-27 Burnley-Aston Villa,2021-01-27,Matchweek 20,Wed,Away,L,2,3,Burnley,534,469,63,18,1,8,22,30,4,2,1,0,405,2,8,18:00:00
ENG-Premier League,2021,Aston Villa,2021-01-30 Southampton-Aston Villa,2021-01-30,Matchweek 21,Sat,Away,W,1,0,Southampton,375,321,49,15,0,0,10,23,1,1,0,0,270,5,8,20:00:00
ENG-Premier League,2021,Aston Villa,2021-02-03 Aston Villa-West Ham,2021-02-03,Matchweek 22,Wed,Home,L,1,3,West Ham,530,480,49,16,1,2,23,17,7,2,4,1,423,1,5,20:15:00
ENG-Premier League,2021,Aston Villa,2021-02-06 Aston Villa-Arsenal,2021-02-06,Matchweek 23,Sat,Home,W,1,0,Arsenal,348,298,49,12,0,2,8,21,3,2,0,0,254,1,7,12:30:00
ENG-Premier League,2021,Aston Villa,2021-02-13 Brighton-Aston Villa,2021-02-13,Matchweek 24,Sat,Away,D,0,0,Brighton,409,361,45,16,0,2,9,20,2,0,2,0,301,3,7,20:00:00
ENG-Premier League,2021,Aston Villa,2021-02-21 Aston Villa-Leicester City,2021-02-21,Matchweek 25,Sun,Home,L,1,2,Leicester City,507,435,68,13,0,5,28,40,7,5,0,1,389,4,13,14:05:00
ENG-Premier League,2021,Aston Villa,2021-02-27 Leeds United-Aston Villa,2021-02-27,Matchweek 26,Sat,Away,W,1,0,Leeds United,261,210,51,14,0,1,11,18,5,3,2,0,155,0,1,17:30:00
ENG-Premier League,2021,Aston Villa,2021-03-03 Sheffield Utd-Aston Villa,2021-03-03,Matchweek 29,Wed,Away,L,0,1,Sheffield Utd,722,668,53,13,0,11,44,30,7,7,0,0,583,1,9,18:00:00
ENG-Premier League,2021,Aston Villa,2021-03-06 Aston Villa-Wolves,2021-03-06,Matchweek 27,Sat,Home,D,0,0,Wolves,458,406,49,13,0,0,21,21,5,5,0,0,345,3,4,17:30:00
ENG-Premier League,2021,Aston Villa,2021-03-12 Newcastle Utd-Aston Villa,2021-03-12,Matchweek 28,Fri,Away,D,1,1,Newcastle Utd,467,414,49,10,0,3,19,30,2,0,0,0,346,4,12,20:00:00
ENG-Premier League,2021,Aston Villa,2021-03-21 Aston Villa-Tottenham,2021-03-21,Matchweek 18,Sun,Home,L,0,2,Tottenham,463,417,45,14,1,1,25,19,5,2,1,0,341,1,3,19:30:00
ENG-Premier League,2021,Aston Villa,2021-04-04 Aston Villa-Fulham,2021-04-04,Matchweek 30,Sun,Home,W,3,1,Fulham,468,414,49,21,0,3,23,18,4,0,2,0,359,5,7,16:30:00
ENG-Premier League,2021,Aston Villa,2021-04-10 Liverpool-Aston Villa,2021-04-10,Matchweek 31,Sat,Away,L,1,2,Liverpool,342,278,62,17,0,2,8,31,0,0,0,0,235,2,5,15:00:00
ENG-Premier League,2021,Aston Villa,2021-04-21 Aston Villa-Manchester City,2021-04-21,Matchweek 32,Wed,Home,L,1,2,Manchester City,337,303,33,9,0,3,14,14,1,1,0,0,261,1,5,20:15:00
ENG-Premier League,2021,Aston Villa,2021-04-25 Aston Villa-West Brom,2021-04-25,Matchweek 33,Sun,Home,D,2,2,West Brom,613,567,44,9,1,2,42,14,11,8,0,1,496,2,2,19:00:00
ENG-Premier League,2021,Aston Villa,2021-05-01 Everton-Aston Villa,2021-05-01,Matchweek 34,Sat,Away,W,2,1,Everton,512,456,54,11,0,4,16,22,6,5,0,0,410,2,9,20:00:00
ENG-Premier League,2021,Aston Villa,2021-05-09 Aston Villa-Manchester Utd,2021-05-09,Matchweek 35,Sun,Home,L,1,3,Manchester Utd,421,378,43,18,0,3,16,12,5,4,0,0,326,0,3,14:05:00
ENG-Premier League,2021,Aston Villa,2021-05-13 Aston Villa-Everton,2021-05-13,Matchweek 19,Thu,Home,D,0,0,Everton,548,500,48,13,0,7,20,17,9,3,1,1,450,0,8,18:00:00
ENG-Premier League,2021,Aston Villa,2021-05-16 Crystal Palace-Aston Villa,2021-05-16,Matchweek 36,Sun,Away,L,2,3,Crystal Palace,449,384,63,23,0,9,22,26,7,5,2,0,344,2,11,12:00:00
ENG-Premier League,2021,Aston Villa,2021-05-19 Tottenham-Aston Villa,2021-05-19,Matchweek 37,Wed,Away,W,2,1,Tottenham,404,356,45,16,1,2,9,18,5,3,0,0,320,3,8,18:00:00
ENG-Premier League,2021,Aston Villa,2021-05-23 Aston Villa-Chelsea,2021-05-23,Matchweek 38,Sun,Home,W,2,1,Chelsea,272,233,39,13,0,2,6,12,2,1,0,0,187,0,13,16:00:00
ENG-Premier League,2021,Brighton,2020-09-14 Brighton-Chelsea,2020-09-14,Matchweek 1,Mon,Home,L,1,3,Chelsea,552,504,48,16,1,12,14,24,4,3,0,0,444,0,7,20:15:00
ENG-Premier League,2021,Brighton,2020-09-20 Newcastle Utd-Brighton,2020-09-20,Matchweek 2,Sun,Away,W,3,0,Newcastle Utd,479,436,41,16,0,5,9,17,1,1,0,0,379,2,2,14:00:00
ENG-Premier League,2021,Brighton,2020-09-26 Brighton-Manchester Utd,2020-09-26,Matchweek 3,Sat,Home,L,2,3,Manchester Utd,538,487,50,19,0,3,29,18,7,4,2,0,439,1,16,12:30:00
ENG-Premier League,2021,Brighton,2020-10-03 Everton-Brighton,2020-10-03,Matchweek 4,Sat,Away,L,2,4,Everton,657,609,46,12,0,4,16,16,10,3,0,0,546,2,10,15:00:00
ENG-Premier League,2021,Brighton,2020-10-18 Crystal Palace-Brighton,2020-10-18,Matchweek 5,Sun,Away,D,1,1,Crystal Palace,601,541,58,14,0,8,17,34,5,2,3,0,491,2,11,14:00:00
ENG-Premier League,2021,Brighton,2020-10-26 Brighton-West Brom,2020-10-26,Matchweek 6,Mon,Home,D,1,1,West Brom,515,468,45,8,0,5,16,21,6,6,0,0,408,2,7,17:30:00
ENG-Premier League,2021,Brighton,2020-11-01 Tottenham-Brighton,2020-11-01,Matchweek 7,Sun,Away,L,1,2,Tottenham,550,495,51,14,0,3,17,24,5,0,4,0,432,4,7,19:15:00
ENG-Premier League,2021,Brighton,2020-11-06 Brighton-Burnley,2020-11-06,Matchweek 8,Fri,Home,D,0,0,Burnley,595,555,39,5,2,4,35,23,5,0,0,0,474,1,7,17:30:00
ENG-Premier League,2021,Brighton,2020-11-21 Aston Villa-Brighton,2020-11-21,Matchweek 9,Sat,Away,W,2,1,Aston Villa,422,384,38,7,2,9,16,14,3,1,2,0,332,0,5,15:00:00
ENG-Premier League,2021,Brighton,2020-11-28 Brighton-Liverpool,2020-11-28,Matchweek 10,Sat,Home,D,1,1,Liverpool,392,350,40,12,1,2,13,20,4,2,2,0,296,2,3,12:30:00
ENG-Premier League,2021,Brighton,2020-12-07 Brighton-Southampton,2020-12-07,Matchweek 11,Mon,Home,L,1,2,Southampton,433,374,57,14,0,2,17,30,4,2,1,0,304,2,11,20:00:00
ENG-Premier League,2021,Brighton,2020-12-13 Leicester City-Brighton,2020-12-13,Matchweek 12,Sun,Away,L,0,3,Leicester City,491,447,43,13,1,5,14,13,5,3,1,0,391,1,8,19:15:00
ENG-Premier League,2021,Brighton,2020-12-16 Fulham-Brighton,2020-12-16,Matchweek 13,Wed,Away,D,0,0,Fulham,542,479,61,14,0,6,23,32,8,0,7,0,383,2,10,20:00:00
ENG-Premier League,2021,Brighton,2020-12-20 Brighton-Sheffield Utd,2020-12-20,Matchweek 14,Sun,Home,D,1,1,Sheffield Utd,615,555,59,13,0,4,37,24,14,3,8,1,505,1,7,12:00:00
ENG-Premier League,2021,Brighton,2020-12-27 West Ham-Brighton,2020-12-27,Matchweek 15,Sun,Away,D,2,2,West Ham,613,570,42,8,0,9,13,20,4,0,3,0,494,1,8,14:15:00
ENG-Premier League,2021,Brighton,2020-12-29 Brighton-Arsenal,2020-12-29,Matchweek 16,Tue,Home,L,0,1,Arsenal,549,507,42,4,1,2,27,23,5,0,4,0,441,0,12,18:00:00
ENG-Premier League,2021,Brighton,2021-01-02 Brighton-Wolves,2021-01-02,Matchweek 17,Sat,Home,D,3,3,Wolves,589,551,37,7,0,4,19,17,5,0,5,0,501,1,6,17:30:00
ENG-Premier League,2021,Brighton,2021-01-13 Manchester City-Brighton,2021-01-13,Matchweek 18,Wed,Away,L,0,1,Manchester City,416,378,36,6,0,2,15,12,4,1,3,0,314,2,13,18:00:00
ENG-Premier League,2021,Brighton,2021-01-16 Leeds United-Brighton,2021-01-16,Matchweek 19,Sat,Away,W,1,0,Leeds United,348,296,52,11,1,1,14,27,2,1,1,0,230,0,8,15:00:00
ENG-Premier League,2021,Brighton,2021-01-27 Brighton-Fulham,2021-01-27,Matchweek 20,Wed,Home,D,0,0,Fulham,471,414,54,13,0,1,34,22,10,4,6,0,319,3,13,19:30:00
ENG-Premier League,2021,Brighton,2021-01-31 Brighton-Tottenham,2021-01-31,Matchweek 21,Sun,Home,W,1,0,Tottenham,455,412,42,12,0,3,26,16,9,0,8,0,354,1,5,19:15:00
ENG-Premier League,2021,Brighton,2021-02-03 Liverpool-Brighton,2021-02-03,Matchweek 22,Wed,Away,W,1,0,Liverpool,441,399,39,11,0,3,12,16,3,2,1,0,325,3,8,20:15:00
ENG-Premier League,2021,Brighton,2021-02-06 Burnley-Brighton,2021-02-06,Matchweek 23,Sat,Away,D,1,1,Burnley,415,370,45,10,0,1,14,15,7,1,5,0,310,0,6,15:00:00
ENG-Premier League,2021,Brighton,2021-02-13 Brighton-Aston Villa,2021-02-13,Matchweek 24,Sat,Home,D,0,0,Aston Villa,563,512,51,12,0,3,23,26,9,2,5,0,447,0,13,20:00:00
ENG-Premier League,2021,Brighton,2021-02-22 Brighton-Crystal Palace,2021-02-22,Matchweek 25,Mon,Home,L,1,2,Crystal Palace,783,724,56,7,1,8,35,30,13,5,4,0,666,3,7,20:00:00
ENG-Premier League,2021,Brighton,2021-02-27 West Brom-Brighton,2021-02-27,Matchweek 26,Sat,Away,L,0,1,West Brom,597,557,40,9,1,4,17,17,4,2,1,0,476,0,10,15:00:00
ENG-Premier League,2021,Brighton,2021-03-06 Brighton-Leicester City,2021-03-06,Matchweek 27,Sat,Home,L,1,2,Leicester City,392,340,48,9,1,3,16,22,6,3,3,0,282,4,10,20:00:00
ENG-Premier League,2021,Brighton,2021-03-14 Southampton-Brighton,2021-03-14,Matchweek 28,Sun,Away,W,2,1,Southampton,382,330,51,11,0,4,18,29,5,3,2,0,254,1,9,12:00:00
ENG-Premier League,2021,Brighton,2021-03-20 Brighton-Newcastle Utd,2021-03-20,Matchweek 29,Sat,Home,W,3,0,Newcastle Utd,763,729,32,6,2,6,10,20,3,0,2,0,672,2,5,20:00:00
ENG-Premier League,2021,Brighton,2021-04-04 Manchester Utd-Brighton,2021-04-04,Matchweek 30,Sun,Away,L,1,2,Manchester Utd,482,430,50,14,0,5,18,18,6,2,4,0,360,2,12,19:30:00
ENG-Premier League,2021,Brighton,2021-04-12 Brighton-Everton,2021-04-12,Matchweek 31,Mon,Home,D,0,0,Everton,537,495,42,6,0,2,16,18,10,8,1,0,428,0,7,20:15:00
ENG-Premier League,2021,Brighton,2021-04-20 Chelsea-Brighton,2021-04-20,Matchweek 32,Tue,Away,D,0,0,Chelsea,444,400,44,10,0,5,9,23,3,2,1,0,334,0,7,20:15:00
ENG-Premier League,2021,Brighton,2021-04-24 Sheffield Utd-Brighton,2021-04-24,Matchweek 33,Sat,Away,L,0,1,Sheffield Utd,695,639,55,13,0,5,24,26,12,0,9,0,592,1,9,20:00:00
ENG-Premier League,2021,Brighton,2021-05-01 Brighton-Leeds United,2021-05-01,Matchweek 34,Sat,Home,W,2,0,Leeds United,378,345,33,6,1,2,11,16,2,0,2,0,300,0,5,15:00:00
ENG-Premier League,2021,Brighton,2021-05-09 Wolves-Brighton,2021-05-09,Matchweek 35,Sun,Away,L,1,2,Wolves,403,358,43,12,0,8,10,15,5,2,3,0,327,2,9,12:00:00
ENG-Premier League,2021,Brighton,2021-05-15 Brighton-West Ham,2021-05-15,Matchweek 36,Sat,Home,D,1,1,West Ham,616,585,31,7,1,4,8,9,3,2,0,0,521,0,8,20:00:00
ENG-Premier League,2021,Brighton,2021-05-18 Brighton-Manchester City,2021-05-18,Matchweek 37,Tue,Home,W,3,2,Manchester City,643,602,38,11,1,2,14,17,5,0,2,1,563,3,4,19:00:00
ENG-Premier League,2021,Brighton,2021-05-23 Arsenal-Brighton,2021-05-23,Matchweek 38,Sun,Away,L,0,2,Arsenal,514,484,29,12,0,5,10,5,3,1,2,0,438,1,8,16:00:00
ENG-Premier League,2021,Burnley,2020-09-20 Leicester City-Burnley,2020-09-20,Matchweek 2,Sun,Away,L,2,4,Leicester City,330,286,43,10,0,1,15,20,4,4,0,0,223,1,4,19:00:00
ENG-Premier League,2021,Burnley,2020-09-26 Burnley-Southampton,2020-09-26,Matchweek 3,Sat,Home,L,0,1,Southampton,599,536,61,10,0,2,34,37,8,7,0,0,417,2,13,20:00:00
ENG-Premier League,2021,Burnley,2020-10-03 Newcastle Utd-Burnley,2020-10-03,Matchweek 4,Sat,Away,L,1,3,Newcastle Utd,509,451,53,16,0,2,20,23,4,4,0,0,366,5,7,20:00:00
ENG-Premier League,2021,Burnley,2020-10-19 West Brom-Burnley,2020-10-19,Matchweek 5,Mon,Away,D,0,0,West Brom,412,361,51,16,0,4,29,23,2,1,0,0,274,0,8,17:30:00
ENG-Premier League,2021,Burnley,2020-10-26 Burnley-Tottenham,2020-10-26,Matchweek 6,Mon,Home,L,0,1,Tottenham,405,364,37,8,0,7,15,16,4,4,0,0,294,4,6,20:00:00
ENG-Premier League,2021,Burnley,2020-10-31 Burnley-Chelsea,2020-10-31,Matchweek 7,Sat,Home,L,0,3,Chelsea,422,374,47,19,1,2,10,15,3,1,0,0,311,1,9,15:00:00
ENG-Premier League,2021,Burnley,2020-11-06 Brighton-Burnley,2020-11-06,Matchweek 8,Fri,Away,D,0,0,Brighton,416,376,39,12,0,2,16,16,3,3,0,0,310,1,6,17:30:00
ENG-Premier League,2021,Burnley,2020-11-23 Burnley-Crystal Palace,2020-11-23,Matchweek 9,Mon,Home,W,1,0,Crystal Palace,443,396,45,11,0,3,11,18,4,3,0,0,318,2,4,17:30:00
ENG-Premier League,2021,Burnley,2020-11-28 Manchester City-Burnley,2020-11-28,Matchweek 10,Sat,Away,L,0,5,Manchester City,354,304,48,13,0,0,20,16,4,3,1,0,248,2,8,15:00:00
ENG-Premier League,2021,Burnley,2020-12-05 Burnley-Everton,2020-12-05,Matchweek 11,Sat,Home,D,1,1,Everton,449,401,48,12,3,5,27,21,8,8,0,0,338,0,7,12:30:00
ENG-Premier League,2021,Burnley,2020-12-13 Arsenal-Burnley,2020-12-13,Matchweek 12,Sun,Away,W,1,0,Arsenal,344,309,32,8,0,0,17,14,4,4,0,0,240,3,6,19:15:00
ENG-Premier League,2021,Burnley,2020-12-17 Aston Villa-Burnley,2020-12-17,Matchweek 13,Thu,Away,D,0,0,Aston Villa,311,256,53,17,0,3,13,19,1,1,0,0,183,2,6,18:00:00
ENG-Premier League,2021,Burnley,2020-12-21 Burnley-Wolves,2020-12-21,Matchweek 14,Mon,Home,W,2,1,Wolves,297,250,46,16,0,3,16,17,1,1,0,0,193,1,1,17:30:00
