,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
,,,,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,2020-09-12 Fulham-Arsenal,2020-09-12,Matchweek 1,Sat,Away,W,3,0,Fulham,668,625,41,12,2,6,16,21,3,1,1,0,589,2,9,12:30:00
ENG-Premier League,2021,Arsenal,2020-09-19 Arsenal-West Ham,2020-09-19,Matchweek 2,Sat,Home,W,2,1,West Ham,710,663,42,15,3,5,17,13,7,2,2,1,599,5,14,20:00:00
ENG-Premier League,2021,Arsenal,2020-09-28 Liverpool-Arsenal,2020-09-28,Matchweek 3,Mon,Away,L,1,3,Liverpool,425,382,38,11,4,3,8,11,3,2,1,0,312,5,11,20:00:00
ENG-Premier League,2021,Arsenal,2020-10-04 Arsenal-Sheffield Utd,2020-10-04,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,741,694,47,12,1,4,18,22,2,0,1,1,646,0,12,14:00:00
ENG-Premier League,2021,Arsenal,2020-10-17 Manchester City-Arsenal,2020-10-17,Matchweek 5,Sat,Away,L,0,1,Manchester City,496,454,40,13,2,1,13,15,6,3,1,2,411,2,4,17:30:00
ENG-Premier League,2021,Arsenal,2020-10-25 Arsenal-Leicester City,2020-10-25,Matchweek 6,Sun,Home,L,0,1,Leicester City,621,580,40,8,0,7,20,19,9,6,1,0,525,1,13,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-01 Manchester Utd-Arsenal,2020-11-01,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,526,494,32,15,0,1,16,9,3,3,0,0,438,0,10,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-08 Arsenal-Aston Villa,2020-11-08,Matchweek 8,Sun,Home,L,0,3,Aston Villa,588,542,45,14,0,6,25,23,3,1,0,1,481,1,4,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-22 Leeds United-Arsenal,2020-11-22,Matchweek 9,Sun,Away,D,0,0,Leeds United,343,297,44,7,1,1,13,16,3,3,0,0,236,2,4,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-29 Arsenal-Wolves,2020-11-29,Matchweek 10,Sun,Home,L,1,2,Wolves,557,509,46,11,2,3,35,21,8,1,3,0,447,2,9,19:15:00
ENG-Premier League,2021,Arsenal,2020-12-06 Tottenham-Arsenal,2020-12-06,Matchweek 11,Sun,Away,L,0,2,Tottenham,697,650,47,16,0,0,44,17,9,5,2,1,574,0,6,16:30:00
ENG-Premier League,2021,Arsenal,2020-12-13 Arsenal-Burnley,2020-12-13,Matchweek 12,Sun,Home,L,0,1,Burnley,634,560,71,14,0,2,38,31,13,4,4,0,501,3,8,19:15:00
ENG-Premier League,2021,Arsenal,2020-12-16 Arsenal-Southampton,2020-12-16,Matchweek 13,Wed,Home,D,1,1,Southampton,377,335,41,14,0,5,11,18,2,1,0,0,287,1,8,18:00:00
ENG-Premier League,2021,Arsenal,2020-12-19 Everton-Arsenal,2020-12-19,Matchweek 14,Sat,Away,L,1,2,Everton,592,555,37,7,0,7,19,16,3,1,1,0,513,0,5,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-26 Arsenal-Chelsea,2020-12-26,Matchweek 15,Sat,Home,W,3,1,Chelsea,373,318,54,7,0,3,16,24,7,2,2,0,249,1,9,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-29 Brighton-Arsenal,2020-12-29,Matchweek 16,Tue,Away,W,1,0,Brighton,549,510,39,10,1,2,13,17,4,2,1,0,463,0,8,18:00:00
ENG-Premier League,2021,Arsenal,2021-01-02 West Brom-Arsenal,2021-01-02,Matchweek 17,Sat,Away,W,4,0,West Brom,672,633,37,9,1,4,21,19,5,2,3,0,543,2,12,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-14 Arsenal-Crystal Palace,2021-01-14,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,738,698,39,12,0,7,25,13,7,4,1,2,626,1,10,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-18 Arsenal-Newcastle Utd,2021-01-18,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,679,643,32,8,0,4,26,10,7,1,3,1,592,4,10,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-26 Southampton-Arsenal,2021-01-26,Matchweek 20,Tue,Away,W,3,1,Southampton,398,346,50,12,3,6,16,22,5,1,2,0,300,2,8,20:15:00
ENG-Premier League,2021,Arsenal,2021-01-30 Arsenal-Manchester Utd,2021-01-30,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,461,425,36,14,1,3,12,9,4,3,0,1,368,0,6,17:30:00
ENG-Premier League,2021,Arsenal,2021-02-02 Wolves-Arsenal,2021-02-02,Matchweek 22,Tue,Away,L,1,2,Wolves,517,481,33,12,1,2,12,8,6,4,1,0,451,3,2,18:00:00
ENG-Premier League,2021,Arsenal,2021-02-06 Aston Villa-Arsenal,2021-02-06,Matchweek 23,Sat,Away,L,0,1,Aston Villa,658,619,39,12,0,4,40,15,7,4,1,1,550,0,14,12:30:00
ENG-Premier League,2021,Arsenal,2021-02-14 Arsenal-Leeds United,2021-02-14,Matchweek 24,Sun,Home,W,4,2,Leeds United,468,413,53,16,0,4,9,23,4,1,2,1,356,2,7,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-21 Arsenal-Manchester City,2021-02-21,Matchweek 25,Sun,Home,L,0,1,Manchester City,509,473,35,12,1,1,14,9,1,0,1,0,424,1,4,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-28 Leicester City-Arsenal,2021-02-28,Matchweek 26,Sun,Away,W,3,1,Leicester City,561,509,51,14,0,5,23,25,7,3,4,0,455,1,9,12:00:00
ENG-Premier League,2021,Arsenal,2021-03-06 Burnley-Arsenal,2021-03-06,Matchweek 27,Sat,Away,D,1,1,Burnley,648,606,40,7,0,2,16,22,3,1,1,0,520,2,12,12:30:00
ENG-Premier League,2021,Arsenal,2021-03-14 Arsenal-Tottenham,2021-03-14,Matchweek 28,Sun,Home,W,2,1,Tottenham,565,529,36,14,0,1,26,13,6,3,1,0,468,0,18,16:30:00
ENG-Premier League,2021,Arsenal,2021-03-21 West Ham-Arsenal,2021-03-21,Matchweek 29,Sun,Away,D,3,3,West Ham,652,600,52,19,2,1,27,18,5,2,2,0,548,0,4,15:00:00
ENG-Premier League,2021,Arsenal,2021-04-03 Arsenal-Liverpool,2021-04-03,Matchweek 30,Sat,Home,L,0,3,Liverpool,425,380,45,13,0,2,7,19,1,1,0,0,318,0,5,20:00:00
ENG-Premier League,2021,Arsenal,2021-04-11 Sheffield Utd-Arsenal,2021-04-11,Matchweek 31,Sun,Away,W,3,0,Sheffield Utd,616,567,46,10,3,4,9,25,4,1,3,0,539,3,5,19:00:00
ENG-Premier League,2021,Arsenal,2021-04-18 Arsenal-Fulham,2021-04-18,Matchweek 32,Sun,Home,D,1,1,Fulham,689,643,41,10,2,5,30,16,11,6,3,0,587,5,7,13:30:00
ENG-Premier League,2021,Arsenal,2021-04-23 Arsenal-Everton,2021-04-23,Matchweek 33,Fri,Home,L,0,1,Everton,679,634,43,11,0,4,27,19,7,1,6,0,602,2,4,20:00:00
ENG-Premier League,2021,Arsenal,2021-05-02 Newcastle Utd-Arsenal,2021-05-02,Matchweek 34,Sun,Away,W,2,0,Newcastle Utd,680,646,33,10,1,7,17,11,7,3,2,0,613,1,4,14:00:00
ENG-Premier League,2021,Arsenal,2021-05-09 Arsenal-West Brom,2021-05-09,Matchweek 35,Sun,Home,W,3,1,West Brom,618,576,41,10,0,2,16,17,6,0,3,0,521,1,4,19:00:00
ENG-Premier League,2021,Arsenal,2021-05-12 Chelsea-Arsenal,2021-05-12,Matchweek 36,Wed,Away,W,1,0,Chelsea,402,359,41,11,0,0,9,16,1,0,0,0,310,2,9,20:15:00
ENG-Premier League,2021,Arsenal,2021-05-19 Crystal Palace-Arsenal,2021-05-19,Matchweek 37,Wed,Away,W,3,1,Crystal Palace,663,607,54,10,1,7,26,26,7,3,3,0,552,2,11,19:00:00
ENG-Premier League,2021,Arsenal,2021-05-23 Arsenal-Brighton,2021-05-23,Matchweek 38,Sun,Home,W,2,0,Brighton,612,567,43,8,2,2,21,15,11,5,2,0,527,2,12,16:00:00
ENG-Premier League,2021,Aston Villa,2020-09-21 Aston Villa-Sheffield Utd,2020-09-21,Matchweek 2,Mon,Home,W,1,0,Sheffield Utd,623,575,47,13,0,5,41,20,10,2,4,0,517,1,7,18:00:00
ENG-Premier League,2021,Aston Villa,2020-09-28 Fulham-Aston Villa,2020-09-28,Matchweek 3,Mon,Away,W,3,0,Fulham,335,282,50,18,1,2,8,17,3,0,0,1,236,3,5,17:45:00
ENG-Premier League,2021,Aston Villa,2020-10-04 Aston Villa-Liverpool,2020-10-04,Matchweek 4,Sun,Home,W,7,2,Liverpool,314,274,38,11,2,1,9,18,2,0,1,0,208,2,10,19:15:00
ENG-Premier League,2021,Aston Villa,2020-10-18 Leicester City-Aston Villa,2020-10-18,Matchweek 5,Sun,Away,W,1,0,Leicester City,444,393,48,18,1,7,26,16,7,6,1,0,327,3,7,19:15:00
ENG-Premier League,2021,Aston Villa,2020-10-23 Aston Villa-Leeds United,2020-10-23,Matchweek 6,Fri,Home,L,0,3,Leeds United,342,286,56,17,0,3,14,17,6,3,1,1,236,0,8,20:00:00
