fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
93145,"Lionel Jaffredo, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,634.0,Stade Raymond-Kopa,Angers,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,77,Angers,https://media-4.api-sports.io/football/teams/77.png,True,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
93146,"Ruddy Buquet, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,650.0,Stade du Roudourou,Guingamp,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,True,112,Metz,https://media-4.api-sports.io/football/teams/112.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
93147,"Sébastien Desiage, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,,Stade Pierre-Mauroy,Lille,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,79,Lille,https://media-4.api-sports.io/football/teams/79.png,True,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
93148,"Antony Gautier, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,,Stade du Moustoir,Lorient,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
93149,"Jerome Miguelgorry, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,,Parc Olympique Lyonnais,Lyon,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,,84,Nice,https://media-4.api-sports.io/football/teams/84.png,,3.0,3.0,1.0,1.0,3.0,3.0,,,,
93150,"Frank Schneider, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,667.0,Orange Vélodrome,Marseille,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,True,1305,SC Bastia,https://media-4.api-sports.io/football/teams/1305.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
93151,"Benoit Millot, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,,Stade Marcel-Picot,Nancy,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,True,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,False,3.0,1.0,1.0,0.0,3.0,1.0,,,,
93152,"Johan Hamel, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,671.0,Parc des Princes,Paris,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,85,Paris Saint Germain,https://media-4.api-sports.io/football/teams/85.png,,88,Caen,https://media-4.api-sports.io/football/teams/88.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
93153,"Said Ennjimi, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,680.0,Roazhon Park,Rennes,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,False,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,True,2.0,3.0,0.0,1.0,2.0,3.0,,,,
93154,"Tony Chapron, France",UTC,2017-05-20T19:00:00+00:00,1495306800,,,,Stadium Municipal,Toulouse,Match Finished,FT,90.0,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2016,Regular Season - 38,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
