fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
195956,,UTC,2012-01-28T14:30:00+00:00,1327761000,,,,Weserstadion (Bremen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
195957,,UTC,2012-01-28T14:30:00+00:00,1327761000,,,,SGL Arena (Augsburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,170,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
195958,,UTC,2012-01-28T14:30:00+00:00,1327761000,,,,Olympiastadion Berlin (Berlin),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,159,Hertha Berlin,https://media-4.api-sports.io/football/teams/159.png,False,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
195959,,UTC,2012-01-28T17:30:00+00:00,1327771800,,,,RheinEnergieStadion (Köln),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,False,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,True,1.0,4.0,1.0,0.0,1.0,4.0,,,,
195960,,UTC,2012-01-29T14:30:00+00:00,1327847400,,,,Coface Arena (Mainz),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,True,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,False,3.0,1.0,3.0,0.0,3.0,1.0,,,,
195961,,UTC,2012-01-29T16:30:00+00:00,1327854600,,,,Mercedes-Benz-Arena (Stuttgart),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,False,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
195962,,UTC,2012-02-03T19:30:00+00:00,1328297400,,,,easyCredit-Stadion (Nürnberg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,False,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,
195963,,UTC,2012-02-04T14:30:00+00:00,1328365800,,,,BayArena (Leverkusen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
195964,,UTC,2012-02-04T14:30:00+00:00,1328365800,,,,Veltins-Arena (Gelsenkirchen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
195965,,UTC,2012-02-04T14:30:00+00:00,1328365800,,,,Wirsol Rhein-Neckar-Arena (Sinsheim),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,,170,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
195966,,UTC,2012-02-04T14:30:00+00:00,1328365800,,,,VOLKSWAGEN ARENA (Wolfsburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,161,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
195967,,UTC,2012-02-04T14:30:00+00:00,1328365800,,,,Olympiastadion Berlin (Berlin),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,159,Hertha Berlin,https://media-4.api-sports.io/football/teams/159.png,False,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
195968,,UTC,2012-02-04T17:30:00+00:00,1328376600,,,,Imtech Arena (Hamburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
195969,,UTC,2012-02-05T14:30:00+00:00,1328452200,,,,MAGE SOLAR Stadion (Freiburg im Breisgau),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
195970,,UTC,2012-02-05T16:30:00+00:00,1328459400,,,,Fritz-Walter-Stadion (Kaiserslautern),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 20,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,False,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
195971,,UTC,2012-02-10T19:30:00+00:00,1328902200,,,,VOLKSWAGEN ARENA (Wolfsburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,161,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,True,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,False,3.0,2.0,2.0,2.0,3.0,2.0,,,,
