fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
203337,"Alfonso Alvarez Izquierdo, Spain",UTC,2015-08-21T18:30:00+00:00,1440181800,,,,La Rosaleda,Malaga,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,535,Malaga,https://media-4.api-sports.io/football/teams/535.png,,536,Sevilla,https://media-4.api-sports.io/football/teams/536.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203338,"Jesus Gil Manzano, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,,,,RCDE Stadium,Cornella,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,540,Espanyol,https://media-4.api-sports.io/football/teams/540.png,True,546,Getafe,https://media-4.api-sports.io/football/teams/546.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203339,"Antonio Mateu, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,,,,Estadio de Riazor,La Coruna,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,544,Deportivo La Coruna,https://media-4.api-sports.io/football/teams/544.png,,548,Real Sociedad,https://media-4.api-sports.io/football/teams/548.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203340,"Eduardo Prieto Iglesias, Spain",UTC,2015-08-22T18:30:00+00:00,1440268200,,,,Vicente Calderón,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,530,Atletico Madrid,https://media-4.api-sports.io/football/teams/530.png,True,534,Las Palmas,https://media-4.api-sports.io/football/teams/534.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203341,"Alberto Undiano, Spain",UTC,2015-08-22T20:30:00+00:00,1440275400,,,1488.0,Estadio de Vallecas,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,728,Rayo Vallecano,https://media-4.api-sports.io/football/teams/728.png,,532,Valencia,https://media-4.api-sports.io/football/teams/532.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203342,"Carlos Del Cerro Grande, Spain",UTC,2015-08-23T16:30:00+00:00,1440347400,,,,San Mamés,Bilbao,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,531,Athletic Club,https://media-4.api-sports.io/football/teams/531.png,False,529,Barcelona,https://media-4.api-sports.io/football/teams/529.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
203343,"Javier Estrada Fernandez, Spain",UTC,2015-08-23T18:30:00+00:00,1440354600,,,,El Molinón-Enrique Castro Quini,Gijon,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,731,Sporting Gijon,https://media-4.api-sports.io/football/teams/731.png,,541,Real Madrid,https://media-4.api-sports.io/football/teams/541.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203344,"Ricardo De Burgos Bengoetxea, Spain",UTC,2015-08-23T20:00:00+00:00,1440360000,,,,Ciutat de València,Valencia,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,539,Levante,https://media-4.api-sports.io/football/teams/539.png,False,538,Celta Vigo,https://media-4.api-sports.io/football/teams/538.png,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
203345,"Inaki Vicandi Garrido, Spain",UTC,2015-08-23T20:30:00+00:00,1440361800,,,,Benito Villamarín,Seville,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,543,Real Betis,https://media-4.api-sports.io/football/teams/543.png,,533,Villarreal,https://media-4.api-sports.io/football/teams/533.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
203346,"Ignacio Iglesias Villanueva, Spain",UTC,2015-08-24T18:30:00+00:00,1440441000,,,,Nuevo Los Cármenes,Granada,Match Finished,FT,90.0,140,La Liga,Spain,https://media-4.api-sports.io/football/leagues/140.png,https://media-4.api-sports.io/flags/es.svg,2015,Regular Season - 1,715,Granada CF,https://media-4.api-sports.io/football/teams/715.png,False,545,Eibar,https://media-4.api-sports.io/football/teams/545.png,True,1.0,3.0,0.0,2.0,1.0,3.0,,,,
