date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2022-05-08 19:45:00,Verona,Milan,1,3,A,1,1,D,10,18,3,8,15,7,5,8,2,1,0,0
2022-05-09 19:45:00,Fiorentina,Roma,2,0,H,2,0,H,12,6,7,1,16,11,5,3,3,1,0,0
2022-05-14 14:00:00,Empoli,Salernitana,1,1,D,1,0,H,16,28,6,9,18,8,3,11,2,2,0,0
2022-05-14 19:45:00,Roma,Venezia,1,1,D,0,1,A,46,4,16,2,11,14,20,2,2,5,0,1
2022-05-14 17:00:00,Udinese,Spezia,2,3,A,1,2,A,17,10,6,6,19,10,4,2,3,2,0,0
2022-05-14 17:00:00,Verona,Torino,0,1,A,0,1,A,10,11,5,5,17,18,4,4,4,2,0,0
2022-05-15 11:30:00,Bologna,Sassuolo,1,3,A,0,1,A,8,16,2,7,9,10,4,9,0,1,0,0
2022-05-15 19:45:00,Cagliari,Inter,1,3,A,0,1,A,10,17,2,7,12,15,2,5,0,2,0,0
2022-05-15 17:00:00,Milan,Atalanta,2,0,H,0,0,D,12,12,6,2,8,14,4,6,3,2,0,0
2022-05-15 14:00:00,Napoli,Genoa,3,0,H,1,0,H,17,11,9,3,13,15,9,2,1,1,0,0
2022-05-16 19:45:00,Juventus,Lazio,2,2,D,2,0,H,4,18,2,7,16,13,0,9,3,3,0,0
2022-05-16 17:30:00,Sampdoria,Fiorentina,4,1,H,2,0,H,12,12,5,1,18,9,4,5,2,3,1,0
2022-05-20 19:45:00,Torino,Roma,0,3,A,0,2,A,13,14,2,6,10,10,5,6,2,2,0,0
2022-05-21 19:45:00,Atalanta,Empoli,0,1,A,0,0,D,40,7,10,3,6,7,15,2,1,1,0,0
2022-05-21 19:45:00,Fiorentina,Juventus,2,0,H,1,0,H,13,1,4,0,13,14,6,2,3,3,0,0
2022-05-21 16:15:00,Genoa,Bologna,0,1,A,0,0,D,18,11,5,4,17,10,9,9,3,1,0,0
2022-05-21 19:45:00,Lazio,Verona,3,3,D,2,2,D,19,10,7,7,9,19,6,4,2,6,0,0
2022-05-22 17:00:00,Inter,Sampdoria,3,0,H,0,0,D,27,9,12,3,6,12,8,2,1,2,0,0
2022-05-22 20:00:00,Salernitana,Udinese,0,4,A,0,3,A,25,19,10,11,11,12,7,1,1,1,0,0
2022-05-22 17:00:00,Sassuolo,Milan,0,3,A,0,3,A,15,18,3,12,8,13,3,7,2,1,0,0
2022-05-22 11:30:00,Spezia,Napoli,0,3,A,0,3,A,16,10,4,4,10,9,4,2,1,2,0,0
2022-05-22 20:00:00,Venezia,Cagliari,0,0,D,0,0,D,7,31,1,7,6,19,6,11,0,3,0,0
