date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2019-08-24 19:45:00,Fiorentina,Napoli,3,4,A,1,2,A,10,8,6,6,21,16,4,5,2,4,0,0
2019-08-24 17:00:00,Parma,Juventus,0,1,A,0,1,A,5,9,4,4,12,14,5,8,2,3,0,0
2019-08-25 19:45:00,Cagliari,Brescia,0,1,A,0,0,D,9,8,5,3,10,11,8,8,2,2,0,0
2019-08-25 19:45:00,Roma,Genoa,3,3,D,2,2,D,17,6,9,4,15,13,5,1,3,1,0,0
2019-08-25 19:45:00,Sampdoria,Lazio,0,3,A,0,1,A,12,16,8,10,13,11,5,9,2,2,0,0
2019-08-25 19:45:00,Spal,Atalanta,2,3,A,2,1,H,8,18,3,14,13,16,2,10,2,1,0,0
2019-08-25 19:45:00,Torino,Sassuolo,2,1,H,1,0,H,7,13,4,9,21,15,6,6,4,3,0,0
2019-08-25 17:00:00,Udinese,Milan,1,0,H,0,0,D,11,6,6,0,14,11,9,4,1,3,0,0
2019-08-25 19:45:00,Verona,Bologna,1,1,D,1,1,D,5,14,2,5,12,13,1,6,1,3,1,0
2019-08-26 19:45:00,Inter,Lecce,4,0,H,2,0,H,16,10,7,4,14,8,7,7,1,2,0,1
2019-08-30 19:45:00,Bologna,Spal,1,0,H,0,0,D,18,7,9,1,13,13,11,2,3,2,0,0
2019-08-31 19:45:00,Juventus,Napoli,4,3,H,2,0,H,10,12,8,7,13,13,2,5,3,3,0,0
2019-08-31 17:00:00,Milan,Brescia,1,0,H,1,0,H,11,4,6,2,14,18,5,3,3,4,0,0
2019-09-01 19:45:00,Atalanta,Torino,2,3,A,1,1,D,19,8,12,6,13,15,12,5,2,2,0,0
2019-09-01 19:45:00,Cagliari,Inter,1,2,A,0,1,A,7,9,3,8,12,11,5,5,5,3,0,0
2019-09-01 19:45:00,Genoa,Fiorentina,2,1,H,1,0,H,18,15,10,7,17,15,9,8,2,0,0,0
2019-09-01 17:00:00,Lazio,Roma,1,1,D,0,1,A,21,8,13,5,15,13,8,4,4,3,0,0
2019-09-01 19:45:00,Lecce,Verona,0,1,A,0,0,D,9,11,3,6,14,14,2,7,2,3,0,0
2019-09-01 19:45:00,Sassuolo,Sampdoria,4,1,H,3,0,H,11,8,8,5,9,10,3,5,1,3,0,1
2019-09-01 19:45:00,Udinese,Parma,1,3,A,1,1,D,17,6,12,3,11,11,8,1,1,3,0,0
2019-09-14 14:00:00,Fiorentina,Juventus,0,0,D,0,0,D,15,5,8,4,12,18,10,0,3,3,0,0
2019-09-14 19:45:00,Inter,Udinese,1,0,H,1,0,H,15,6,10,4,9,10,8,3,2,1,0,1
2019-09-14 17:00:00,Napoli,Sampdoria,2,0,H,1,0,H,19,7,9,2,7,10,8,7,2,2,0,0
2019-09-15 14:00:00,Brescia,Bologna,3,4,A,3,1,H,9,17,7,6,14,17,2,10,2,6,1,0
2019-09-15 11:30:00,Genoa,Atalanta,1,2,A,0,0,D,8,11,3,6,12,14,8,7,3,3,0,0
