,,,,date,round,day,venue,result,GF,GA,opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,time
,,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Arsenal,2019-08-11 Newcastle Utd-Arsenal,2019-08-11,Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,11,6,6,5,0,7,18,38.9,11,8,3,5,6,17,22,0,14:00:00
ENG-Premier League,1920,Arsenal,2019-08-17 Arsenal-Burnley,2019-08-17,Matchweek 2,Sat,Home,W,2,1,Burnley,12,7,5,6,1,6,10,60.0,4,8,4,4,9,21,30,0,12:30:00
ENG-Premier League,1920,Arsenal,2019-08-24 Liverpool-Arsenal,2019-08-24,Matchweek 3,Sat,Away,L,1,3,Liverpool,16,7,10,3,3,6,15,40.0,9,21,13,8,7,23,28,2,17:30:00
ENG-Premier League,1920,Arsenal,2019-09-01 Arsenal-Tottenham,2019-09-01,Matchweek 4,Sun,Home,D,2,2,Tottenham,23,12,7,10,6,9,16,56.3,7,7,1,6,11,34,11,1,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-15 Watford-Arsenal,2019-09-15,Matchweek 5,Sun,Away,D,2,2,Watford,13,10,8,3,2,6,22,27.3,16,9,6,3,11,24,15,2,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Home,W,3,2,Aston Villa,12,6,8,2,2,6,21,28.6,15,3,2,1,8,20,20,0,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-30 Manchester Utd-Arsenal,2019-09-30,Matchweek 7,Mon,Away,D,1,1,Manchester Utd,19,11,6,8,5,9,17,52.9,8,16,6,10,8,27,16,0,20:00:00
ENG-Premier League,1920,Arsenal,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Home,W,1,0,Bournemouth,23,13,6,13,4,5,19,26.3,14,10,1,9,8,31,19,0,14:00:00
ENG-Premier League,1920,Arsenal,2019-10-21 Sheffield Utd-Arsenal,2019-10-21,Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,17,6,11,5,1,3,6,50.0,3,7,1,6,5,22,11,0,20:00:00
ENG-Premier League,1920,Arsenal,2019-10-27 Arsenal-Crystal Palace,2019-10-27,Matchweek 10,Sun,Home,D,2,2,Crystal Palace,21,10,12,7,2,7,15,46.7,8,5,4,1,6,27,17,0,16:30:00
ENG-Premier League,1920,Arsenal,2019-11-02 Arsenal-Wolves,2019-11-02,Matchweek 11,Sat,Home,D,1,1,Wolves,16,10,9,5,2,8,19,42.1,11,25,12,13,7,23,23,1,15:00:00
ENG-Premier League,1920,Arsenal,2019-11-09 Leicester City-Arsenal,2019-11-09,Matchweek 12,Sat,Away,L,0,2,Leicester City,18,13,8,9,1,8,17,47.1,9,11,3,8,7,25,15,1,17:30:00
ENG-Premier League,1920,Arsenal,2019-11-23 Arsenal-Southampton,2019-11-23,Matchweek 13,Sat,Home,D,2,2,Southampton,25,13,10,15,0,8,21,38.1,13,14,5,9,15,40,16,1,15:00:00
ENG-Premier League,1920,Arsenal,2019-12-01 Norwich City-Arsenal,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Norwich City,16,7,7,7,2,6,19,31.6,13,6,2,4,9,25,14,0,14:00:00
ENG-Premier League,1920,Arsenal,2019-12-05 Arsenal-Brighton,2019-12-05,Matchweek 15,Thu,Home,L,1,2,Brighton,19,9,10,6,3,8,15,53.3,7,14,6,8,8,27,15,1,20:15:00
ENG-Premier League,1920,Arsenal,2019-12-09 West Ham-Arsenal,2019-12-09,Matchweek 16,Mon,Away,W,3,1,West Ham,12,7,11,0,1,7,14,50.0,7,8,3,5,9,21,18,1,20:00:00
ENG-Premier League,1920,Arsenal,2019-12-15 Arsenal-Manchester City,2019-12-15,Matchweek 17,Sun,Home,L,0,3,Manchester City,16,12,8,4,4,10,21,47.6,11,9,4,5,12,28,10,2,16:30:00
ENG-Premier League,1920,Arsenal,2019-12-21 Everton-Arsenal,2019-12-21,Matchweek 18,Sat,Away,D,0,0,Everton,14,10,6,5,3,7,19,36.8,12,10,4,6,6,20,27,0,12:30:00
ENG-Premier League,1920,Arsenal,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Away,D,1,1,Bournemouth,10,6,2,4,4,2,11,18.2,9,12,3,9,13,23,22,0,15:00:00
ENG-Premier League,1920,Arsenal,2019-12-29 Arsenal-Chelsea,2019-12-29,Matchweek 20,Sun,Home,L,1,2,Chelsea,16,11,12,2,2,5,20,25.0,15,15,3,12,12,28,20,1,14:00:00
ENG-Premier League,1920,Arsenal,2020-01-01 Arsenal-Manchester Utd,2020-01-01,Matchweek 21,Wed,Home,W,2,0,Manchester Utd,19,10,15,3,1,9,28,32.1,19,16,3,13,15,34,16,0,20:00:00
ENG-Premier League,1920,Arsenal,2020-01-11 Crystal Palace-Arsenal,2020-01-11,Matchweek 22,Sat,Away,D,1,1,Crystal Palace,17,10,9,5,3,9,17,52.9,8,6,2,4,9,26,19,0,12:30:00
ENG-Premier League,1920,Arsenal,2020-01-18 Arsenal-Sheffield Utd,2020-01-18,Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,13,8,5,7,1,6,15,40.0,9,13,3,10,12,25,18,0,15:00:00
ENG-Premier League,1920,Arsenal,2020-01-21 Chelsea-Arsenal,2020-01-21,Matchweek 24,Tue,Away,D,2,2,Chelsea,21,12,15,4,2,14,25,56.0,11,10,6,4,5,26,33,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-02-02 Burnley-Arsenal,2020-02-02,Matchweek 25,Sun,Away,D,0,0,Burnley,17,13,8,9,0,6,13,46.2,7,7,2,5,8,25,29,0,14:00:00
ENG-Premier League,1920,Arsenal,2020-02-16 Arsenal-Newcastle Utd,2020-02-16,Matchweek 26,Sun,Home,W,4,0,Newcastle Utd,12,7,4,6,2,5,18,27.8,13,5,3,2,10,22,16,0,16:30:00
ENG-Premier League,1920,Arsenal,2020-02-23 Arsenal-Everton,2020-02-23,Matchweek 27,Sun,Home,W,3,2,Everton,13,9,7,5,1,7,13,53.8,6,11,1,10,12,25,20,1,16:30:00
ENG-Premier League,1920,Arsenal,2020-03-07 Arsenal-West Ham,2020-03-07,Matchweek 29,Sat,Home,W,1,0,West Ham,13,7,10,2,1,7,11,63.6,4,5,1,4,10,23,28,1,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-17 Manchester City-Arsenal,2020-06-17,Matchweek 28,Wed,Away,L,0,3,Manchester City,15,10,6,9,0,7,20,35.0,13,10,3,7,8,23,12,1,20:15:00
ENG-Premier League,1920,Arsenal,2020-06-20 Brighton-Arsenal,2020-06-20,Matchweek 30,Sat,Away,L,1,2,Brighton,8,4,3,5,0,3,9,33.3,6,10,2,8,4,12,27,0,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-25 Southampton-Arsenal,2020-06-25,Matchweek 31,Thu,Away,W,2,0,Southampton,10,2,7,3,0,6,15,40.0,9,11,2,9,15,25,21,0,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-01 Arsenal-Norwich City,2020-07-01,Matchweek 32,Wed,Home,W,4,0,Norwich City,12,8,2,6,4,3,12,25.0,9,10,2,8,13,25,12,0,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-04 Wolves-Arsenal,2020-07-04,Matchweek 33,Sat,Away,W,2,0,Wolves,29,19,10,13,6,12,18,66.7,6,10,4,6,11,40,26,0,17:30:00
ENG-Premier League,1920,Arsenal,2020-07-07 Arsenal-Leicester City,2020-07-07,Matchweek 34,Tue,Home,D,1,1,Leicester City,6,4,3,1,2,2,6,33.3,4,8,1,7,16,22,15,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-12 Tottenham-Arsenal,2020-07-12,Matchweek 35,Sun,Away,L,1,2,Tottenham,12,7,6,6,0,6,16,37.5,10,12,5,7,6,18,14,1,16:30:00
ENG-Premier League,1920,Arsenal,2020-07-15 Arsenal-Liverpool,2020-07-15,Matchweek 36,Wed,Home,W,2,1,Liverpool,21,9,14,7,0,9,20,45.0,11,15,9,6,8,29,28,1,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Away,L,0,1,Aston Villa,3,3,2,1,0,0,7,0.0,7,5,1,4,5,8,22,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-26 Arsenal-Watford,2020-07-26,Matchweek 38,Sun,Home,W,3,2,Watford,14,8,8,6,0,5,14,35.7,9,16,5,11,7,21,29,0,16:00:00
ENG-Premier League,1920,Aston Villa,2019-08-10 Tottenham-Aston Villa,2019-08-10,Matchweek 1,Sat,Away,L,1,3,Tottenham,29,13,18,8,3,14,25,56.0,11,18,11,7,9,38,46,1,17:30:00
ENG-Premier League,1920,Aston Villa,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Home,L,1,2,Bournemouth,7,6,3,3,1,2,5,40.0,3,9,4,5,9,16,18,1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-08-23 Aston Villa-Everton,2019-08-23,Matchweek 3,Fri,Home,W,2,0,Everton,12,6,10,2,0,2,15,13.3,13,13,4,9,13,25,27,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-08-31 Crystal Palace-Aston Villa,2019-08-31,Matchweek 4,Sat,Away,L,0,1,Crystal Palace,19,13,9,6,4,9,14,64.3,5,11,6,5,15,34,31,1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-09-16 Aston Villa-West Ham,2019-09-16,Matchweek 5,Mon,Home,D,0,0,West Ham,19,9,10,7,2,6,15,40.0,9,19,7,12,12,31,18,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Away,L,2,3,Arsenal,20,9,12,3,5,6,19,31.6,13,12,5,7,12,32,21,1,16:30:00
ENG-Premier League,1920,Aston Villa,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Home,D,2,2,Burnley,14,5,6,7,1,7,11,63.6,4,10,3,7,9,23,17,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-05 Norwich City-Aston Villa,2019-10-05,Matchweek 8,Sat,Away,W,5,1,Norwich City,16,9,11,1,4,7,24,29.2,17,16,7,9,11,27,37,1,15:00:00
