,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
,,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Arsenal,2019-08-11 Newcastle Utd-Arsenal,2019-08-11,Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,3,0,0,7,11,3,10,6,6,0,0,0,58,14,21,40.0,14:00:00
ENG-Premier League,1920,Arsenal,2019-08-17 Arsenal-Burnley,2019-08-17,Matchweek 2,Sat,Home,W,2,1,Burnley,2,0,0,13,9,5,17,9,7,0,0,0,42,20,20,50.0,12:30:00
ENG-Premier League,1920,Arsenal,2019-08-24 Liverpool-Arsenal,2019-08-24,Matchweek 3,Sat,Away,L,1,3,Liverpool,1,0,0,5,7,4,13,7,7,0,1,0,52,11,7,61.1,17:30:00
ENG-Premier League,1920,Arsenal,2019-09-01 Arsenal-Tottenham,2019-09-01,Matchweek 4,Sun,Home,D,2,2,Tottenham,3,0,0,13,18,3,25,11,12,0,1,0,58,16,13,55.2,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-15 Watford-Arsenal,2019-09-15,Matchweek 5,Sun,Away,D,2,2,Watford,3,0,0,4,12,0,3,11,10,0,1,0,39,4,8,33.3,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Home,W,3,2,Aston Villa,7,1,1,13,14,2,20,8,6,1,0,0,43,8,5,61.5,16:30:00
ENG-Premier League,1920,Arsenal,2019-09-30 Manchester Utd-Arsenal,2019-09-30,Matchweek 7,Mon,Away,D,1,1,Manchester Utd,2,0,0,13,17,4,20,8,11,0,0,0,49,10,10,50.0,20:00:00
ENG-Premier League,1920,Arsenal,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Home,W,1,0,Bournemouth,1,0,0,12,6,0,24,8,13,0,0,0,56,14,26,35.0,14:00:00
ENG-Premier League,1920,Arsenal,2019-10-21 Sheffield Utd-Arsenal,2019-10-21,Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,4,0,0,12,8,1,30,5,6,0,0,0,53,14,27,34.1,20:00:00
ENG-Premier League,1920,Arsenal,2019-10-27 Arsenal-Crystal Palace,2019-10-27,Matchweek 10,Sun,Home,D,2,2,Crystal Palace,2,0,0,18,8,1,29,6,10,0,1,0,60,17,25,40.5,16:30:00
ENG-Premier League,1920,Arsenal,2019-11-02 Arsenal-Wolves,2019-11-02,Matchweek 11,Sat,Home,D,1,1,Wolves,0,0,0,6,15,2,32,7,10,0,0,0,49,7,18,28.0,15:00:00
ENG-Premier League,1920,Arsenal,2019-11-09 Leicester City-Arsenal,2019-11-09,Matchweek 12,Sat,Away,L,0,2,Leicester City,1,0,0,10,10,2,16,7,13,0,0,0,49,4,8,33.3,17:30:00
ENG-Premier League,1920,Arsenal,2019-11-23 Arsenal-Southampton,2019-11-23,Matchweek 13,Sat,Home,D,2,2,Southampton,6,0,0,13,19,2,32,15,13,0,1,0,52,15,9,62.5,15:00:00
ENG-Premier League,1920,Arsenal,2019-12-01 Norwich City-Arsenal,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Norwich City,1,0,0,10,7,0,37,9,7,0,0,0,47,15,11,57.7,14:00:00
ENG-Premier League,1920,Arsenal,2019-12-05 Arsenal-Brighton,2019-12-05,Matchweek 15,Thu,Home,L,1,2,Brighton,3,0,0,10,10,7,22,8,9,0,0,0,42,11,21,34.4,20:15:00
ENG-Premier League,1920,Arsenal,2019-12-09 West Ham-Arsenal,2019-12-09,Matchweek 16,Mon,Away,W,3,1,West Ham,0,0,0,6,12,0,9,9,7,0,0,0,54,18,12,60.0,20:00:00
ENG-Premier League,1920,Arsenal,2019-12-15 Arsenal-Manchester City,2019-12-15,Matchweek 17,Sun,Home,L,0,3,Manchester City,1,0,0,9,23,2,20,12,12,0,0,0,44,9,15,37.5,16:30:00
ENG-Premier League,1920,Arsenal,2019-12-21 Everton-Arsenal,2019-12-21,Matchweek 18,Sat,Away,D,0,0,Everton,3,0,0,11,10,1,16,6,10,0,0,0,50,16,15,51.6,12:30:00
ENG-Premier League,1920,Arsenal,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Away,D,1,1,Bournemouth,4,0,0,13,5,0,24,13,6,0,0,0,49,12,14,46.2,15:00:00
ENG-Premier League,1920,Arsenal,2019-12-29 Arsenal-Chelsea,2019-12-29,Matchweek 20,Sun,Home,L,1,2,Chelsea,5,0,0,13,18,2,9,12,11,0,0,0,52,16,15,51.6,14:00:00
ENG-Premier League,1920,Arsenal,2020-01-01 Arsenal-Manchester Utd,2020-01-01,Matchweek 21,Wed,Home,W,2,0,Manchester Utd,2,0,0,11,15,0,15,15,10,0,0,0,50,7,9,43.8,20:00:00
ENG-Premier League,1920,Arsenal,2020-01-11 Crystal Palace-Arsenal,2020-01-11,Matchweek 22,Sat,Away,D,1,1,Crystal Palace,3,1,0,22,14,1,10,9,10,0,0,0,56,11,13,45.8,12:30:00
ENG-Premier League,1920,Arsenal,2020-01-18 Arsenal-Sheffield Utd,2020-01-18,Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,1,0,0,9,9,3,17,12,8,0,0,0,67,21,27,43.8,15:00:00
ENG-Premier League,1920,Arsenal,2020-01-21 Chelsea-Arsenal,2020-01-21,Matchweek 24,Tue,Away,D,2,2,Chelsea,1,1,0,6,11,1,18,5,12,0,1,0,43,13,21,38.2,20:15:00
ENG-Premier League,1920,Arsenal,2020-02-02 Burnley-Arsenal,2020-02-02,Matchweek 25,Sun,Away,D,0,0,Burnley,3,0,0,11,8,1,21,8,13,0,0,0,48,18,22,45.0,14:00:00
ENG-Premier League,1920,Arsenal,2020-02-16 Arsenal-Newcastle Utd,2020-02-16,Matchweek 26,Sun,Home,W,4,0,Newcastle Utd,2,0,0,15,9,1,24,10,7,0,0,0,49,16,15,51.6,16:30:00
ENG-Premier League,1920,Arsenal,2020-02-23 Arsenal-Everton,2020-02-23,Matchweek 27,Sun,Home,W,3,2,Everton,0,0,0,12,12,2,15,12,9,0,0,0,51,9,18,33.3,16:30:00
