,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
ENG-Premier League,1920,Arsenal,2020-03-07 Arsenal-West Ham,2020-03-07,Matchweek 29,Sat,Home,W,1,0,West Ham,1,0,0,11,8,2,20,10,7,0,0,0,55,22,23,48.9,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-17 Manchester City-Arsenal,2020-06-17,Matchweek 28,Wed,Away,L,0,3,Manchester City,1,1,0,7,9,5,8,8,10,0,1,0,35,2,6,25.0,20:15:00
ENG-Premier League,1920,Arsenal,2020-06-20 Brighton-Arsenal,2020-06-20,Matchweek 30,Sat,Away,L,1,2,Brighton,1,0,0,8,13,4,22,4,4,0,0,0,42,10,7,58.8,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-25 Southampton-Arsenal,2020-06-25,Matchweek 31,Thu,Away,W,2,0,Southampton,2,0,0,14,10,1,8,15,2,0,0,0,36,16,13,55.2,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-01 Arsenal-Norwich City,2020-07-01,Matchweek 32,Wed,Home,W,4,0,Norwich City,1,0,0,10,10,0,18,13,8,0,0,0,48,18,7,72.0,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-04 Wolves-Arsenal,2020-07-04,Matchweek 33,Sat,Away,W,2,0,Wolves,4,0,0,11,6,0,10,11,19,0,0,0,52,13,17,43.3,17:30:00
ENG-Premier League,1920,Arsenal,2020-07-07 Arsenal-Leicester City,2020-07-07,Matchweek 34,Tue,Home,D,1,1,Leicester City,1,1,0,10,14,4,20,16,4,0,0,0,52,16,18,47.1,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-12 Tottenham-Arsenal,2020-07-12,Matchweek 35,Sun,Away,L,1,2,Tottenham,3,0,0,11,16,0,19,6,7,0,0,0,50,12,17,41.4,16:30:00
ENG-Premier League,1920,Arsenal,2020-07-15 Arsenal-Liverpool,2020-07-15,Matchweek 36,Wed,Home,W,2,1,Liverpool,3,0,0,14,9,5,3,8,9,0,0,0,45,17,18,48.6,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Away,L,0,1,Aston Villa,4,0,0,19,13,1,33,5,3,0,0,0,37,15,15,50.0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-26 Arsenal-Watford,2020-07-26,Matchweek 38,Sun,Home,W,3,2,Watford,3,0,0,9,12,1,10,7,8,1,1,0,47,14,23,37.8,16:00:00
ENG-Premier League,1920,Aston Villa,2019-08-10 Tottenham-Aston Villa,2019-08-10,Matchweek 1,Sat,Away,L,1,3,Tottenham,0,0,0,9,13,0,8,9,13,0,0,0,39,12,10,54.5,17:30:00
ENG-Premier League,1920,Aston Villa,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Home,L,1,2,Bournemouth,0,0,0,10,13,5,31,9,6,0,1,0,56,28,21,57.1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-08-23 Aston Villa-Everton,2019-08-23,Matchweek 3,Fri,Home,W,2,0,Everton,2,0,0,10,17,8,7,13,6,0,0,0,49,16,27,37.2,20:00:00
ENG-Premier League,1920,Aston Villa,2019-08-31 Crystal Palace-Aston Villa,2019-08-31,Matchweek 4,Sat,Away,L,0,1,Crystal Palace,6,1,1,16,15,0,14,15,13,0,0,0,35,12,12,50.0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-09-16 Aston Villa-West Ham,2019-09-16,Matchweek 5,Mon,Home,D,0,0,West Ham,2,0,0,13,12,3,17,12,9,0,0,0,58,16,17,48.5,20:00:00
ENG-Premier League,1920,Aston Villa,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Away,L,2,3,Arsenal,1,0,0,15,13,0,25,12,9,0,1,0,44,5,8,38.5,16:30:00
ENG-Premier League,1920,Aston Villa,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Home,D,2,2,Burnley,1,0,0,10,16,2,27,9,5,0,0,0,49,18,20,47.4,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-05 Norwich City-Aston Villa,2019-10-05,Matchweek 8,Sat,Away,W,5,1,Norwich City,3,0,0,17,13,1,17,11,9,1,0,0,53,14,10,58.3,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Home,W,2,1,Brighton,1,0,0,9,17,1,31,11,2,0,0,0,55,8,16,33.3,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-26 Manchester City-Aston Villa,2019-10-26,Matchweek 10,Sat,Away,L,0,3,Manchester City,1,0,0,5,10,2,18,13,5,0,0,0,37,9,17,34.6,12:30:00
ENG-Premier League,1920,Aston Villa,2019-11-02 Aston Villa-Liverpool,2019-11-02,Matchweek 11,Sat,Home,L,1,2,Liverpool,1,0,0,12,8,3,13,13,13,0,0,0,56,19,22,46.3,15:00:00
ENG-Premier League,1920,Aston Villa,2019-11-10 Wolves-Aston Villa,2019-11-10,Matchweek 12,Sun,Away,L,1,2,Wolves,3,0,0,8,15,1,27,9,13,0,0,0,50,13,19,40.6,14:00:00
ENG-Premier League,1920,Aston Villa,2019-11-25 Aston Villa-Newcastle Utd,2019-11-25,Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,1,0,0,10,9,1,28,6,11,0,0,0,49,18,19,48.6,20:00:00
ENG-Premier League,1920,Aston Villa,2019-12-01 Manchester Utd-Aston Villa,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Manchester Utd,1,0,0,8,16,4,24,10,16,0,0,1,47,7,15,31.8,16:30:00
ENG-Premier League,1920,Aston Villa,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Away,L,1,2,Chelsea,1,0,0,10,18,1,23,20,9,0,0,0,59,20,16,55.6,19:30:00
ENG-Premier League,1920,Aston Villa,2019-12-08 Aston Villa-Leicester City,2019-12-08,Matchweek 16,Sun,Home,L,1,4,Leicester City,6,0,0,21,14,0,31,8,8,0,0,0,57,15,23,39.5,14:00:00
ENG-Premier League,1920,Aston Villa,2019-12-14 Sheffield Utd-Aston Villa,2019-12-14,Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,2,0,0,9,8,0,15,13,9,0,0,0,57,36,32,52.9,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-21 Aston Villa-Southampton,2019-12-21,Matchweek 18,Sat,Home,L,1,3,Southampton,2,0,0,16,15,2,27,14,5,0,0,0,40,34,17,66.7,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-26 Aston Villa-Norwich City,2019-12-26,Matchweek 19,Thu,Home,W,1,0,Norwich City,2,0,0,15,12,1,26,6,12,0,0,0,56,24,16,60.0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-28 Watford-Aston Villa,2019-12-28,Matchweek 20,Sat,Away,L,0,3,Watford,1,0,0,9,15,3,22,11,6,0,1,0,52,21,14,60.0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Away,W,2,1,Burnley,1,0,0,10,12,1,13,3,9,0,0,0,48,30,34,46.9,12:30:00
ENG-Premier League,1920,Aston Villa,2020-01-12 Aston Villa-Manchester City,2020-01-12,Matchweek 22,Sun,Home,L,1,6,Manchester City,2,0,0,5,11,1,7,9,9,1,0,0,41,11,11,50.0,16:30:00
ENG-Premier League,1920,Aston Villa,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Away,D,1,1,Brighton,3,0,0,13,11,4,20,14,12,0,0,0,71,16,18,47.1,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-21 Aston Villa-Watford,2020-01-21,Matchweek 24,Tue,Home,W,2,1,Watford,2,0,0,11,18,0,36,12,2,0,0,0,65,33,20,62.3,19:30:00
ENG-Premier League,1920,Aston Villa,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Away,L,1,2,Bournemouth,3,0,0,15,10,3,24,9,1,0,0,0,54,26,31,45.6,15:00:00
ENG-Premier League,1920,Aston Villa,2020-02-16 Aston Villa-Tottenham,2020-02-16,Matchweek 26,Sun,Home,L,2,3,Tottenham,2,0,0,12,8,0,29,15,8,0,1,0,58,16,19,45.7,14:00:00
ENG-Premier League,1920,Aston Villa,2020-02-22 Southampton-Aston Villa,2020-02-22,Matchweek 27,Sat,Away,L,0,2,Southampton,4,0,0,17,13,2,20,10,6,0,0,0,44,23,31,42.6,15:00:00
ENG-Premier League,1920,Aston Villa,2020-03-09 Leicester City-Aston Villa,2020-03-09,Matchweek 29,Mon,Away,L,0,4,Leicester City,1,0,0,12,15,2,10,10,16,0,1,0,63,15,18,45.5,20:00:00
ENG-Premier League,1920,Aston Villa,2020-06-17 Aston Villa-Sheffield Utd,2020-06-17,Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,1,0,0,11,13,1,26,5,6,0,0,0,41,28,33,45.9,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Home,L,1,2,Chelsea,2,0,0,9,17,0,10,17,3,0,0,0,38,25,26,49.0,16:15:00
ENG-Premier League,1920,Aston Villa,2020-06-24 Newcastle Utd-Aston Villa,2020-06-24,Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,2,0,0,13,14,0,34,12,2,0,0,0,47,28,22,56.0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-27 Aston Villa-Wolves,2020-06-27,Matchweek 32,Sat,Home,L,0,1,Wolves,1,0,0,16,13,0,15,11,2,0,0,0,49,20,26,43.5,12:30:00
ENG-Premier League,1920,Aston Villa,2020-07-05 Liverpool-Aston Villa,2020-07-05,Matchweek 33,Sun,Away,L,0,2,Liverpool,1,0,0,8,18,5,18,17,5,0,0,0,62,14,10,58.3,16:30:00
ENG-Premier League,1920,Aston Villa,2020-07-09 Aston Villa-Manchester Utd,2020-07-09,Matchweek 34,Thu,Home,L,0,3,Manchester Utd,2,0,0,7,13,2,16,15,6,0,1,0,40,6,13,31.6,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-12 Aston Villa-Crystal Palace,2020-07-12,Matchweek 35,Sun,Home,W,2,0,Crystal Palace,2,0,0,21,20,1,24,13,8,0,0,0,48,19,20,48.7,14:15:00
ENG-Premier League,1920,Aston Villa,2020-07-16 Everton-Aston Villa,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Everton,1,0,0,13,15,0,27,7,5,0,0,0,45,21,22,48.8,18:00:00
ENG-Premier League,1920,Aston Villa,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Home,W,1,0,Arsenal,2,0,0,13,19,1,24,10,9,0,0,0,39,15,15,50.0,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-26 West Ham-Aston Villa,2020-07-26,Matchweek 38,Sun,Away,D,1,1,West Ham,1,0,0,13,16,1,14,10,3,0,0,0,49,14,22,38.9,16:00:00
ENG-Premier League,1920,Bournemouth,2019-08-10 Bournemouth-Sheffield Utd,2019-08-10,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,2,0,0,10,17,1,14,13,13,0,0,0,51,13,20,39.4,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Away,W,2,1,Aston Villa,2,0,0,13,10,2,14,11,9,1,0,0,46,21,28,42.9,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-25 Bournemouth-Manchester City,2019-08-25,Matchweek 3,Sun,Home,L,1,3,Manchester City,1,0,0,7,13,2,15,16,5,0,0,0,57,15,16,48.4,14:00:00
ENG-Premier League,1920,Bournemouth,2019-08-31 Leicester City-Bournemouth,2019-08-31,Matchweek 4,Sat,Away,L,1,3,Leicester City,3,0,0,11,9,1,17,22,11,0,0,0,60,21,15,58.3,15:00:00
ENG-Premier League,1920,Bournemouth,2019-09-15 Bournemouth-Everton,2019-09-15,Matchweek 5,Sun,Home,W,3,1,Everton,0,0,0,5,14,4,7,13,9,0,0,0,55,23,24,48.9,14:00:00
ENG-Premier League,1920,Bournemouth,2019-09-20 Southampton-Bournemouth,2019-09-20,Matchweek 6,Fri,Away,W,3,1,Southampton,3,0,0,9,8,2,10,15,6,0,1,0,63,26,22,54.2,20:00:00
ENG-Premier League,1920,Bournemouth,2019-09-28 Bournemouth-West Ham,2019-09-28,Matchweek 7,Sat,Home,D,2,2,West Ham,3,0,0,7,8,2,17,12,4,0,0,0,57,24,25,49.0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Away,L,0,1,Arsenal,2,0,0,6,12,0,16,19,8,0,0,0,59,26,14,65.0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-10-19 Bournemouth-Norwich City,2019-10-19,Matchweek 9,Sat,Home,D,0,0,Norwich City,1,0,0,8,11,2,33,10,8,0,0,0,53,18,24,42.9,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-26 Watford-Bournemouth,2019-10-26,Matchweek 10,Sat,Away,D,0,0,Watford,3,0,0,8,14,3,25,15,9,0,0,0,50,15,12,55.6,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-02 Bournemouth-Manchester Utd,2019-11-02,Matchweek 11,Sat,Home,W,1,0,Manchester Utd,4,0,0,14,12,1,13,19,7,0,0,0,56,14,6,70.0,12:30:00
ENG-Premier League,1920,Bournemouth,2019-11-09 Newcastle Utd-Bournemouth,2019-11-09,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,0,0,0,5,10,1,24,8,10,0,0,0,47,19,23,45.2,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-23 Bournemouth-Wolves,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Wolves,4,1,1,10,9,0,18,12,6,0,0,0,37,12,21,36.4,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-30 Tottenham-Bournemouth,2019-11-30,Matchweek 14,Sat,Away,L,2,3,Tottenham,2,0,0,12,9,0,23,15,6,0,0,0,53,13,30,30.2,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Away,L,0,1,Crystal Palace,3,0,0,15,6,0,30,8,12,0,0,0,44,26,17,60.5,19:30:00
ENG-Premier League,1920,Bournemouth,2019-12-07 Bournemouth-Liverpool,2019-12-07,Matchweek 16,Sat,Home,L,0,3,Liverpool,0,0,0,5,6,5,3,16,7,0,0,0,62,15,14,51.7,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Away,W,1,0,Chelsea,2,0,0,14,9,1,16,19,5,0,0,0,47,25,31,44.6,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Burnley,2,0,0,13,20,2,21,6,10,0,0,0,44,23,22,51.1,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Home,D,1,1,Arsenal,4,0,0,5,12,1,19,7,7,0,0,0,47,14,12,53.8,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Away,L,0,2,Brighton,2,0,0,11,9,0,8,13,9,0,0,0,50,21,23,47.7,12:30:00
ENG-Premier League,1920,Bournemouth,2020-01-01 West Ham-Bournemouth,2020-01-01,Matchweek 21,Wed,Away,L,0,4,West Ham,2,0,0,12,3,3,15,6,10,0,1,0,58,22,18,55.0,17:30:00
ENG-Premier League,1920,Bournemouth,2020-01-12 Bournemouth-Watford,2020-01-12,Matchweek 22,Sun,Home,L,0,3,Watford,1,0,0,3,13,0,21,11,6,0,0,0,54,29,41,41.4,14:00:00
ENG-Premier League,1920,Bournemouth,2020-01-18 Norwich City-Bournemouth,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Norwich City,2,1,0,10,8,3,14,18,9,0,1,0,54,28,22,56.0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Home,W,3,1,Brighton,1,0,0,9,12,2,10,21,5,0,0,0,58,18,18,50.0,19:30:00
ENG-Premier League,1920,Bournemouth,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Home,W,2,1,Aston Villa,3,1,1,10,13,1,13,21,10,0,0,0,45,31,26,54.4,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-09 Sheffield Utd-Bournemouth,2020-02-09,Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,3,0,0,8,10,1,15,7,5,0,0,0,62,28,40,41.2,14:00:00
ENG-Premier League,1920,Bournemouth,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Away,L,0,3,Burnley,3,0,0,9,8,1,22,6,6,0,1,0,46,21,18,53.8,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Home,D,2,2,Chelsea,2,0,0,8,5,1,11,12,4,0,0,0,57,19,23,45.2,15:00:00
ENG-Premier League,1920,Bournemouth,2020-03-07 Liverpool-Bournemouth,2020-03-07,Matchweek 29,Sat,Away,L,1,2,Liverpool,1,0,0,12,7,5,14,13,6,0,0,0,47,19,18,51.4,12:30:00
ENG-Premier League,1920,Bournemouth,2020-06-20 Bournemouth-Crystal Palace,2020-06-20,Matchweek 30,Sat,Home,L,0,2,Crystal Palace,3,0,0,13,15,2,16,7,10,0,0,0,52,19,22,46.3,19:45:00
ENG-Premier League,1920,Bournemouth,2020-06-24 Wolves-Bournemouth,2020-06-24,Matchweek 31,Wed,Away,L,0,1,Wolves,3,0,0,11,10,2,16,6,12,0,0,0,45,21,18,53.8,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-01 Bournemouth-Newcastle Utd,2020-07-01,Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,2,0,0,11,10,2,16,8,8,0,0,0,47,21,22,48.8,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-04 Manchester Utd-Bournemouth,2020-07-04,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,1,0,0,12,2,4,9,11,4,0,1,0,42,12,15,44.4,15:00:00
ENG-Premier League,1920,Bournemouth,2020-07-09 Bournemouth-Tottenham,2020-07-09,Matchweek 34,Thu,Home,D,0,0,Tottenham,3,0,0,11,14,1,21,12,11,0,0,0,50,16,29,35.6,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-12 Bournemouth-Leicester City,2020-07-12,Matchweek 35,Sun,Home,W,4,1,Leicester City,2,0,0,11,10,4,15,11,6,1,0,0,71,18,23,43.9,19:00:00
ENG-Premier League,1920,Bournemouth,2020-07-15 Manchester City-Bournemouth,2020-07-15,Matchweek 36,Wed,Away,L,1,2,Manchester City,1,0,0,10,9,2,20,12,6,0,0,0,45,27,21,56.3,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-19 Bournemouth-Southampton,2020-07-19,Matchweek 37,Sun,Home,L,0,2,Southampton,2,0,0,12,11,2,31,11,7,0,1,0,47,37,41,47.4,14:00:00
ENG-Premier League,1920,Bournemouth,2020-07-26 Everton-Bournemouth,2020-07-26,Matchweek 38,Sun,Away,W,3,1,Everton,0,0,0,9,10,1,24,13,13,0,0,0,61,22,21,51.2,16:00:00
ENG-Premier League,1920,Brighton,2019-08-10 Watford-Brighton,2019-08-10,Matchweek 1,Sat,Away,W,3,0,Watford,1,0,0,11,14,3,12,11,14,0,0,0,56,18,14,56.3,15:00:00
ENG-Premier League,1920,Brighton,2019-08-17 Brighton-West Ham,2019-08-17,Matchweek 2,Sat,Home,D,1,1,West Ham,0,0,0,11,10,2,25,12,9,0,0,0,60,31,14,68.9,15:00:00
ENG-Premier League,1920,Brighton,2019-08-24 Brighton-Southampton,2019-08-24,Matchweek 3,Sat,Home,L,0,2,Southampton,1,1,0,9,10,1,18,15,10,0,0,0,62,24,14,63.2,15:00:00
ENG-Premier League,1920,Brighton,2019-08-31 Manchester City-Brighton,2019-08-31,Matchweek 4,Sat,Away,L,0,4,Manchester City,1,0,0,6,9,3,10,8,8,0,0,0,46,6,6,50.0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Home,D,1,1,Burnley,0,0,0,13,7,2,16,12,13,0,0,0,61,26,24,52.0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-21 Newcastle Utd-Brighton,2019-09-21,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1,0,0,8,12,3,17,11,7,0,0,0,48,18,19,48.6,17:30:00
ENG-Premier League,1920,Brighton,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Away,L,0,2,Chelsea,3,0,0,13,5,2,13,14,12,0,1,0,55,9,10,47.4,15:00:00
