,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,time
,,,,,,,,,,,,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Away,L,0,2,Brentford,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,2,8,25.0,27,3,14.8,27.4,8,50.0,41.5,7,1,14.3,0,6.0,20:00:00
ENG-Premier League,2122,Arsenal,2021-08-22 Arsenal-Chelsea,2021-08-22,Matchweek 2,Sun,Home,L,0,2,Chelsea,5,2,3,60.0,0,2.5,0.5,0,0,0,0,1,7,14.3,17,5,29.4,29.3,7,28.6,33.3,15,2,13.3,0,4.8,16:30:00
ENG-Premier League,2122,Arsenal,2021-08-28 Manchester City-Arsenal,2021-08-28,Matchweek 3,Sat,Away,L,0,5,Manchester City,10,5,5,50.0,0,5.4,0.4,0,0,0,0,9,23,39.1,20,4,60.0,43.7,11,100.0,64.0,26,2,7.7,0,7.0,12:30:00
ENG-Premier League,2122,Arsenal,2021-09-11 Arsenal-Norwich City,2021-09-11,Matchweek 4,Sat,Home,W,1,0,Norwich City,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4,9,44.4,24,5,25.0,29.4,6,50.0,44.8,13,0,0.0,2,29.5,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-18 Burnley-Arsenal,2021-09-18,Matchweek 5,Sat,Away,W,1,0,Burnley,3,0,3,100.0,1,0.2,0.2,0,0,0,0,5,17,29.4,40,10,22.5,26.2,9,88.9,64.8,33,4,12.1,2,14.9,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-26 Arsenal-Tottenham,2021-09-26,Matchweek 6,Sun,Home,W,3,1,Tottenham,4,1,3,75.0,0,1.8,0.8,0,0,0,0,11,23,47.8,29,2,51.7,39.0,10,80.0,56.0,17,1,5.9,0,9.0,16:30:00
ENG-Premier League,2122,Arsenal,2021-10-02 Brighton-Arsenal,2021-10-02,Matchweek 7,Sat,Away,D,0,0,Brighton,2,0,2,100.0,1,0.2,0.2,0,0,0,0,2,20,10.0,22,10,40.9,33.1,16,68.8,51.1,19,1,5.3,0,3.3,17:30:00
ENG-Premier League,2122,Arsenal,2021-10-18 Arsenal-Crystal Palace,2021-10-18,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,6,2,4,66.7,0,0.9,-1.1,0,0,0,0,6,11,54.5,24,5,41.7,35.9,4,25.0,26.8,5,0,0.0,2,21.7,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Home,W,3,1,Aston Villa,4,1,3,75.0,0,1.3,0.3,0,0,0,0,6,12,50.0,23,8,39.1,31.1,5,60.0,47.0,9,1,11.1,3,21.0,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-30 Leicester City-Arsenal,2021-10-30,Matchweek 10,Sat,Away,W,2,0,Leicester City,8,0,8,100.0,1,2.2,2.2,0,0,0,0,4,26,15.4,40,5,52.5,42.9,9,55.6,44.7,18,2,11.1,2,23.0,12:30:00
ENG-Premier League,2122,Arsenal,2021-11-07 Arsenal-Watford,2021-11-07,Matchweek 11,Sun,Home,W,1,0,Watford,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4,9,44.4,32,4,25.0,28.8,6,16.7,20.2,9,2,22.2,3,14.3,14:00:00
ENG-Premier League,2122,Arsenal,2021-11-20 Liverpool-Arsenal,2021-11-20,Matchweek 12,Sat,Away,L,0,4,Liverpool,9,4,5,55.6,0,3.1,-0.9,0,0,0,0,4,11,36.4,31,4,25.8,27.7,8,37.5,30.8,15,0,0.0,0,5.5,17:30:00
