,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,time
ENG-Premier League,2122,Arsenal,2021-11-27 Arsenal-Newcastle Utd,2021-11-27,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,5,0,5,100.0,1,0.4,0.4,0,0,0,0,2,5,40.0,17,4,29.4,31.5,3,0.0,10.0,14,0,0.0,0,2.0,12:30:00
ENG-Premier League,2122,Arsenal,2021-12-02 Manchester Utd-Arsenal,2021-12-02,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,10,3,7,80.0,0,3.2,0.2,1,1,0,0,4,16,25.0,36,10,33.3,29.2,7,57.1,36.4,11,1,9.1,0,10.0,20:15:00
ENG-Premier League,2122,Arsenal,2021-12-06 Everton-Arsenal,2021-12-06,Matchweek 15,Mon,Away,L,1,2,Everton,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,5,15,33.3,35,8,34.3,32.8,7,42.9,38.6,8,1,12.5,0,6.0,20:00:00
ENG-Premier League,2122,Arsenal,2021-12-11 Arsenal-Southampton,2021-12-11,Matchweek 16,Sat,Home,W,3,0,Southampton,6,0,6,100.0,1,1.6,1.6,0,0,0,0,5,16,31.3,42,1,31.0,31.8,4,75.0,54.5,12,1,8.3,0,6.5,15:00:00
ENG-Premier League,2122,Arsenal,2021-12-15 Arsenal-West Ham,2021-12-15,Matchweek 17,Wed,Home,W,2,0,West Ham,1,0,1,100.0,1,0.4,0.4,0,0,0,0,3,10,30.0,21,3,19.0,28.6,7,85.7,61.4,12,1,8.3,0,3.0,20:00:00
ENG-Premier League,2122,Arsenal,2021-12-18 Leeds United-Arsenal,2021-12-18,Matchweek 18,Sat,Away,W,4,1,Leeds United,2,1,1,100.0,0,1.2,0.2,1,1,0,0,6,20,30.0,32,6,37.5,33.8,8,100.0,67.0,7,1,14.3,1,14.5,17:30:00
ENG-Premier League,2122,Arsenal,2021-12-26 Norwich City-Arsenal,2021-12-26,Matchweek 19,Sun,Away,W,5,0,Norwich City,2,0,2,100.0,1,0.9,0.9,0,0,0,0,4,9,44.4,29,5,20.7,28.7,3,100.0,60.3,8,2,25.0,4,18.1,15:00:00
ENG-Premier League,2122,Arsenal,2022-01-01 Arsenal-Manchester City,2022-01-01,Matchweek 21,Sat,Home,L,1,2,Manchester City,2,2,0,50.0,0,1.7,-0.3,1,1,0,0,11,33,33.3,28,2,85.7,56.1,9,100.0,71.0,6,1,16.7,0,4.0,12:30:00
ENG-Premier League,2122,Arsenal,2022-01-23 Arsenal-Burnley,2022-01-23,Matchweek 23,Sun,Home,D,0,0,Burnley,1,0,1,100.0,1,0.1,0.1,0,0,0,0,3,11,27.3,32,4,25.0,33.0,8,37.5,34.3,5,1,20.0,4,16.4,14:00:00
ENG-Premier League,2122,Arsenal,2022-02-10 Wolves-Arsenal,2022-02-10,Matchweek 24,Thu,Away,W,1,0,Wolves,4,0,4,100.0,1,0.3,0.3,0,0,0,0,1,18,5.6,23,7,47.8,40.2,10,70.0,55.8,31,1,3.2,1,9.8,19:45:00
ENG-Premier League,2122,Arsenal,2022-02-19 Arsenal-Brentford,2022-02-19,Matchweek 26,Sat,Home,W,2,1,Brentford,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,7,17,41.2,37,5,43.2,37.4,2,50.0,41.0,7,1,14.3,1,17.3,15:00:00
ENG-Premier League,2122,Arsenal,2022-02-24 Arsenal-Wolves,2022-02-24,Matchweek 20,Thu,Home,W,2,1,Wolves,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,1,6,16.7,25,3,24.0,30.1,6,0.0,14.8,8,0,0.0,3,20.0,19:45:00
ENG-Premier League,2122,Arsenal,2022-03-06 Watford-Arsenal,2022-03-06,Matchweek 28,Sun,Away,W,3,2,Watford,7,2,5,71.4,0,1.6,-0.4,0,0,0,0,2,14,14.3,34,6,35.3,32.8,4,50.0,43.3,7,0,0.0,3,19.3,14:00:00
ENG-Premier League,2122,Arsenal,2022-03-13 Arsenal-Leicester City,2022-03-13,Matchweek 29,Sun,Home,W,2,0,Leicester City,3,0,3,100.0,1,0.5,0.5,0,0,0,0,4,14,28.6,37,3,35.1,33.9,2,50.0,43.5,11,1,9.1,1,12.7,16:30:00
ENG-Premier League,2122,Arsenal,2022-03-16 Arsenal-Liverpool,2022-03-16,Matchweek 27,Wed,Home,L,0,2,Liverpool,3,2,1,33.3,0,1.1,-0.9,0,0,0,0,4,21,19.0,30,3,50.0,39.3,6,100.0,70.5,10,1,10.0,4,25.0,20:15:00
ENG-Premier League,2122,Arsenal,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Away,W,1,0,Aston Villa,1,0,1,100.0,1,0.5,0.5,0,0,0,0,5,15,33.3,13,1,46.2,38.0,11,81.8,54.2,25,1,4.0,1,12.3,12:30:00
ENG-Premier League,2122,Arsenal,2022-04-04 Crystal Palace-Arsenal,2022-04-04,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,5,3,2,60.0,0,2.0,-1.0,1,1,0,0,2,10,20.0,30,3,30.0,29.3,5,20.0,26.8,6,0,0.0,6,28.8,20:00:00
ENG-Premier League,2122,Arsenal,2022-04-09 Arsenal-Brighton,2022-04-09,Matchweek 32,Sat,Home,L,1,2,Brighton,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,2,3,66.7,23,4,13.0,22.7,3,0.0,12.3,7,0,0.0,4,31.3,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-16 Southampton-Arsenal,2022-04-16,Matchweek 33,Sat,Away,L,0,1,Southampton,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,2,5,40.0,39,8,12.8,24.5,2,0.0,6.0,10,0,0.0,5,22.4,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-20 Chelsea-Arsenal,2022-04-20,Matchweek 25,Wed,Away,W,4,2,Chelsea,2,2,0,0.0,0,0.5,-1.5,0,0,0,0,4,15,26.7,17,2,52.9,42.3,8,75.0,57.4,16,0,0.0,4,17.3,19:45:00
ENG-Premier League,2122,Arsenal,2022-04-23 Arsenal-Manchester Utd,2022-04-23,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,5,1,4,80.0,0,2.0,1.0,1,0,0,1,1,19,5.3,39,5,30.8,30.1,8,87.5,62.8,14,1,7.1,1,15.0,12:30:00
ENG-Premier League,2122,Arsenal,2022-05-01 West Ham-Arsenal,2022-05-01,Matchweek 35,Sun,Away,W,2,1,West Ham,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3,12,25.0,16,4,50.0,39.5,6,66.7,50.2,18,0,0.0,0,3.0,16:30:00
ENG-Premier League,2122,Arsenal,2022-05-08 Arsenal-Leeds United,2022-05-08,Matchweek 36,Sun,Home,W,2,1,Leeds United,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,6,33.3,24,4,20.8,29.8,1,100.0,71.0,7,0,0.0,0,,14:00:00
ENG-Premier League,2122,Arsenal,2022-05-12 Tottenham-Arsenal,2022-05-12,Matchweek 22,Thu,Away,L,0,3,Tottenham,6,3,3,66.7,0,2.5,-0.5,1,1,0,0,5,21,23.8,33,2,42.4,37.8,7,100.0,67.0,8,0,0.0,0,10.0,19:45:00
ENG-Premier League,2122,Arsenal,2022-05-16 Newcastle Utd-Arsenal,2022-05-16,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,4,2,3,50.0,0,2.4,1.4,0,0,0,0,4,22,18.2,30,5,43.3,38.4,10,90.0,61.0,27,1,3.7,1,7.1,20:00:00
ENG-Premier League,2122,Arsenal,2022-05-22 Arsenal-Everton,2022-05-22,Matchweek 38,Sun,Home,W,5,1,Everton,2,1,1,50.0,0,1.0,0.0,0,0,0,0,1,4,25.0,19,2,21.1,26.9,5,0.0,16.0,6,0,0.0,3,17.2,16:00:00
ENG-Premier League,2122,Aston Villa,2021-08-14 Watford-Aston Villa,2021-08-14,Matchweek 1,Sat,Away,L,2,3,Watford,7,3,4,57.1,0,1.6,-1.4,0,0,0,0,2,4,50.0,28,10,7.1,19.9,7,28.6,27.1,5,0,0.0,1,26.5,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-21 Aston Villa-Newcastle Utd,2021-08-21,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5,11,45.5,14,0,28.6,37.1,10,70.0,46.8,17,1,5.9,1,16.5,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Home,D,1,1,Brentford,2,1,1,50.0,0,1.0,0.0,0,0,0,0,7,14,50.0,28,5,39.3,39.1,7,42.9,39.4,5,0,0.0,2,25.5,15:00:00
ENG-Premier League,2122,Aston Villa,2021-09-11 Chelsea-Aston Villa,2021-09-11,Matchweek 4,Sat,Away,L,0,3,Chelsea,4,3,1,25.0,0,2.2,-0.8,0,0,0,0,3,11,27.3,32,7,28.1,30.4,6,33.3,31.2,11,1,9.1,1,16.3,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-18 Aston Villa-Everton,2021-09-18,Matchweek 5,Sat,Home,W,3,0,Everton,1,0,1,100.0,1,0.1,0.1,0,0,0,0,8,12,66.7,30,6,30.0,28.5,12,25.0,30.8,14,0,0.0,3,27.3,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-25 Manchester Utd-Aston Villa,2021-09-25,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,4,0,4,100.0,1,0.3,0.3,1,0,0,1,8,28,28.6,27,2,70.4,48.1,13,69.2,49.0,11,0,0.0,4,26.8,12:30:00
ENG-Premier League,2122,Aston Villa,2021-10-03 Tottenham-Aston Villa,2021-10-03,Matchweek 7,Sun,Away,L,1,2,Tottenham,7,2,6,71.4,0,2.1,1.1,0,0,0,0,1,14,7.1,31,6,41.9,36.6,7,14.3,22.6,4,1,25.0,2,14.5,14:00:00
ENG-Premier League,2122,Aston Villa,2021-10-16 Aston Villa-Wolves,2021-10-16,Matchweek 8,Sat,Home,L,2,3,Wolves,4,3,1,25.0,0,1.7,-1.3,0,0,0,0,4,10,40.0,26,2,30.8,30.0,7,28.6,27.9,17,1,5.9,0,7.0,15:00:00
ENG-Premier League,2122,Aston Villa,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Away,L,1,3,Arsenal,9,3,5,66.7,0,3.0,0.0,1,0,1,0,4,8,50.0,33,6,21.2,28.3,8,12.5,23.8,12,0,0.0,2,23.7,20:00:00
ENG-Premier League,2122,Aston Villa,2021-10-31 Aston Villa-West Ham,2021-10-31,Matchweek 10,Sun,Home,L,1,4,West Ham,8,4,4,50.0,0,3.5,-0.5,0,0,0,0,8,16,50.0,26,4,50.0,34.0,7,42.9,41.1,10,0,0.0,1,26.0,16:30:00
ENG-Premier League,2122,Aston Villa,2021-11-05 Southampton-Aston Villa,2021-11-05,Matchweek 11,Fri,Away,L,0,1,Southampton,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,8,9,88.9,14,3,50.0,39.2,5,40.0,34.8,21,2,9.5,0,4.0,20:00:00
ENG-Premier League,2122,Aston Villa,2021-11-20 Aston Villa-Brighton,2021-11-20,Matchweek 12,Sat,Home,W,2,0,Brighton,2,0,2,100.0,1,0.3,0.3,0,0,0,0,1,9,11.1,17,1,41.2,36.9,5,40.0,34.8,15,2,13.3,0,10.0,15:00:00
ENG-Premier League,2122,Aston Villa,2021-11-27 Crystal Palace-Aston Villa,2021-11-27,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,3,1,2,66.7,0,1.0,0.0,0,0,0,0,4,12,33.3,18,4,55.6,40.3,6,33.3,26.2,19,3,15.8,0,7.2,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-01 Aston Villa-Manchester City,2021-12-01,Matchweek 14,Wed,Home,L,1,2,Manchester City,7,2,5,71.4,0,1.8,-0.2,0,0,0,0,6,12,50.0,27,7,29.6,28.0,9,44.4,35.0,14,0,0.0,0,16.0,20:15:00
ENG-Premier League,2122,Aston Villa,2021-12-05 Aston Villa-Leicester City,2021-12-05,Matchweek 15,Sun,Home,W,2,1,Leicester City,4,1,3,75.0,0,1.7,0.7,0,0,0,0,4,18,22.2,26,5,50.0,40.7,9,55.6,41.7,12,1,8.3,0,13.0,16:30:00
ENG-Premier League,2122,Aston Villa,2021-12-11 Liverpool-Aston Villa,2021-12-11,Matchweek 16,Sat,Away,L,0,1,Liverpool,5,1,4,100.0,0,2.2,1.2,1,1,0,0,3,22,13.6,34,8,50.0,39.2,10,50.0,41.2,22,0,0.0,0,17.0,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-14 Norwich City-Aston Villa,2021-12-14,Matchweek 17,Tue,Away,W,2,0,Norwich City,3,0,3,100.0,1,0.2,0.2,0,0,0,0,3,9,33.3,18,6,33.3,36.1,6,50.0,38.8,16,2,12.5,2,16.8,19:45:00
ENG-Premier League,2122,Aston Villa,2021-12-26 Aston Villa-Chelsea,2021-12-26,Matchweek 19,Sun,Home,L,1,3,Chelsea,4,3,1,75.0,0,2.6,-0.4,2,2,0,0,10,12,83.3,27,4,33.3,28.5,7,42.9,32.0,16,0,0.0,0,15.8,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-02 Brentford-Aston Villa,2022-01-02,Matchweek 21,Sun,Away,L,1,2,Brentford,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,5,12,41.7,22,1,27.3,30.9,10,60.0,39.5,11,1,9.1,0,9.0,14:00:00
ENG-Premier League,2122,Aston Villa,2022-01-15 Aston Villa-Manchester Utd,2022-01-15,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,2,5,40.0,18,4,27.8,29.4,5,0.0,12.4,10,1,10.0,0,5.5,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-22 Everton-Aston Villa,2022-01-22,Matchweek 23,Sat,Away,W,1,0,Everton,0,0,0,,1,0.0,0.0,0,0,0,0,4,17,23.5,19,3,57.9,44.1,11,54.5,45.0,18,2,11.1,3,17.8,12:30:00
ENG-Premier League,2122,Aston Villa,2022-02-09 Aston Villa-Leeds United,2022-02-09,Matchweek 24,Wed,Home,D,3,3,Leeds United,7,3,4,57.1,0,2.1,-0.9,0,0,0,0,2,9,22.2,19,3,42.1,31.6,8,12.5,24.4,15,2,13.3,0,8.3,20:00:00
ENG-Premier League,2122,Aston Villa,2022-02-13 Newcastle Utd-Aston Villa,2022-02-13,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,2,7,28.6,21,5,28.6,29.5,5,20.0,33.8,9,0,0.0,1,26.0,14:00:00
ENG-Premier League,2122,Aston Villa,2022-02-19 Aston Villa-Watford,2022-02-19,Matchweek 26,Sat,Home,L,0,1,Watford,4,1,3,75.0,0,1.9,0.9,0,0,0,0,2,5,40.0,16,8,31.3,30.5,6,0.0,14.7,11,2,18.2,2,14.3,15:00:00
ENG-Premier League,2122,Aston Villa,2022-02-26 Brighton-Aston Villa,2022-02-26,Matchweek 27,Sat,Away,W,2,0,Brighton,1,0,1,100.0,1,0.2,0.2,0,0,0,0,4,14,28.6,21,5,33.3,34.8,10,70.0,52.3,22,1,4.5,0,4.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-05 Aston Villa-Southampton,2022-03-05,Matchweek 28,Sat,Home,W,4,0,Southampton,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4,14,28.6,21,1,57.1,42.1,10,20.0,25.2,14,0,0.0,0,,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-10 Leeds United-Aston Villa,2022-03-10,Matchweek 20,Thu,Away,W,3,0,Leeds United,1,0,1,100.0,1,0.1,0.1,0,0,0,0,3,5,60.0,20,6,15.0,25.2,9,22.2,23.1,11,3,27.3,1,11.5,19:45:00
ENG-Premier League,2122,Aston Villa,2022-03-13 West Ham-Aston Villa,2022-03-13,Matchweek 29,Sun,Away,L,1,2,West Ham,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,1,5,20.0,23,3,13.0,22.3,10,20.0,22.5,14,1,7.1,0,6.3,14:00:00
ENG-Premier League,2122,Aston Villa,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Home,L,0,1,Arsenal,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,3,9,33.3,34,7,26.5,29.0,6,0.0,16.3,10,1,10.0,2,17.0,12:30:00
ENG-Premier League,2122,Aston Villa,2022-04-02 Wolves-Aston Villa,2022-04-02,Matchweek 31,Sat,Away,L,1,2,Wolves,4,2,3,50.0,0,1.0,0.0,0,0,0,0,1,4,25.0,21,4,19.0,27.1,5,0.0,15.0,9,1,11.1,5,27.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-09 Aston Villa-Tottenham,2022-04-09,Matchweek 32,Sat,Home,L,0,4,Tottenham,5,4,1,20.0,0,1.9,-2.1,0,0,0,0,0,1,0.0,9,2,11.1,21.0,4,0.0,13.0,5,0,0.0,0,10.0,17:30:00
ENG-Premier League,2122,Aston Villa,2022-04-23 Leicester City-Aston Villa,2022-04-23,Matchweek 34,Sat,Away,D,0,0,Leicester City,2,0,2,100.0,1,0.7,0.7,0,0,0,0,4,16,25.0,22,4,59.1,43.7,4,75.0,51.5,22,1,4.5,0,6.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-30 Aston Villa-Norwich City,2022-04-30,Matchweek 35,Sat,Home,W,2,0,Norwich City,3,0,3,100.0,1,0.5,0.5,0,0,0,0,4,8,50.0,18,5,27.8,30.9,10,30.0,34.9,9,1,11.1,0,9.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-07 Burnley-Aston Villa,2022-05-07,Matchweek 36,Sat,Away,W,3,1,Burnley,6,1,5,83.3,0,1.6,0.6,0,0,0,0,10,24,41.7,31,6,54.8,42.5,11,63.6,43.5,13,2,15.4,1,10.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-10 Aston Villa-Liverpool,2022-05-10,Matchweek 33,Tue,Home,L,1,2,Liverpool,5,2,3,60.0,0,1.1,-0.9,0,0,0,0,7,26,26.9,31,3,58.1,43.2,9,88.9,55.0,10,1,10.0,0,7.0,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-15 Aston Villa-Crystal Palace,2022-05-15,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,4,1,3,75.0,0,1.5,0.5,0,0,0,0,2,5,40.0,16,7,25.0,32.8,7,14.3,25.0,19,1,5.3,0,8.5,14:00:00
ENG-Premier League,2122,Aston Villa,2022-05-19 Aston Villa-Burnley,2022-05-19,Matchweek 18,Thu,Home,D,1,1,Burnley,4,1,3,100.0,0,1.6,0.6,1,1,0,0,0,0,,18,6,0.0,16.7,2,0.0,12.0,12,0,0.0,0,,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-22 Manchester City-Aston Villa,2022-05-22,Matchweek 38,Sun,Away,L,2,3,Manchester City,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,8,25,32.0,26,7,46.2,38.3,20,65.0,48.6,28,5,17.9,0,5.8,16:00:00
ENG-Premier League,2122,Brentford,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Home,W,2,0,Arsenal,4,0,4,100.0,1,0.4,0.4,0,0,0,0,11,34,32.4,35,5,51.4,41.1,16,100.0,65.5,16,2,12.5,1,17.8,20:00:00
ENG-Premier League,2122,Brentford,2021-08-21 Crystal Palace-Brentford,2021-08-21,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,2,0,2,100.0,1,0.4,0.4,0,0,0,0,5,21,23.8,41,6,39.0,32.3,6,83.3,60.7,8,2,25.0,1,14.0,15:00:00
ENG-Premier League,2122,Brentford,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Away,D,1,1,Aston Villa,5,1,4,80.0,0,1.1,0.1,0,0,0,0,9,16,56.3,59,7,25.4,28.7,4,25.0,34.5,18,0,0.0,5,28.3,15:00:00
ENG-Premier League,2122,Brentford,2021-09-11 Brentford-Brighton,2021-09-11,Matchweek 4,Sat,Home,L,0,1,Brighton,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,10,18,55.6,33,3,39.4,33.8,6,83.3,50.8,8,0,0.0,3,26.3,15:00:00
ENG-Premier League,2122,Brentford,2021-09-18 Wolves-Brentford,2021-09-18,Matchweek 5,Sat,Away,W,2,0,Wolves,0,0,0,,1,0.0,0.0,0,0,0,0,12,25,48.0,36,4,52.8,40.0,11,54.5,44.8,15,0,0.0,2,18.3,12:30:00
ENG-Premier League,2122,Brentford,2021-09-25 Brentford-Liverpool,2021-09-25,Matchweek 6,Sat,Home,D,3,3,Liverpool,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,13,37,35.1,34,4,79.4,50.2,10,100.0,65.4,21,1,4.8,5,21.0,17:30:00
ENG-Premier League,2122,Brentford,2021-10-03 West Ham-Brentford,2021-10-03,Matchweek 7,Sun,Away,W,2,1,West Ham,5,1,4,80.0,0,1.0,0.0,0,0,0,0,5,25,20.0,26,5,53.8,42.9,15,73.3,48.9,25,1,4.0,0,7.5,14:00:00
ENG-Premier League,2122,Brentford,2021-10-16 Brentford-Chelsea,2021-10-16,Matchweek 8,Sat,Home,L,0,1,Chelsea,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,11,21,52.4,51,8,41.2,33.3,5,0.0,13.6,10,3,30.0,3,15.4,17:30:00
ENG-Premier League,2122,Brentford,2021-10-24 Brentford-Leicester City,2021-10-24,Matchweek 9,Sun,Home,L,1,2,Leicester City,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,6,11,54.5,36,2,30.6,31.2,6,0.0,20.0,5,0,0.0,2,24.5,14:00:00
ENG-Premier League,2122,Brentford,2021-10-30 Burnley-Brentford,2021-10-30,Matchweek 10,Sat,Away,L,1,3,Burnley,5,3,2,40.0,0,2.5,-0.5,0,0,0,0,6,15,40.0,40,8,30.0,29.3,8,37.5,30.9,12,2,16.7,1,8.2,15:00:00
ENG-Premier League,2122,Brentford,2021-11-06 Brentford-Norwich City,2021-11-06,Matchweek 11,Sat,Home,L,1,2,Norwich City,5,2,3,80.0,0,1.5,-0.5,1,1,0,0,9,15,60.0,38,3,36.8,32.5,3,33.3,33.7,6,0,0.0,5,27.6,15:00:00
ENG-Premier League,2122,Brentford,2021-11-20 Newcastle Utd-Brentford,2021-11-20,Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,8,3,5,62.5,0,1.7,-1.3,0,0,0,0,9,27,33.3,39,7,59.0,40.0,8,50.0,38.4,26,1,3.8,4,25.5,15:00:00
ENG-Premier League,2122,Brentford,2021-11-28 Brentford-Everton,2021-11-28,Matchweek 13,Sun,Home,W,1,0,Everton,5,0,5,100.0,1,0.6,0.6,0,0,0,0,8,18,44.4,47,6,29.8,33.1,7,57.1,42.1,24,3,12.5,1,13.2,14:00:00
ENG-Premier League,2122,Brentford,2021-12-02 Tottenham-Brentford,2021-12-02,Matchweek 14,Thu,Away,L,0,2,Tottenham,6,2,5,66.7,0,2.1,1.1,0,0,0,0,2,10,20.0,32,5,25.0,30.4,4,50.0,33.3,13,0,0.0,0,8.5,19:30:00
