,league,season,team,game,date,round,day,venue,result,GF,GA,opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,time,teams_home_name,teams_home_logo,teams_away_name,teams_away_logo
0,ENG-Premier League,2122,Arsenal,2021-08-13 Brentford-Arsenal,8/13/2021,Matchweek 1,Fri,Away,L,0,2,Brentford,0,0,0,8,12,1,22,7,3,0,0,0,48,20,17,54.1,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Brentford,https://media-4.api-sports.io/football/teams/55.png
1,ENG-Premier League,2122,Arsenal,2021-08-22 Arsenal-Chelsea,8/22/2021,Matchweek 2,Sun,Home,L,0,2,Chelsea,3,0,0,10,3,5,21,6,17,0,0,0,37,11,18,37.9,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
2,ENG-Premier League,2122,Arsenal,2021-08-28 Manchester City-Arsenal,8/28/2021,Matchweek 3,Sat,Away,L,0,5,Manchester City,2,1,0,7,5,3,3,12,6,0,0,0,34,9,13,40.9,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
3,ENG-Premier League,2122,Arsenal,2021-09-11 Arsenal-Norwich City,9/11/2021,Matchweek 4,Sat,Home,W,1,0,Norwich City,2,0,0,9,11,2,20,3,11,0,0,0,57,19,16,54.3,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Norwich City,https://media-4.api-sports.io/football/teams/71.png
4,ENG-Premier League,2122,Arsenal,2021-09-18 Burnley-Arsenal,9/18/2021,Matchweek 5,Sat,Away,W,1,0,Burnley,1,0,0,8,9,2,9,11,8,0,0,0,47,23,29,44.2,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
5,ENG-Premier League,2122,Arsenal,2021-09-26 Arsenal-Tottenham,9/26/2021,Matchweek 6,Sun,Home,W,3,1,Tottenham,2,0,0,12,12,2,9,10,15,0,0,0,48,15,11,57.7,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
6,ENG-Premier League,2122,Arsenal,2021-10-02 Brighton-Arsenal,10/2/2021,Matchweek 7,Sat,Away,D,0,0,Brighton,1,0,0,5,8,1,12,11,5,0,0,0,46,7,16,30.4,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
7,ENG-Premier League,2122,Arsenal,2021-10-18 Arsenal-Crystal Palace,10/18/2021,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,1,0,0,7,3,0,19,7,9,0,0,0,41,7,20,25.9,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
8,ENG-Premier League,2122,Arsenal,2021-10-22 Arsenal-Aston Villa,10/22/2021,Matchweek 9,Fri,Home,W,3,1,Aston Villa,2,0,0,17,10,1,15,7,10,1,0,0,60,11,15,42.3,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Aston Villa,https://media-4.api-sports.io/football/teams/66.png
9,ENG-Premier League,2122,Arsenal,2021-10-30 Leicester City-Arsenal,10/30/2021,Matchweek 10,Sat,Away,W,2,0,Leicester City,0,0,0,11,8,1,14,8,3,0,0,0,41,9,15,37.5,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
