,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
,,,,,,,,,,,,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Away,L,0,2,Brentford,0,22,4,18.2,0.0,0.0,19.0,1,0,0,1.3,1.3,0.06,-1.3,-1.3,20:00:00
ENG-Premier League,2122,Arsenal,2021-08-22 Arsenal-Chelsea,2021-08-22,Matchweek 2,Sun,Home,L,0,2,Chelsea,0,6,3,50.0,0.0,0.0,18.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,16:30:00
ENG-Premier League,2122,Arsenal,2021-08-28 Manchester City-Arsenal,2021-08-28,Matchweek 3,Sat,Away,L,0,5,Manchester City,0,1,0,0.0,0.0,,6.8,0,0,0,0.2,0.2,0.21,-0.2,-0.2,12:30:00
ENG-Premier League,2122,Arsenal,2021-09-11 Arsenal-Norwich City,2021-09-11,Matchweek 4,Sat,Home,W,1,0,Norwich City,1,30,6,20.0,0.03,0.17,16.9,1,0,0,2.7,2.7,0.1,-1.7,-1.7,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-18 Burnley-Arsenal,2021-09-18,Matchweek 5,Sat,Away,W,1,0,Burnley,1,13,3,23.1,0.08,0.33,20.7,1,0,0,1.1,1.1,0.08,-0.1,-0.1,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-26 Arsenal-Tottenham,2021-09-26,Matchweek 6,Sun,Home,W,3,1,Tottenham,3,12,7,58.3,0.25,0.43,17.7,0,0,0,1.1,1.1,0.09,1.9,1.9,16:30:00
ENG-Premier League,2122,Arsenal,2021-10-02 Brighton-Arsenal,2021-10-02,Matchweek 7,Sat,Away,D,0,0,Brighton,0,8,2,25.0,0.0,0.0,21.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,17:30:00
ENG-Premier League,2122,Arsenal,2021-10-18 Arsenal-Crystal Palace,2021-10-18,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,2,17,6,35.3,0.12,0.33,17.6,1,0,0,1.7,1.7,0.11,0.3,0.3,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Home,W,3,1,Aston Villa,3,21,8,38.1,0.14,0.38,17.3,1,0,1,2.7,1.8,0.09,0.3,1.2,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-30 Leicester City-Arsenal,2021-10-30,Matchweek 10,Sat,Away,W,2,0,Leicester City,2,9,5,55.6,0.22,0.4,16.7,0,0,0,0.7,0.7,0.08,1.3,1.3,12:30:00
ENG-Premier League,2122,Arsenal,2021-11-07 Arsenal-Watford,2021-11-07,Matchweek 11,Sun,Home,W,1,0,Watford,1,13,5,38.5,0.08,0.2,21.1,1,0,1,1.6,0.8,0.07,-0.6,0.2,14:00:00
ENG-Premier League,2122,Arsenal,2021-11-20 Liverpool-Arsenal,2021-11-20,Matchweek 12,Sat,Away,L,0,4,Liverpool,0,5,3,60.0,0.0,0.0,19.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,17:30:00
ENG-Premier League,2122,Arsenal,2021-11-27 Arsenal-Newcastle Utd,2021-11-27,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,2,24,6,25.0,0.08,0.33,17.8,1,0,0,2.5,2.5,0.11,-0.5,-0.5,12:30:00
ENG-Premier League,2122,Arsenal,2021-12-02 Manchester Utd-Arsenal,2021-12-02,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,2,17,7,41.2,0.12,0.29,16.5,1,0,0,1.4,1.4,0.09,0.6,0.6,20:15:00
ENG-Premier League,2122,Arsenal,2021-12-06 Everton-Arsenal,2021-12-06,Matchweek 15,Mon,Away,L,1,2,Everton,1,10,3,30.0,0.1,0.33,16.1,0,0,0,1.0,1.0,0.1,0.0,0.0,20:00:00
