,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,time
,,,,,,,,,,,,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Wolves,2021-01-30 Crystal Palace-Wolves,2021-01-30,Matchweek 21,Sat,Away,L,0,1,Crystal Palace,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,1,4,25.0,7,3,42.9,35.1,9,11.1,17.4,2,0,0.0,0,3.0,15:00:00
ENG-Premier League,2021,Wolves,2021-02-02 Wolves-Arsenal,2021-02-02,Matchweek 22,Tue,Home,W,2,1,Arsenal,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,3,6,50.0,16,5,37.5,30.0,4,25.0,21.0,10,0,0.0,1,11.7,18:00:00
ENG-Premier League,2021,Wolves,2021-02-07 Wolves-Leicester City,2021-02-07,Matchweek 23,Sun,Home,D,0,0,Leicester City,3,0,3,100.0,1,0.3,0.3,0,0,0,0,3,10,30.0,14,2,64.3,40.1,7,28.6,24.4,10,0,0.0,0,4.0,14:00:00
ENG-Premier League,2021,Wolves,2021-02-14 Southampton-Wolves,2021-02-14,Matchweek 24,Sun,Away,W,2,1,Southampton,3,1,2,66.7,0,1.5,0.5,0,0,0,0,4,13,30.8,23,3,52.2,38.9,3,33.3,39.3,7,1,14.3,2,17.5,12:00:00
ENG-Premier League,2021,Wolves,2021-02-19 Wolves-Leeds United,2021-02-19,Matchweek 25,Fri,Home,W,1,0,Leeds United,7,0,7,100.0,1,1.2,1.2,0,0,0,0,7,19,36.8,21,4,66.7,44.2,8,62.5,40.6,18,1,5.6,0,10.8,20:00:00
ENG-Premier League,2021,Wolves,2021-02-27 Newcastle Utd-Wolves,2021-02-27,Matchweek 26,Sat,Away,D,1,1,Newcastle Utd,6,1,5,83.3,0,1.5,0.5,0,0,0,0,6,17,35.3,20,3,60.0,39.8,8,62.5,37.3,14,1,7.1,2,15.5,20:00:00
ENG-Premier League,2021,Wolves,2021-03-02 Manchester City-Wolves,2021-03-02,Matchweek 29,Tue,Away,L,1,4,Manchester City,10,4,7,60.0,0,3.7,0.7,0,0,0,0,2,11,18.2,17,4,64.7,40.5,9,0.0,6.7,18,1,5.6,0,6.0,20:00:00
ENG-Premier League,2021,Wolves,2021-03-06 Aston Villa-Wolves,2021-03-06,Matchweek 27,Sat,Away,D,0,0,Aston Villa,1,0,1,100.0,1,0.1,0.1,0,0,0,0,6,15,40.0,11,1,63.6,45.1,9,88.9,46.7,19,0,0.0,0,,17:30:00
ENG-Premier League,2021,Wolves,2021-03-15 Wolves-Liverpool,2021-03-15,Matchweek 28,Mon,Home,L,0,1,Liverpool,4,1,3,75.0,0,1.0,0.0,0,0,0,0,5,11,45.5,15,5,46.7,37.3,10,40.0,26.0,10,0,0.0,1,24.0,20:00:00
ENG-Premier League,2021,Wolves,2021-04-05 Wolves-West Ham,2021-04-05,Matchweek 30,Mon,Home,L,2,3,West Ham,6,3,3,50.0,0,2.0,-1.0,0,0,0,0,1,1,100.0,16,5,6.3,24.8,3,0.0,15.7,9,0,0.0,0,1.0,20:15:00
ENG-Premier League,2021,Wolves,2021-04-09 Fulham-Wolves,2021-04-09,Matchweek 31,Fri,Away,W,1,0,Fulham,3,0,3,100.0,1,0.5,0.5,0,0,0,0,2,8,25.0,17,8,23.5,26.5,11,36.4,34.7,25,2,8.0,0,7.0,20:00:00
ENG-Premier League,2021,Wolves,2021-04-17 Wolves-Sheffield Utd,2021-04-17,Matchweek 32,Sat,Home,W,1,0,Sheffield Utd,2,0,2,100.0,1,0.4,0.4,0,0,0,0,2,5,40.0,12,5,25.0,36.3,4,50.0,32.8,20,1,5.0,0,4.0,20:15:00
ENG-Premier League,2021,Wolves,2021-04-25 Wolves-Burnley,2021-04-25,Matchweek 33,Sun,Home,L,0,4,Burnley,7,4,3,42.9,0,2.8,-1.2,0,0,0,0,3,15,20.0,18,6,50.0,35.2,8,75.0,44.9,17,2,11.8,0,7.3,12:00:00
ENG-Premier League,2021,Wolves,2021-05-03 West Brom-Wolves,2021-05-03,Matchweek 34,Mon,Away,D,1,1,West Brom,3,1,2,66.7,0,1.4,0.4,0,0,0,0,2,9,22.2,17,7,23.5,32.4,9,55.6,41.3,16,1,6.3,1,11.5,18:00:00
ENG-Premier League,2021,Wolves,2021-05-09 Wolves-Brighton,2021-05-09,Matchweek 35,Sun,Home,W,2,1,Brighton,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5,10,50.0,10,3,50.0,34.4,9,55.6,38.6,9,0,0.0,0,6.0,12:00:00
ENG-Premier League,2021,Wolves,2021-05-16 Tottenham-Wolves,2021-05-16,Matchweek 36,Sun,Away,L,0,2,Tottenham,11,2,9,81.8,0,3.1,1.1,0,0,0,0,5,10,50.0,14,5,35.7,31.4,8,62.5,44.1,16,0,0.0,0,,14:05:00
ENG-Premier League,2021,Wolves,2021-05-19 Everton-Wolves,2021-05-19,Matchweek 37,Wed,Away,L,0,1,Everton,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,1,4,25.0,18,10,22.2,31.6,3,0.0,24.7,17,3,17.6,0,8.7,18:00:00
ENG-Premier League,2021,Wolves,2021-05-23 Wolves-Manchester Utd,2021-05-23,Matchweek 38,Sun,Home,L,1,2,Manchester Utd,4,2,2,75.0,0,2.1,0.1,1,1,0,0,1,2,50.0,5,4,20.0,16.2,7,14.3,13.0,5,0,0.0,0,,16:00:00
