,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
,,,,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Leeds United,2020-12-11 Leeds United-West Ham,2020-12-11,Matchweek 12,Fri,Home,L,1,2,West Ham,498,601,82.9,9106,3041,198,221,89.6,253,283,89.4,43,79,54.4,0,0.6,0.7,9,49,13,4,46,20:00:00
ENG-Premier League,2021,Leeds United,2020-12-16 Leeds United-Newcastle Utd,2020-12-16,Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,476,595,80.0,8912,3224,188,219,85.8,243,277,87.7,43,73,58.9,4,1.9,1.4,20,48,21,6,77,18:00:00
ENG-Premier League,2021,Leeds United,2020-12-20 Manchester Utd-Leeds United,2020-12-20,Matchweek 14,Sun,Away,L,2,6,Manchester Utd,432,547,79.0,7649,2709,196,217,90.3,175,208,84.1,53,88,60.2,2,1.3,1.2,13,37,10,4,47,16:30:00
ENG-Premier League,2021,Leeds United,2020-12-27 Leeds United-Burnley,2020-12-27,Matchweek 15,Sun,Home,W,1,0,Burnley,342,465,73.5,6298,2471,139,159,87.4,146,172,84.9,48,102,47.1,0,1.0,0.8,7,22,5,1,35,12:00:00
ENG-Premier League,2021,Leeds United,2020-12-29 West Brom-Leeds United,2020-12-29,Matchweek 16,Tue,Away,W,5,0,West Brom,708,815,86.9,13090,4079,281,312,90.1,354,383,92.4,65,103,63.1,3,1.2,0.9,12,50,15,3,66,18:00:00
ENG-Premier League,2021,Leeds United,2021-01-02 Tottenham-Leeds United,2021-01-02,Matchweek 17,Sat,Away,L,0,3,Tottenham,526,640,82.2,8804,2904,248,275,90.2,222,256,86.7,44,72,61.1,0,1.0,0.9,13,35,12,4,43,12:30:00
ENG-Premier League,2021,Leeds United,2021-01-16 Leeds United-Brighton,2021-01-16,Matchweek 19,Sat,Home,L,0,1,Brighton,533,664,80.3,8983,2860,228,260,87.7,256,289,88.6,35,79,44.3,0,0.2,0.5,4,31,9,2,54,15:00:00
ENG-Premier League,2021,Leeds United,2021-01-26 Newcastle Utd-Leeds United,2021-01-26,Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,361,492,73.4,6632,2476,154,185,83.2,142,175,81.1,52,98,53.1,2,0.7,0.7,8,11,11,1,33,18:00:00
ENG-Premier League,2021,Leeds United,2021-01-31 Leicester City-Leeds United,2021-01-31,Matchweek 21,Sun,Away,W,3,1,Leicester City,310,433,71.6,5132,1790,143,167,85.6,140,173,80.9,20,66,30.3,3,2.1,0.9,8,16,5,0,23,14:00:00
ENG-Premier League,2021,Leeds United,2021-02-03 Leeds United-Everton,2021-02-03,Matchweek 22,Wed,Home,L,1,2,Everton,498,616,80.8,8187,2820,215,234,91.9,240,280,85.7,24,53,45.3,1,0.8,1.0,13,43,13,3,63,19:30:00
ENG-Premier League,2021,Leeds United,2021-02-08 Leeds United-Crystal Palace,2021-02-08,Matchweek 23,Mon,Home,W,2,0,Crystal Palace,662,760,87.1,10573,3367,325,353,92.1,281,307,91.5,38,61,62.3,1,1.1,1.3,13,27,13,4,53,20:00:00
ENG-Premier League,2021,Leeds United,2021-02-14 Arsenal-Leeds United,2021-02-14,Matchweek 24,Sun,Away,L,2,4,Arsenal,419,540,77.6,7326,2167,170,197,86.3,195,220,88.6,40,92,43.5,2,0.9,0.7,8,34,4,1,38,16:30:00
ENG-Premier League,2021,Leeds United,2021-02-19 Wolves-Leeds United,2021-02-19,Matchweek 25,Fri,Away,L,0,1,Wolves,387,487,79.5,7146,2588,168,190,88.4,153,178,86.0,53,88,60.2,0,1.1,1.4,12,27,9,1,26,20:00:00
ENG-Premier League,2021,Leeds United,2021-02-23 Leeds United-Southampton,2021-02-23,Matchweek 18,Tue,Home,W,3,0,Southampton,247,361,68.4,4610,2141,87,110,79.1,109,146,74.7,34,63,54.0,2,1.1,1.4,9,14,5,1,21,18:00:00
ENG-Premier League,2021,Leeds United,2021-02-27 Leeds United-Aston Villa,2021-02-27,Matchweek 26,Sat,Home,L,0,1,Aston Villa,448,579,77.4,7300,2597,225,252,89.3,161,196,82.1,42,87,48.3,0,0.8,0.8,10,33,9,1,51,17:30:00
ENG-Premier League,2021,Leeds United,2021-03-08 West Ham-Leeds United,2021-03-08,Matchweek 27,Mon,Away,L,0,2,West Ham,476,580,82.1,8135,2685,239,259,92.3,178,213,83.6,49,74,66.2,0,1.2,0.9,12,30,9,2,59,20:00:00
ENG-Premier League,2021,Leeds United,2021-03-13 Leeds United-Chelsea,2021-03-13,Matchweek 28,Sat,Home,D,0,0,Chelsea,280,394,71.1,5123,2295,110,139,79.1,123,151,81.5,35,66,53.0,0,0.3,0.3,5,21,3,1,24,12:30:00
ENG-Premier League,2021,Leeds United,2021-03-19 Fulham-Leeds United,2021-03-19,Matchweek 29,Fri,Away,W,2,1,Fulham,258,380,67.9,5101,1858,90,115,78.3,133,162,82.1,33,78,42.3,2,1.1,0.5,9,20,7,0,38,20:00:00
ENG-Premier League,2021,Leeds United,2021-04-03 Leeds United-Sheffield Utd,2021-04-03,Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,413,534,77.3,7373,2698,183,218,83.9,177,215,82.3,41,69,59.4,1,1.9,1.3,14,32,11,0,42,15:00:00
ENG-Premier League,2021,Leeds United,2021-04-10 Manchester City-Leeds United,2021-04-10,Matchweek 31,Sat,Away,W,2,1,Manchester City,187,281,66.5,3713,1497,75,93,80.6,78,104,75.0,30,70,42.9,2,0.1,0.3,2,11,1,0,11,12:30:00
ENG-Premier League,2021,Leeds United,2021-04-19 Leeds United-Liverpool,2021-04-19,Matchweek 32,Mon,Home,D,1,1,Liverpool,470,577,81.5,9143,3113,173,192,90.1,229,254,90.2,60,108,55.6,1,1.9,1.0,10,24,8,1,36,20:00:00
ENG-Premier League,2021,Leeds United,2021-04-25 Leeds United-Manchester Utd,2021-04-25,Matchweek 33,Sun,Home,D,0,0,Manchester Utd,323,426,75.8,5587,1889,142,161,88.2,141,169,83.4,34,76,44.7,0,0.2,0.1,5,14,3,0,26,14:00:00
ENG-Premier League,2021,Leeds United,2021-05-01 Brighton-Leeds United,2021-05-01,Matchweek 34,Sat,Away,L,0,2,Brighton,421,531,79.3,7447,2489,183,206,88.8,179,208,86.1,42,80,52.5,0,0.4,0.4,7,32,6,1,49,15:00:00
ENG-Premier League,2021,Leeds United,2021-05-08 Leeds United-Tottenham,2021-05-08,Matchweek 35,Sat,Home,W,3,1,Tottenham,383,497,77.1,6592,2578,166,185,89.7,159,189,84.1,39,75,52.0,2,1.9,1.4,15,29,7,0,43,12:30:00
ENG-Premier League,2021,Leeds United,2021-05-15 Burnley-Leeds United,2021-05-15,Matchweek 36,Sat,Away,W,4,0,Burnley,363,491,73.9,6293,2084,172,205,83.9,147,181,81.2,35,79,44.3,4,1.3,0.9,11,20,9,1,31,12:30:00
ENG-Premier League,2021,Leeds United,2021-05-18 Southampton-Leeds United,2021-05-18,Matchweek 37,Tue,Away,W,2,0,Southampton,315,426,73.9,5710,2378,132,158,83.5,134,163,82.2,38,68,55.9,1,1.3,0.6,11,17,6,1,27,18:00:00
ENG-Premier League,2021,Leeds United,2021-05-23 Leeds United-West Brom,2021-05-23,Matchweek 38,Sun,Home,W,3,1,West Brom,440,542,81.2,7794,3046,198,229,86.5,185,217,85.3,47,71,66.2,1,1.2,1.2,12,36,15,2,45,16:00:00
ENG-Premier League,2021,Leicester City,2020-09-13 West Brom-Leicester City,2020-09-13,Matchweek 1,Sun,Away,W,3,0,West Brom,546,658,83.0,8347,2603,280,312,89.7,197,225,87.6,36,69,52.2,1,0.7,0.8,5,29,6,0,42,14:00:00
ENG-Premier League,2021,Leicester City,2020-09-20 Leicester City-Burnley,2020-09-20,Matchweek 2,Sun,Home,W,4,2,Burnley,546,666,82.0,9332,2993,251,276,90.9,218,260,83.8,53,85,62.4,2,0.7,1.1,12,28,18,2,59,19:00:00
ENG-Premier League,2021,Leicester City,2020-09-27 Manchester City-Leicester City,2020-09-27,Matchweek 3,Sun,Away,W,5,2,Manchester City,212,291,72.9,3714,1654,110,124,88.7,67,85,78.8,25,61,41.0,2,0.5,0.3,4,10,5,0,17,16:30:00
ENG-Premier League,2021,Leicester City,2020-10-04 Leicester City-West Ham,2020-10-04,Matchweek 4,Sun,Home,L,0,3,West Ham,606,741,81.8,9704,2981,275,303,90.8,254,294,86.4,41,73,56.2,0,0.5,0.5,2,52,8,2,50,12:00:00
ENG-Premier League,2021,Leicester City,2020-10-18 Leicester City-Aston Villa,2020-10-18,Matchweek 5,Sun,Home,L,0,1,Aston Villa,333,452,73.7,5784,2193,149,181,82.3,139,162,85.8,33,80,41.3,0,0.3,0.3,7,29,9,2,40,19:15:00
ENG-Premier League,2021,Leicester City,2020-10-25 Arsenal-Leicester City,2020-10-25,Matchweek 6,Sun,Away,W,1,0,Arsenal,390,481,81.1,6419,2149,196,213,92.0,126,147,85.7,41,71,57.7,1,0.6,0.6,3,14,2,0,20,19:15:00
ENG-Premier League,2021,Leicester City,2020-11-02 Leeds United-Leicester City,2020-11-02,Matchweek 7,Mon,Away,W,4,1,Leeds United,234,337,69.4,3789,1775,119,153,77.8,81,102,79.4,21,56,37.5,2,1.5,1.3,6,12,3,1,21,20:00:00
ENG-Premier League,2021,Leicester City,2020-11-08 Leicester City-Wolves,2020-11-08,Matchweek 8,Sun,Home,W,1,0,Wolves,422,536,78.7,6464,2054,210,244,86.1,146,178,82.0,31,64,48.4,0,0.3,0.3,6,29,3,1,39,14:00:00
ENG-Premier League,2021,Leicester City,2020-11-22 Liverpool-Leicester City,2020-11-22,Matchweek 9,Sun,Away,L,0,3,Liverpool,378,489,77.3,6695,2521,163,187,87.2,150,175,85.7,46,84,54.8,0,0.8,0.4,9,26,8,1,40,19:15:00
ENG-Premier League,2021,Leicester City,2020-11-30 Leicester City-Fulham,2020-11-30,Matchweek 10,Mon,Home,L,1,2,Fulham,599,715,83.8,9906,2395,236,275,85.8,316,353,89.5,25,50,50.0,1,0.7,1.1,9,43,10,2,43,17:30:00
ENG-Premier League,2021,Leicester City,2020-12-06 Sheffield Utd-Leicester City,2020-12-06,Matchweek 11,Sun,Away,W,2,1,Sheffield Utd,599,729,82.2,9896,2808,284,317,89.6,244,277,88.1,48,83,57.8,1,0.6,1.1,7,47,5,1,48,14:15:00
ENG-Premier League,2021,Leicester City,2020-12-13 Leicester City-Brighton,2020-12-13,Matchweek 12,Sun,Home,W,3,0,Brighton,491,582,84.4,8468,2788,216,240,90.0,197,218,90.4,51,72,70.8,3,1.0,0.9,13,36,13,2,46,19:15:00
ENG-Premier League,2021,Leicester City,2020-12-16 Leicester City-Everton,2020-12-16,Matchweek 13,Wed,Home,L,0,2,Everton,490,590,83.1,7804,2443,248,276,89.9,188,220,85.5,32,58,55.2,0,0.8,0.6,11,27,7,2,30,18:00:00
ENG-Premier League,2021,Leicester City,2020-12-20 Tottenham-Leicester City,2020-12-20,Matchweek 14,Sun,Away,W,2,0,Tottenham,341,442,77.1,5954,2222,159,182,87.4,133,155,85.8,42,88,47.7,0,0.9,1.3,15,29,11,1,28,14:15:00
ENG-Premier League,2021,Leicester City,2020-12-26 Leicester City-Manchester Utd,2020-12-26,Matchweek 15,Sat,Home,D,2,2,Manchester Utd,434,556,78.1,7719,2383,195,226,86.3,175,205,85.4,54,97,55.7,1,0.4,0.6,6,33,5,1,32,12:30:00
ENG-Premier League,2021,Leicester City,2020-12-28 Crystal Palace-Leicester City,2020-12-28,Matchweek 16,Mon,Away,D,1,1,Crystal Palace,523,662,79.0,8348,2425,265,299,88.6,183,218,83.9,48,84,57.1,1,0.9,0.6,10,27,7,3,45,15:00:00
ENG-Premier League,2021,Leicester City,2021-01-03 Newcastle Utd-Leicester City,2021-01-03,Matchweek 17,Sun,Away,W,2,1,Newcastle Utd,414,531,78.0,7293,2674,177,205,86.3,191,222,86.0,40,82,48.8,2,0.6,0.6,7,27,6,0,41,14:15:00
ENG-Premier League,2021,Leicester City,2021-01-16 Leicester City-Southampton,2021-01-16,Matchweek 19,Sat,Home,W,2,0,Southampton,347,489,71.0,6389,2291,144,188,76.6,156,187,83.4,41,81,50.6,2,1.7,1.0,13,32,9,2,46,20:00:00
ENG-Premier League,2021,Leicester City,2021-01-19 Leicester City-Chelsea,2021-01-19,Matchweek 18,Tue,Home,W,2,0,Chelsea,301,385,78.2,5467,2284,131,152,86.2,135,156,86.5,28,56,50.0,2,1.4,0.7,8,22,7,1,24,20:15:00
ENG-Premier League,2021,Leicester City,2021-01-27 Everton-Leicester City,2021-01-27,Matchweek 20,Wed,Away,D,1,1,Everton,519,623,83.3,8883,2696,215,243,88.5,259,287,90.2,33,54,61.1,1,0.5,0.5,13,34,7,0,51,20:15:00
ENG-Premier League,2021,Leicester City,2021-01-31 Leicester City-Leeds United,2021-01-31,Matchweek 21,Sun,Home,L,1,3,Leeds United,328,448,73.2,5261,2500,172,204,84.3,122,158,77.2,25,58,43.1,1,1.2,0.9,14,26,3,0,41,14:00:00
ENG-Premier League,2021,Leicester City,2021-02-03 Fulham-Leicester City,2021-02-03,Matchweek 22,Wed,Away,W,2,0,Fulham,373,492,75.8,6532,2408,187,216,86.6,138,166,83.1,40,81,49.4,2,1.4,0.6,8,18,4,2,31,18:00:00
ENG-Premier League,2021,Leicester City,2021-02-07 Wolves-Leicester City,2021-02-07,Matchweek 23,Sun,Away,D,0,0,Wolves,519,604,85.9,7793,2489,299,326,91.7,176,199,88.4,27,44,61.4,0,0.5,0.7,9,27,12,2,42,14:00:00
ENG-Premier League,2021,Leicester City,2021-02-13 Leicester City-Liverpool,2021-02-13,Matchweek 24,Sat,Home,W,3,1,Liverpool,263,383,68.7,4255,1734,122,149,81.9,100,140,71.4,24,59,40.7,1,0.8,0.2,6,10,4,1,19,12:30:00
ENG-Premier League,2021,Leicester City,2021-02-21 Aston Villa-Leicester City,2021-02-21,Matchweek 25,Sun,Away,W,2,1,Aston Villa,391,482,81.1,5921,2057,202,217,93.1,153,180,85.0,15,52,28.8,1,0.5,0.3,12,36,5,1,31,14:05:00
ENG-Premier League,2021,Leicester City,2021-02-28 Leicester City-Arsenal,2021-02-28,Matchweek 26,Sun,Home,L,1,3,Arsenal,336,437,76.9,5756,2082,142,166,85.5,146,169,86.4,31,67,46.3,0,0.2,0.3,5,30,4,1,26,12:00:00
