,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
,,,,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Away,L,0,2,Brentford,522,620,84.2,8683,2519,264,290,91.0,208,235,88.5,40,69,58.0,0,1.1,1.4,19,36,19,8,62,20:00:00
ENG-Premier League,2122,Arsenal,2021-08-22 Arsenal-Chelsea,2021-08-22,Matchweek 2,Sun,Home,L,0,2,Chelsea,287,380,75.5,4514,1603,149,165,90.3,92,117,78.6,28,61,45.9,0,0.3,0.6,6,19,6,2,23,16:30:00
ENG-Premier League,2122,Arsenal,2021-08-28 Manchester City-Arsenal,2021-08-28,Matchweek 3,Sat,Away,L,0,5,Manchester City,141,207,68.1,2877,1310,56,73,76.7,62,74,83.8,22,52,42.3,0,0.2,0.2,1,14,2,1,11,12:30:00
ENG-Premier League,2122,Arsenal,2021-09-11 Arsenal-Norwich City,2021-09-11,Matchweek 4,Sat,Home,W,1,0,Norwich City,395,482,82.0,6914,2630,180,200,90.0,172,202,85.1,33,61,54.1,1,2.5,0.9,24,40,16,5,51,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-18 Burnley-Arsenal,2021-09-18,Matchweek 5,Sat,Away,W,1,0,Burnley,442,557,79.4,6739,2407,252,280,90.0,158,189,83.6,20,58,34.5,0,0.7,0.7,9,26,5,0,38,15:00:00
ENG-Premier League,2122,Arsenal,2021-09-26 Arsenal-Tottenham,2021-09-26,Matchweek 6,Sun,Home,W,3,1,Tottenham,377,457,82.5,7541,2888,148,165,89.7,174,196,88.8,48,72,66.7,2,0.7,0.8,11,34,3,0,36,16:30:00
ENG-Premier League,2122,Arsenal,2021-10-02 Brighton-Arsenal,2021-10-02,Matchweek 7,Sat,Away,D,0,0,Brighton,295,394,74.9,5076,2064,121,149,81.2,149,166,89.8,18,55,32.7,0,0.3,0.4,5,23,6,0,33,17:30:00
ENG-Premier League,2122,Arsenal,2021-10-18 Arsenal-Crystal Palace,2021-10-18,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,508,594,85.5,9029,2661,226,245,92.2,214,232,92.2,54,87,62.1,0,0.7,0.7,10,50,12,3,35,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Home,W,3,1,Aston Villa,394,492,80.1,6785,2452,185,210,88.1,159,189,84.1,39,65,60.0,2,1.4,1.2,15,32,8,1,42,20:00:00
ENG-Premier League,2122,Arsenal,2021-10-30 Leicester City-Arsenal,2021-10-30,Matchweek 10,Sat,Away,W,2,0,Leicester City,282,380,74.2,5130,1627,120,136,88.2,131,161,81.4,27,70,38.6,1,0.5,0.5,7,21,4,1,21,12:30:00
ENG-Premier League,2122,Arsenal,2021-11-07 Arsenal-Watford,2021-11-07,Matchweek 11,Sun,Home,W,1,0,Watford,434,536,81.0,8723,2778,112,140,80.0,279,312,89.4,40,72,55.6,0,0.5,1.2,8,36,8,2,55,14:00:00
ENG-Premier League,2122,Arsenal,2021-11-20 Liverpool-Arsenal,2021-11-20,Matchweek 12,Sat,Away,L,0,4,Liverpool,331,419,79.0,6019,2400,143,167,85.6,142,161,88.2,36,67,53.7,0,0.4,0.4,5,28,4,2,25,17:30:00
ENG-Premier League,2122,Arsenal,2021-11-27 Arsenal-Newcastle Utd,2021-11-27,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,584,683,85.5,9166,2826,310,334,92.8,227,252,90.1,36,61,59.0,2,2.1,1.5,19,60,13,1,68,12:30:00
ENG-Premier League,2122,Arsenal,2021-12-02 Manchester Utd-Arsenal,2021-12-02,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,474,578,82.0,7728,2429,239,269,88.8,168,194,86.6,45,75,60.0,2,1.2,0.7,12,27,7,3,29,20:15:00
ENG-Premier League,2122,Arsenal,2021-12-06 Everton-Arsenal,2021-12-06,Matchweek 15,Mon,Away,L,1,2,Everton,515,632,81.5,8681,2657,246,275,89.5,229,256,89.5,37,77,48.1,1,1.0,0.7,10,39,8,2,47,20:00:00
ENG-Premier League,2122,Arsenal,2021-12-11 Arsenal-Southampton,2021-12-11,Matchweek 16,Sat,Home,W,3,0,Southampton,426,550,77.5,7855,2624,177,211,83.9,205,236,86.9,42,79,53.2,3,1.7,1.2,13,25,9,2,44,15:00:00
ENG-Premier League,2122,Arsenal,2021-12-15 Arsenal-West Ham,2021-12-15,Matchweek 17,Wed,Home,W,2,0,West Ham,441,537,82.1,8207,2572,176,204,86.3,217,249,87.1,43,69,62.3,2,1.4,1.4,11,51,9,4,44,20:00:00
ENG-Premier League,2122,Arsenal,2021-12-18 Leeds United-Arsenal,2021-12-18,Matchweek 18,Sat,Away,W,4,1,Leeds United,327,421,77.7,5987,2223,135,162,83.3,161,181,89.0,28,62,45.2,3,2.9,1.8,17,17,8,0,33,17:30:00
ENG-Premier League,2122,Arsenal,2021-12-26 Norwich City-Arsenal,2021-12-26,Matchweek 19,Sun,Away,W,5,0,Norwich City,516,621,83.1,9037,3077,210,240,87.5,252,277,91.0,39,70,55.7,3,0.8,0.8,10,43,9,0,48,15:00:00
ENG-Premier League,2122,Arsenal,2022-01-01 Arsenal-Manchester City,2022-01-01,Matchweek 21,Sat,Home,L,1,2,Manchester City,188,277,67.9,3888,1592,66,82,80.5,82,103,79.6,31,76,40.8,1,0.3,0.2,3,21,6,1,27,12:30:00
ENG-Premier League,2122,Arsenal,2022-01-23 Arsenal-Burnley,2022-01-23,Matchweek 23,Sun,Home,D,0,0,Burnley,591,701,84.3,10803,2928,273,296,92.2,258,289,89.3,58,105,55.2,0,1.0,1.0,16,42,12,1,63,14:00:00
ENG-Premier League,2122,Arsenal,2022-02-10 Wolves-Arsenal,2022-02-10,Matchweek 24,Thu,Away,W,1,0,Wolves,296,395,74.9,5227,1927,134,158,84.8,131,154,85.1,26,66,39.4,1,2.0,0.9,9,22,9,3,40,19:45:00
ENG-Premier League,2122,Arsenal,2022-02-19 Arsenal-Brentford,2022-02-19,Matchweek 26,Sat,Home,W,2,1,Brentford,515,636,81.0,9012,2788,251,285,88.1,204,237,86.1,52,90,57.8,2,1.0,0.7,14,54,13,6,59,15:00:00
ENG-Premier League,2122,Arsenal,2022-02-24 Arsenal-Wolves,2022-02-24,Matchweek 20,Thu,Home,W,2,1,Wolves,446,551,80.9,7837,2607,211,238,88.7,192,219,87.7,39,73,53.4,1,2.8,2.1,21,39,19,1,62,19:45:00
ENG-Premier League,2122,Arsenal,2022-03-06 Watford-Arsenal,2022-03-06,Matchweek 28,Sun,Away,W,3,2,Watford,491,598,82.1,7606,2455,256,283,90.5,181,208,87.0,35,77,45.5,3,1.0,0.9,14,31,13,3,52,14:00:00
ENG-Premier League,2122,Arsenal,2022-03-13 Arsenal-Leicester City,2022-03-13,Matchweek 29,Sun,Home,W,2,0,Leicester City,434,512,84.8,8102,2607,160,179,89.4,241,260,92.7,29,59,49.2,1,1.4,1.3,16,34,6,1,39,16:30:00
ENG-Premier League,2122,Arsenal,2022-03-16 Arsenal-Liverpool,2022-03-16,Matchweek 27,Wed,Home,L,0,2,Liverpool,434,545,79.6,8256,2690,175,208,84.1,212,236,89.8,44,83,53.0,0,0.4,0.3,7,35,4,2,36,20:15:00
ENG-Premier League,2122,Arsenal,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Away,W,1,0,Aston Villa,469,557,84.2,8159,2524,193,210,91.9,218,238,91.6,41,78,52.6,0,1.2,0.9,8,41,5,1,51,12:30:00
ENG-Premier League,2122,Arsenal,2022-04-04 Crystal Palace-Arsenal,2022-04-04,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,591,693,85.3,8767,2633,318,343,92.7,220,246,89.4,28,53,52.8,0,0.7,1.0,10,46,11,1,59,20:00:00
ENG-Premier League,2122,Arsenal,2022-04-09 Arsenal-Brighton,2022-04-09,Matchweek 32,Sat,Home,L,1,2,Brighton,451,558,80.8,8415,2558,174,207,84.1,229,264,86.7,46,74,62.2,1,1.2,1.7,15,43,10,3,54,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-16 Southampton-Arsenal,2022-04-16,Matchweek 33,Sat,Away,L,0,1,Southampton,617,720,85.7,9636,2790,327,354,92.4,249,279,89.2,27,51,52.9,0,0.8,1.0,16,56,17,4,78,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-20 Chelsea-Arsenal,2022-04-20,Matchweek 25,Wed,Away,W,4,2,Chelsea,270,362,74.6,4125,1627,146,164,89.0,92,111,82.9,18,47,38.3,1,0.6,0.4,9,22,6,1,26,19:45:00
ENG-Premier League,2122,Arsenal,2022-04-23 Arsenal-Manchester Utd,2022-04-23,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,451,538,83.8,7472,2141,213,230,92.6,207,225,92.0,25,64,39.1,1,0.8,0.7,8,28,12,3,46,12:30:00
ENG-Premier League,2122,Arsenal,2022-05-01 West Ham-Arsenal,2022-05-01,Matchweek 35,Sun,Away,W,2,1,West Ham,396,482,82.2,6058,2104,218,234,93.2,147,168,87.5,19,57,33.3,2,0.9,0.6,12,20,2,1,19,16:30:00
ENG-Premier League,2122,Arsenal,2022-05-08 Arsenal-Leeds United,2022-05-08,Matchweek 36,Sun,Home,W,2,1,Leeds United,596,682,87.4,11118,3055,227,242,93.8,313,343,91.3,51,75,68.0,1,1.1,1.2,12,75,13,3,70,14:00:00
ENG-Premier League,2122,Arsenal,2022-05-12 Tottenham-Arsenal,2022-05-12,Matchweek 22,Thu,Away,L,0,3,Tottenham,368,443,83.1,6076,1560,176,193,91.2,168,188,89.4,18,47,38.3,0,0.5,0.3,9,23,2,0,20,19:45:00
