,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
ENG-Premier League,2122,Arsenal,2022-05-16 Newcastle Utd-Arsenal,2022-05-16,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,280,365,76.7,4856,1692,127,135,94.1,119,140,85.0,25,64,39.1,0,0.5,0.6,8,26,3,1,33,20:00:00
ENG-Premier League,2122,Arsenal,2022-05-22 Arsenal-Everton,2022-05-22,Matchweek 38,Sun,Home,W,5,1,Everton,601,688,87.4,10764,3089,231,254,90.9,325,353,92.1,39,63,61.9,4,2.2,1.5,18,75,10,1,76,16:00:00
ENG-Premier League,2122,Aston Villa,2021-08-14 Watford-Aston Villa,2021-08-14,Matchweek 1,Sat,Away,L,2,3,Watford,464,567,81.8,8200,2721,208,235,88.5,202,234,86.3,44,78,56.4,1,0.3,0.3,6,34,7,1,42,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-21 Aston Villa-Newcastle Utd,2021-08-21,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,255,337,75.7,4966,2017,113,125,90.4,97,122,79.5,37,67,55.2,1,0.5,0.7,8,24,5,2,38,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Home,D,1,1,Brentford,293,408,71.8,5471,2449,133,161,82.6,118,139,84.9,38,89,42.7,1,0.5,0.5,6,20,7,3,30,15:00:00
ENG-Premier League,2122,Aston Villa,2021-09-11 Chelsea-Aston Villa,2021-09-11,Matchweek 4,Sat,Away,L,0,3,Chelsea,294,398,73.9,5867,2635,114,129,88.4,126,146,86.3,47,95,49.5,0,0.8,0.5,10,33,7,2,37,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-18 Aston Villa-Everton,2021-09-18,Matchweek 5,Sat,Home,W,3,0,Everton,332,429,77.4,6509,2598,116,137,84.7,158,181,87.3,46,81,56.8,2,0.6,0.7,10,36,9,3,48,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-25 Manchester Utd-Aston Villa,2021-09-25,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,214,321,66.7,3836,1761,99,127,78.0,73,97,75.3,29,71,40.8,1,0.8,1.0,5,21,5,1,24,12:30:00
ENG-Premier League,2122,Aston Villa,2021-10-03 Tottenham-Aston Villa,2021-10-03,Matchweek 7,Sun,Away,L,1,2,Tottenham,247,370,66.8,4757,1917,94,117,80.3,111,141,78.7,39,95,41.1,1,0.9,1.1,7,19,9,0,36,14:00:00
ENG-Premier League,2122,Aston Villa,2021-10-16 Aston Villa-Wolves,2021-10-16,Matchweek 8,Sat,Home,L,2,3,Wolves,327,432,75.7,6116,2267,131,156,84.0,150,177,84.7,42,81,51.9,1,0.9,0.7,12,23,8,2,38,15:00:00
ENG-Premier League,2122,Aston Villa,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Away,L,1,3,Arsenal,332,429,77.4,6106,2637,146,172,84.9,143,168,85.1,40,74,54.1,1,1.4,0.6,8,24,5,1,28,20:00:00
ENG-Premier League,2122,Aston Villa,2021-10-31 Aston Villa-West Ham,2021-10-31,Matchweek 10,Sun,Home,L,1,4,West Ham,265,375,70.7,4614,1955,122,142,85.9,99,125,79.2,30,74,40.5,1,0.6,0.5,6,21,3,1,22,16:30:00
ENG-Premier League,2122,Aston Villa,2021-11-05 Southampton-Aston Villa,2021-11-05,Matchweek 11,Fri,Away,L,0,1,Southampton,262,377,69.5,4850,2223,104,133,78.2,112,140,80.0,32,63,50.8,0,0.5,0.9,11,28,12,2,35,20:00:00
ENG-Premier League,2122,Aston Villa,2021-11-20 Aston Villa-Brighton,2021-11-20,Matchweek 12,Sat,Home,W,2,0,Brighton,311,393,79.1,5251,1873,144,158,91.1,129,151,85.4,23,53,43.4,1,0.5,0.5,6,28,8,3,28,15:00:00
ENG-Premier League,2122,Aston Villa,2021-11-27 Crystal Palace-Aston Villa,2021-11-27,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,284,362,78.5,4899,2120,139,159,87.4,110,127,86.6,28,58,48.3,2,0.3,0.4,7,25,4,1,23,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-01 Aston Villa-Manchester City,2021-12-01,Matchweek 14,Wed,Home,L,1,2,Manchester City,293,370,79.2,5048,2021,137,155,88.4,105,122,86.1,36,66,54.5,1,0.8,0.8,9,15,5,1,21,20:15:00
ENG-Premier League,2122,Aston Villa,2021-12-05 Aston Villa-Leicester City,2021-12-05,Matchweek 15,Sun,Home,W,2,1,Leicester City,295,400,73.8,4725,1963,165,196,84.2,105,128,82.0,20,62,32.3,2,2.1,1.3,12,23,10,2,32,16:30:00
ENG-Premier League,2122,Aston Villa,2021-12-11 Liverpool-Aston Villa,2021-12-11,Matchweek 16,Sat,Away,L,0,1,Liverpool,256,378,67.7,4259,1826,130,161,80.7,100,127,78.7,22,70,31.4,0,0.2,0.2,3,21,5,1,29,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-14 Norwich City-Aston Villa,2021-12-14,Matchweek 17,Tue,Away,W,2,0,Norwich City,391,491,79.6,6398,2338,194,221,87.8,145,178,81.5,36,65,55.4,2,1.9,1.5,14,38,12,2,46,19:45:00
ENG-Premier League,2122,Aston Villa,2021-12-26 Aston Villa-Chelsea,2021-12-26,Matchweek 19,Sun,Home,L,1,3,Chelsea,400,482,83.0,6589,2430,196,214,91.6,167,191,87.4,28,45,62.2,0,0.4,0.5,6,26,7,0,38,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-02 Brentford-Aston Villa,2022-01-02,Matchweek 21,Sun,Away,L,1,2,Brentford,427,529,80.7,7152,2598,204,224,91.1,170,201,84.6,37,67,55.2,1,0.7,1.1,14,35,7,0,40,14:00:00
ENG-Premier League,2122,Aston Villa,2022-01-15 Aston Villa-Manchester Utd,2022-01-15,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,476,577,82.5,7881,2381,226,253,89.3,214,239,89.5,27,55,49.1,1,1.5,1.4,12,36,12,3,48,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-22 Everton-Aston Villa,2022-01-22,Matchweek 23,Sat,Away,W,1,0,Everton,280,399,70.2,4721,2131,134,172,77.9,105,135,77.8,26,60,43.3,1,0.6,0.6,5,16,7,1,36,12:30:00
ENG-Premier League,2122,Aston Villa,2022-02-09 Aston Villa-Leeds United,2022-02-09,Matchweek 24,Wed,Home,D,3,3,Leeds United,251,341,73.6,4374,1964,115,133,86.5,103,130,79.2,28,57,49.1,3,1.4,0.8,10,24,3,2,27,20:00:00
ENG-Premier League,2122,Aston Villa,2022-02-13 Newcastle Utd-Aston Villa,2022-02-13,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,352,468,75.2,5917,2253,158,186,84.9,151,178,84.8,30,74,40.5,0,0.5,0.5,9,38,7,2,46,14:00:00
ENG-Premier League,2122,Aston Villa,2022-02-19 Aston Villa-Watford,2022-02-19,Matchweek 26,Sat,Home,L,0,1,Watford,494,608,81.3,8799,3019,205,238,86.1,215,245,87.8,53,87,60.9,0,1.2,1.1,18,42,23,8,69,15:00:00
ENG-Premier League,2122,Aston Villa,2022-02-26 Brighton-Aston Villa,2022-02-26,Matchweek 27,Sat,Away,W,2,0,Brighton,246,316,77.8,4591,1916,94,108,87.0,120,132,90.9,28,61,45.9,1,0.6,0.7,5,20,2,0,21,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-05 Aston Villa-Southampton,2022-03-05,Matchweek 28,Sat,Home,W,4,0,Southampton,275,377,72.9,4729,1908,114,141,80.9,111,129,86.0,31,74,41.9,4,2.7,1.1,13,18,11,0,27,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-10 Leeds United-Aston Villa,2022-03-10,Matchweek 20,Thu,Away,W,3,0,Leeds United,361,448,80.6,5627,2250,186,204,91.2,123,142,86.6,27,55,49.1,3,1.4,0.8,13,22,6,1,26,19:45:00
ENG-Premier League,2122,Aston Villa,2022-03-13 West Ham-Aston Villa,2022-03-13,Matchweek 29,Sun,Away,L,1,2,West Ham,443,545,81.3,7112,2291,233,260,89.6,159,187,85.0,35,73,47.9,1,1.0,1.6,11,33,8,2,38,14:00:00
ENG-Premier League,2122,Aston Villa,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Home,L,0,1,Arsenal,404,496,81.5,6644,2404,200,219,91.3,166,191,86.9,26,64,40.6,0,0.2,0.4,4,33,9,4,36,12:30:00
ENG-Premier League,2122,Aston Villa,2022-04-02 Wolves-Aston Villa,2022-04-02,Matchweek 31,Sat,Away,L,1,2,Wolves,391,484,80.8,6403,2411,188,205,91.7,152,174,87.4,29,61,47.5,0,1.3,0.8,10,27,6,1,34,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-09 Aston Villa-Tottenham,2022-04-09,Matchweek 32,Sat,Home,L,0,4,Tottenham,446,523,85.3,7442,2170,202,223,90.6,210,235,89.4,26,45,57.8,0,1.1,1.0,14,40,11,3,40,17:30:00
ENG-Premier League,2122,Aston Villa,2022-04-23 Leicester City-Aston Villa,2022-04-23,Matchweek 34,Sat,Away,D,0,0,Leicester City,222,332,66.9,4173,1664,99,121,81.8,96,129,74.4,25,65,38.5,0,0.8,0.9,9,28,4,0,26,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-30 Aston Villa-Norwich City,2022-04-30,Matchweek 35,Sat,Home,W,2,0,Norwich City,347,443,78.3,5505,2258,194,225,86.2,112,142,78.9,30,53,56.6,2,1.5,1.2,17,26,8,2,33,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-07 Burnley-Aston Villa,2022-05-07,Matchweek 36,Sat,Away,W,3,1,Burnley,383,488,78.5,6846,2845,177,200,88.5,160,187,85.6,39,81,48.1,3,1.6,1.0,10,32,7,3,37,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-10 Aston Villa-Liverpool,2022-05-10,Matchweek 33,Tue,Home,L,1,2,Liverpool,286,384,74.5,5271,2245,137,168,81.5,109,127,85.8,35,71,49.3,0,0.8,0.6,7,17,9,3,27,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-15 Aston Villa-Crystal Palace,2022-05-15,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,411,505,81.4,6892,2665,212,232,91.4,154,186,82.8,35,59,59.3,1,0.8,0.7,9,29,5,2,33,14:00:00
ENG-Premier League,2122,Aston Villa,2022-05-19 Aston Villa-Burnley,2022-05-19,Matchweek 18,Thu,Home,D,1,1,Burnley,558,646,86.4,8805,2593,281,300,93.7,230,256,89.8,28,56,50.0,1,1.2,1.1,17,37,17,4,50,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-22 Manchester City-Aston Villa,2022-05-22,Matchweek 38,Sun,Away,L,2,3,Manchester City,180,271,66.4,3628,1688,72,93,77.4,74,97,76.3,27,66,40.9,2,0.2,0.2,3,7,3,1,11,16:00:00
ENG-Premier League,2122,Brentford,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Home,W,2,0,Arsenal,217,343,63.3,4166,1935,94,123,76.4,83,107,77.6,34,82,41.5,1,0.8,0.5,6,20,8,1,22,20:00:00
ENG-Premier League,2122,Brentford,2021-08-21 Crystal Palace-Brentford,2021-08-21,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,294,424,69.3,4872,1906,152,175,86.9,105,140,75.0,25,74,33.8,0,0.8,0.6,11,29,6,1,26,15:00:00
ENG-Premier League,2122,Brentford,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Away,D,1,1,Aston Villa,358,472,75.8,6499,2605,143,165,86.7,164,192,85.4,38,82,46.3,1,0.9,1.1,9,17,6,0,29,15:00:00
ENG-Premier League,2122,Brentford,2021-09-11 Brentford-Brighton,2021-09-11,Matchweek 4,Sat,Home,L,0,1,Brighton,272,381,71.4,4194,2079,151,179,84.4,77,110,70.0,23,48,47.9,0,0.4,0.3,7,20,7,2,21,15:00:00
ENG-Premier League,2122,Brentford,2021-09-18 Wolves-Brentford,2021-09-18,Matchweek 5,Sat,Away,W,2,0,Wolves,256,353,72.5,4822,2152,104,121,86.0,118,146,80.8,26,61,42.6,1,1.3,0.9,6,24,1,0,18,12:30:00
ENG-Premier League,2122,Brentford,2021-09-25 Brentford-Liverpool,2021-09-25,Matchweek 6,Sat,Home,D,3,3,Liverpool,201,307,65.5,3746,2037,87,109,79.8,75,108,69.4,25,63,39.7,1,1.3,1.8,6,27,8,5,27,17:30:00
ENG-Premier League,2122,Brentford,2021-10-03 West Ham-Brentford,2021-10-03,Matchweek 7,Sun,Away,W,2,1,West Ham,205,329,62.3,3616,1779,100,125,80.0,79,122,64.8,21,61,34.4,0,0.6,0.6,6,16,4,2,31,14:00:00
ENG-Premier League,2122,Brentford,2021-10-16 Brentford-Chelsea,2021-10-16,Matchweek 8,Sat,Home,L,0,1,Chelsea,340,469,72.5,5810,2579,181,212,85.4,118,159,74.2,35,71,49.3,0,0.9,1.8,7,28,15,7,36,17:30:00
ENG-Premier League,2122,Brentford,2021-10-24 Brentford-Leicester City,2021-10-24,Matchweek 9,Sun,Home,L,1,2,Leicester City,367,497,73.8,6729,2511,169,201,84.1,152,189,80.4,42,86,48.8,1,0.8,1.1,13,29,7,1,42,14:00:00
ENG-Premier League,2122,Brentford,2021-10-30 Burnley-Brentford,2021-10-30,Matchweek 10,Sat,Away,L,1,3,Burnley,423,575,73.6,7730,2599,184,223,82.5,184,227,81.1,52,102,51.0,1,0.4,0.4,5,28,4,1,34,15:00:00
ENG-Premier League,2122,Brentford,2021-11-06 Brentford-Norwich City,2021-11-06,Matchweek 11,Sat,Home,L,1,2,Norwich City,474,627,75.6,8634,3350,212,257,82.5,186,234,79.5,66,100,66.0,1,2.5,1.5,15,51,13,6,48,15:00:00
ENG-Premier League,2122,Brentford,2021-11-20 Newcastle Utd-Brentford,2021-11-20,Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,251,378,66.4,4703,2128,115,147,78.2,92,130,70.8,39,80,48.8,2,0.6,0.5,7,19,8,1,28,15:00:00
ENG-Premier League,2122,Brentford,2021-11-28 Brentford-Everton,2021-11-28,Matchweek 13,Sun,Home,W,1,0,Everton,262,399,65.7,4905,2241,107,137,78.1,112,156,71.8,34,84,40.5,0,0.3,0.4,3,16,1,0,20,14:00:00
ENG-Premier League,2122,Brentford,2021-12-02 Tottenham-Brentford,2021-12-02,Matchweek 14,Thu,Away,L,0,2,Tottenham,436,569,76.6,8351,2532,152,187,81.3,223,271,82.3,57,92,62.0,0,0.3,0.7,4,31,5,1,27,19:30:00
ENG-Premier League,2122,Brentford,2021-12-05 Leeds United-Brentford,2021-12-05,Matchweek 15,Sun,Away,D,2,2,Leeds United,223,341,65.4,3950,1598,103,136,75.7,80,113,70.8,30,70,42.9,1,0.9,0.6,7,14,6,2,25,14:00:00
ENG-Premier League,2122,Brentford,2021-12-10 Brentford-Watford,2021-12-10,Matchweek 16,Fri,Home,W,2,1,Watford,385,540,71.3,7434,2728,139,183,76.0,199,244,81.6,42,93,45.2,1,0.6,0.5,9,38,10,2,55,20:00:00
ENG-Premier League,2122,Brentford,2021-12-26 Brighton-Brentford,2021-12-26,Matchweek 19,Sun,Away,L,0,2,Brighton,374,503,74.4,6701,2570,163,204,79.9,180,214,84.1,29,64,45.3,0,0.6,0.6,13,20,8,3,35,20:00:00
ENG-Premier League,2122,Brentford,2021-12-29 Brentford-Manchester City,2021-12-29,Matchweek 20,Wed,Home,L,0,1,Manchester City,144,240,60.0,2670,1092,61,76,80.3,55,78,70.5,19,67,28.4,0,0.3,0.2,3,7,1,0,7,20:15:00
ENG-Premier League,2122,Brentford,2022-01-02 Brentford-Aston Villa,2022-01-02,Matchweek 21,Sun,Home,W,2,1,Aston Villa,320,437,73.2,6166,2343,102,129,79.1,191,230,83.0,26,68,38.2,1,0.3,0.4,7,22,3,1,34,14:00:00
ENG-Premier League,2122,Brentford,2022-01-11 Southampton-Brentford,2022-01-11,Matchweek 18,Tue,Away,L,1,4,Southampton,345,475,72.6,5849,2149,156,201,77.6,143,170,84.1,31,67,46.3,1,0.4,0.5,4,30,9,4,35,19:45:00
ENG-Premier League,2122,Brentford,2022-01-16 Liverpool-Brentford,2022-01-16,Matchweek 22,Sun,Away,L,0,3,Liverpool,227,366,62.0,3669,1560,116,152,76.3,76,109,69.7,19,65,29.2,0,0.7,0.7,5,13,5,0,21,14:00:00
ENG-Premier League,2122,Brentford,2022-01-19 Brentford-Manchester Utd,2022-01-19,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,308,446,69.1,5451,2083,144,183,78.7,123,161,76.4,36,79,45.6,1,2.1,1.3,12,29,9,2,44,20:00:00
ENG-Premier League,2122,Brentford,2022-01-22 Brentford-Wolves,2022-01-22,Matchweek 23,Sat,Home,L,1,2,Wolves,365,509,71.7,6496,2497,153,182,84.1,171,228,75.0,32,67,47.8,1,0.8,1.3,7,31,7,4,44,15:00:00
ENG-Premier League,2122,Brentford,2022-02-09 Manchester City-Brentford,2022-02-09,Matchweek 24,Wed,Away,L,0,2,Manchester City,151,262,57.6,2845,1384,68,93,73.1,56,77,72.7,18,57,31.6,0,0.3,0.6,4,12,2,0,9,19:45:00
ENG-Premier League,2122,Brentford,2022-02-12 Brentford-Crystal Palace,2022-02-12,Matchweek 25,Sat,Home,D,0,0,Crystal Palace,286,417,68.6,4882,1986,150,181,82.9,96,141,68.1,33,72,45.8,0,1.6,1.6,7,19,8,3,28,15:00:00
