,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
,,,,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Arsenal,2022-08-05 Crystal Palace-Arsenal,2022-08-05,Matchweek 1,Fri,Away,W,2,0,Crystal Palace,469,429,38,16,0,4,11,14,5,5,0,0,378,2,6,20:00:00
ENG-Premier League,2223,Arsenal,2022-08-13 Arsenal-Leicester City,2022-08-13,Matchweek 2,Sat,Home,W,4,2,Leicester City,499,458,39,12,2,2,17,15,6,5,0,0,407,2,10,15:00:00
ENG-Premier League,2223,Arsenal,2022-08-20 Bournemouth-Arsenal,2022-08-20,Matchweek 3,Sat,Away,W,3,0,Bournemouth,614,576,35,13,0,2,16,13,4,4,0,0,534,3,9,17:30:00
ENG-Premier League,2223,Arsenal,2022-08-27 Arsenal-Fulham,2022-08-27,Matchweek 4,Sat,Home,W,2,1,Fulham,637,587,49,11,2,3,19,17,9,6,0,0,534,1,13,17:30:00
ENG-Premier League,2223,Arsenal,2022-08-31 Arsenal-Aston Villa,2022-08-31,Matchweek 5,Wed,Home,W,2,1,Aston Villa,549,502,46,14,1,2,20,15,10,7,0,0,452,1,7,19:30:00
ENG-Premier League,2223,Arsenal,2022-09-04 Manchester Utd-Arsenal,2022-09-04,Matchweek 6,Sun,Away,L,1,3,Manchester Utd,508,460,48,16,1,5,16,20,5,2,0,0,418,0,10,16:30:00
ENG-Premier League,2223,Arsenal,2022-09-18 Brentford-Arsenal,2022-09-18,Matchweek 8,Sun,Away,W,3,0,Brentford,624,582,41,13,0,2,9,18,3,3,0,0,525,1,6,12:00:00
ENG-Premier League,2223,Arsenal,2022-10-01 Arsenal-Tottenham,2022-10-01,Matchweek 9,Sat,Home,W,3,1,Tottenham,613,572,40,12,0,2,25,18,5,4,0,0,539,1,7,12:30:00
ENG-Premier League,2223,Arsenal,2022-10-09 Arsenal-Liverpool,2022-10-09,Matchweek 10,Sun,Home,W,3,2,Liverpool,417,373,41,16,3,4,9,14,4,3,0,0,316,3,5,16:30:00
ENG-Premier League,2223,Arsenal,2022-10-16 Leeds United-Arsenal,2022-10-16,Matchweek 11,Sun,Away,W,1,0,Leeds United,534,488,46,13,0,2,8,21,3,3,0,0,437,0,9,14:00:00
ENG-Premier League,2223,Arsenal,2022-10-23 Southampton-Arsenal,2022-10-23,Matchweek 13,Sun,Away,D,1,1,Southampton,582,535,44,15,2,2,12,21,4,2,1,0,494,3,9,14:00:00
ENG-Premier League,2223,Arsenal,2022-10-30 Arsenal-Nott'ham Forest,2022-10-30,Matchweek 14,Sun,Home,W,5,0,Nott'ham Forest,667,625,41,9,3,2,23,18,9,4,3,0,580,1,10,14:00:00
ENG-Premier League,2223,Arsenal,2022-11-06 Chelsea-Arsenal,2022-11-06,Matchweek 15,Sun,Away,W,1,0,Chelsea,494,444,50,22,0,3,22,16,6,5,0,0,388,0,10,12:00:00
ENG-Premier League,2223,Arsenal,2022-11-12 Wolves-Arsenal,2022-11-12,Matchweek 16,Sat,Away,W,2,0,Wolves,622,590,31,8,2,2,23,12,4,4,0,0,537,1,3,19:45:00
ENG-Premier League,2223,Arsenal,2022-12-26 Arsenal-West Ham,2022-12-26,Matchweek 17,Mon,Home,W,3,1,West Ham,699,656,40,16,4,3,25,10,7,6,0,0,606,3,6,20:00:00
ENG-Premier League,2223,Arsenal,2022-12-31 Brighton-Arsenal,2022-12-31,Matchweek 18,Sat,Away,W,4,2,Brighton,310,270,40,12,3,1,6,13,4,3,0,0,225,0,11,17:30:00
ENG-Premier League,2223,Arsenal,2023-01-03 Arsenal-Newcastle Utd,2023-01-03,Matchweek 19,Tue,Home,D,0,0,Newcastle Utd,572,526,45,20,2,2,16,13,5,5,0,0,480,1,14,19:45:00
ENG-Premier League,2223,Arsenal,2023-01-15 Tottenham-Arsenal,2023-01-15,Matchweek 20,Sun,Away,W,2,0,Tottenham,494,451,41,15,4,1,11,19,3,3,0,0,408,2,6,16:30:00
ENG-Premier League,2223,Arsenal,2023-01-22 Arsenal-Manchester Utd,2023-01-22,Matchweek 21,Sun,Home,W,3,2,Manchester Utd,555,513,41,13,2,3,22,11,12,8,0,1,437,1,12,16:30:00
ENG-Premier League,2223,Arsenal,2023-02-04 Everton-Arsenal,2023-02-04,Matchweek 22,Sat,Away,L,0,1,Everton,687,634,53,16,1,6,16,23,5,3,0,0,584,0,12,12:30:00
ENG-Premier League,2223,Arsenal,2023-02-11 Arsenal-Brentford,2023-02-11,Matchweek 23,Sat,Home,D,1,1,Brentford,649,604,44,10,3,0,36,17,7,3,0,1,537,1,12,15:00:00
ENG-Premier League,2223,Arsenal,2023-02-15 Arsenal-Manchester City,2023-02-15,Matchweek 12,Wed,Home,L,1,3,Manchester City,569,523,46,17,4,5,17,21,1,1,0,0,466,0,8,19:30:00
ENG-Premier League,2223,Arsenal,2023-02-18 Aston Villa-Arsenal,2023-02-18,Matchweek 24,Sat,Away,W,4,2,Aston Villa,643,578,63,13,3,6,30,36,9,3,0,0,530,2,25,12:30:00
ENG-Premier League,2223,Arsenal,2023-02-25 Leicester City-Arsenal,2023-02-25,Matchweek 25,Sat,Away,W,1,0,Leicester City,654,603,47,16,3,6,15,17,8,4,0,0,524,4,19,15:00:00
ENG-Premier League,2223,Arsenal,2023-03-01 Arsenal-Everton,2023-03-01,Matchweek 7,Wed,Home,W,4,0,Everton,794,743,47,14,3,4,15,22,5,0,1,0,681,4,15,19:45:00
ENG-Premier League,2223,Arsenal,2023-03-04 Arsenal-Bournemouth,2023-03-04,Matchweek 26,Sat,Home,W,3,2,Bournemouth,801,763,38,6,1,0,48,11,17,10,0,0,675,0,16,15:00:00
ENG-Premier League,2223,Arsenal,2023-03-12 Fulham-Arsenal,2023-03-12,Matchweek 27,Sun,Away,W,3,0,Fulham,578,538,38,11,1,3,18,12,8,8,0,0,487,2,10,14:00:00
ENG-Premier League,2223,Arsenal,2023-03-19 Arsenal-Crystal Palace,2023-03-19,Matchweek 28,Sun,Home,W,4,1,Crystal Palace,629,591,36,12,3,6,25,14,5,5,0,0,528,2,11,14:00:00
ENG-Premier League,2223,Arsenal,2023-04-01 Arsenal-Leeds United,2023-04-01,Matchweek 29,Sat,Home,W,4,1,Leeds United,668,627,36,12,2,1,11,14,4,4,0,0,564,5,12,15:00:00
ENG-Premier League,2223,Arsenal,2023-04-09 Liverpool-Arsenal,2023-04-09,Matchweek 30,Sun,Away,D,2,2,Liverpool,399,354,43,13,5,5,11,12,4,4,0,0,301,2,7,16:30:00
ENG-Premier League,2223,Arsenal,2023-04-16 West Ham-Arsenal,2023-04-16,Matchweek 31,Sun,Away,D,2,2,West Ham,643,594,48,14,1,4,17,20,2,2,0,0,547,1,5,14:00:00
ENG-Premier League,2223,Arsenal,2023-04-21 Arsenal-Southampton,2023-04-21,Matchweek 32,Fri,Home,D,3,3,Southampton,729,673,55,16,14,0,30,25,7,3,1,0,611,1,13,20:00:00
ENG-Premier League,2223,Arsenal,2023-04-26 Manchester City-Arsenal,2023-04-26,Matchweek 33,Wed,Away,L,1,4,Manchester City,481,441,39,12,0,0,8,13,3,2,1,0,400,1,6,20:00:00
ENG-Premier League,2223,Arsenal,2023-05-02 Arsenal-Chelsea,2023-05-02,Matchweek 34,Tue,Home,W,3,1,Chelsea,577,542,34,10,4,2,18,10,7,5,0,0,485,1,13,20:00:00
ENG-Premier League,2223,Arsenal,2023-05-07 Newcastle Utd-Arsenal,2023-05-07,Matchweek 35,Sun,Away,W,2,0,Newcastle Utd,374,330,43,15,2,0,5,17,4,2,0,0,291,1,5,16:30:00
ENG-Premier League,2223,Arsenal,2023-05-14 Arsenal-Brighton,2023-05-14,Matchweek 36,Sun,Home,L,0,3,Brighton,387,340,46,21,0,1,11,11,5,5,0,0,292,1,8,16:30:00
ENG-Premier League,2223,Arsenal,2023-05-20 Nott'ham Forest-Arsenal,2023-05-20,Matchweek 37,Sat,Away,L,0,1,Nott'ham Forest,764,730,33,12,2,0,19,11,6,3,0,1,665,1,13,17:30:00
ENG-Premier League,2223,Arsenal,2023-05-28 Arsenal-Wolves,2023-05-28,Matchweek 38,Sun,Home,W,5,0,Wolves,484,448,35,10,3,1,14,11,8,5,1,0,418,1,6,16:30:00
ENG-Premier League,2223,Aston Villa,2022-08-06 Bournemouth-Aston Villa,2022-08-06,Matchweek 1,Sat,Away,L,0,2,Bournemouth,630,577,49,19,3,1,31,19,5,2,1,0,509,4,12,15:00:00
ENG-Premier League,2223,Aston Villa,2022-08-13 Aston Villa-Everton,2022-08-13,Matchweek 2,Sat,Home,W,2,1,Everton,556,516,38,10,4,1,14,20,5,4,0,0,459,2,6,12:30:00
ENG-Premier League,2223,Aston Villa,2022-08-20 Crystal Palace-Aston Villa,2022-08-20,Matchweek 3,Sat,Away,L,1,3,Crystal Palace,466,415,50,16,1,6,17,17,2,0,1,0,372,1,16,15:00:00
ENG-Premier League,2223,Aston Villa,2022-08-28 Aston Villa-West Ham,2022-08-28,Matchweek 4,Sun,Home,L,0,1,West Ham,639,591,46,11,2,2,26,25,3,1,1,0,523,2,10,14:00:00
ENG-Premier League,2223,Aston Villa,2022-08-31 Arsenal-Aston Villa,2022-08-31,Matchweek 5,Wed,Away,L,1,2,Arsenal,386,343,42,11,0,2,16,13,2,2,0,0,289,1,7,19:30:00
