,league,season,team,game,date,round,day,venue,result,GF,GA,opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,time,teams_home_name,teams_home_logo,teams_away_name,teams_away_logo
0,ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,8/12/2018,Matchweek 1,Sun,Home,L,0,2,Manchester City,2,0,0,11,13,7,12,12,14,0,0,0,57,14,8,63.6,16:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
1,ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,8/18/2018,Matchweek 2,Sat,Away,L,2,3,Chelsea,2,0,0,9,12,3,12,12,6,0,0,0,53,12,15,44.4,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
2,ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,8/25/2018,Matchweek 3,Sat,Home,W,3,1,West Ham,1,0,0,16,13,3,21,6,11,0,0,0,54,14,14,50.0,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
3,ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,9/2/2018,Matchweek 4,Sun,Away,W,3,2,Cardiff City,4,0,0,14,12,1,19,11,9,0,0,0,40,22,24,47.8,13:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Cardiff City,https://media-4.api-sports.io/football/teams/43.png
4,ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,9/15/2018,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,0,0,0,11,13,1,15,7,6,0,0,0,44,24,24,50.0,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
5,ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,9/23/2018,Matchweek 6,Sun,Home,W,2,0,Everton,2,0,0,17,12,1,15,9,12,0,0,0,45,18,15,54.5,16:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Everton,https://media-4.api-sports.io/football/teams/45.png
6,ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,9/29/2018,Matchweek 7,Sat,Home,W,2,0,Watford,2,0,0,11,17,1,22,7,5,0,0,0,46,26,21,55.3,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Watford,https://media-4.api-sports.io/football/teams/38.png
7,ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,10/7/2018,Matchweek 8,Sun,Away,W,5,1,Fulham,0,0,0,12,11,1,7,14,14,0,0,0,53,14,20,41.2,12:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
8,ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,10/22/2018,Matchweek 9,Mon,Home,W,3,1,Leicester City,2,0,0,10,9,2,11,10,11,0,0,1,60,16,17,48.5,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
9,ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,10/28/2018,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,2,0,0,16,9,0,10,14,12,0,2,0,53,17,13,56.7,13:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
10,ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,11/3/2018,Matchweek 11,Sat,Home,D,1,1,Liverpool,1,0,0,7,7,7,16,12,11,0,0,0,54,15,12,55.6,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
11,ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,11/11/2018,Matchweek 12,Sun,Home,D,1,1,Wolves,2,0,0,9,15,1,27,8,10,0,0,0,62,7,18,28.0,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Wolves,https://media-4.api-sports.io/football/teams/39.png
12,ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,11/25/2018,Matchweek 13,Sun,Away,W,2,1,Bournemouth,1,0,0,9,6,2,21,8,15,0,0,0,55,18,23,43.9,13:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
13,ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,12/2/2018,Matchweek 14,Sun,Home,W,4,2,Tottenham,3,0,0,15,16,5,22,12,16,0,1,0,61,12,15,44.4,14:05:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
14,ENG-Premier League,1819,Arsenal,2018-12-05 Manchester Utd-Arsenal,12/5/2018,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,3,0,0,10,13,3,13,7,6,0,0,0,49,12,14,46.2,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
15,ENG-Premier League,1819,Arsenal,2018-12-08 Arsenal-Huddersfield,12/8/2018,Matchweek 16,Sat,Home,W,1,0,Huddersfield,5,0,0,13,19,2,16,11,10,0,0,0,68,18,23,43.9,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
16,ENG-Premier League,1819,Arsenal,2018-12-16 Southampton-Arsenal,12/16/2018,Matchweek 17,Sun,Away,L,2,3,Southampton,1,0,0,10,11,2,18,12,8,0,0,0,53,8,8,50.0,13:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
17,ENG-Premier League,1819,Arsenal,2018-12-22 Arsenal-Burnley,12/22/2018,Matchweek 18,Sat,Home,W,3,1,Burnley,2,0,0,10,14,2,5,8,8,0,0,0,47,17,23,42.5,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
18,ENG-Premier League,1819,Arsenal,2018-12-26 Brighton-Arsenal,12/26/2018,Matchweek 19,Wed,Away,D,1,1,Brighton,1,0,0,4,10,1,17,10,6,0,0,0,52,14,15,48.3,17:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
19,ENG-Premier League,1819,Arsenal,2018-12-29 Liverpool-Arsenal,12/29/2018,Matchweek 20,Sat,Away,L,1,5,Liverpool,2,0,0,13,7,5,10,12,11,0,2,0,56,7,7,50.0,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
20,ENG-Premier League,1819,Arsenal,2019-01-01 Arsenal-Fulham,1/1/2019,Matchweek 21,Tue,Home,W,4,1,Fulham,0,0,0,7,12,4,16,12,10,0,0,0,57,20,19,51.3,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
21,ENG-Premier League,1819,Arsenal,2019-01-12 West Ham-Arsenal,1/12/2019,Matchweek 22,Sat,Away,L,0,1,West Ham,2,0,0,10,7,3,8,11,8,0,0,0,43,7,12,36.8,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
22,ENG-Premier League,1819,Arsenal,2019-01-19 Arsenal-Chelsea,1/19/2019,Matchweek 23,Sat,Home,W,2,0,Chelsea,0,0,0,13,15,1,14,20,22,0,0,0,55,11,15,42.3,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
23,ENG-Premier League,1819,Arsenal,2019-01-29 Arsenal-Cardiff City,1/29/2019,Matchweek 24,Tue,Home,W,2,1,Cardiff City,3,0,0,14,12,0,11,7,8,1,0,0,41,9,20,31.0,19:45:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Cardiff City,https://media-4.api-sports.io/football/teams/43.png
24,ENG-Premier League,1819,Arsenal,2019-02-03 Manchester City-Arsenal,2/3/2019,Matchweek 25,Sun,Away,L,1,3,Manchester City,1,0,0,8,10,0,7,16,5,0,0,0,39,5,19,20.8,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
25,ENG-Premier League,1819,Arsenal,2019-02-09 Huddersfield-Arsenal,2/9/2019,Matchweek 26,Sat,Away,W,2,1,Huddersfield,2,0,0,12,16,1,6,21,14,0,0,0,75,16,16,50.0,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
26,ENG-Premier League,1819,Arsenal,2019-02-24 Arsenal-Southampton,2/24/2019,Matchweek 27,Sun,Home,W,2,0,Southampton,0,0,0,7,14,3,20,11,9,0,0,0,47,17,11,60.7,14:05:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
27,ENG-Premier League,1819,Arsenal,2019-02-27 Arsenal-Bournemouth,2/27/2019,Matchweek 28,Wed,Home,W,5,1,Bournemouth,2,0,0,11,8,4,16,8,6,0,0,0,42,10,15,40.0,19:45:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
28,ENG-Premier League,1819,Arsenal,2019-03-02 Tottenham-Arsenal,3/2/2019,Matchweek 29,Sat,Away,D,1,1,Tottenham,2,1,0,14,15,1,13,14,11,1,1,0,61,12,18,40.0,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
29,ENG-Premier League,1819,Arsenal,2019-03-10 Arsenal-Manchester Utd,3/10/2019,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,2,0,0,12,18,5,11,15,8,1,0,0,53,9,25,26.5,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
30,ENG-Premier League,1819,Arsenal,2019-04-01 Arsenal-Newcastle Utd,4/1/2019,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,2,0,0,11,10,2,18,9,10,0,0,0,71,20,15,57.1,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
31,ENG-Premier League,1819,Arsenal,2019-04-07 Everton-Arsenal,4/7/2019,Matchweek 33,Sun,Away,L,0,1,Everton,4,0,0,9,8,2,17,9,15,0,0,0,53,17,22,43.6,14:05:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Everton,https://media-4.api-sports.io/football/teams/45.png
32,ENG-Premier League,1819,Arsenal,2019-04-15 Watford-Arsenal,4/15/2019,Matchweek 34,Mon,Away,W,1,0,Watford,0,0,0,8,12,4,13,15,6,0,0,0,60,14,14,50.0,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Watford,https://media-4.api-sports.io/football/teams/38.png
33,ENG-Premier League,1819,Arsenal,2019-04-21 Arsenal-Crystal Palace,4/21/2019,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,4,0,0,15,12,1,30,10,7,0,0,0,51,10,14,41.7,16:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
34,ENG-Premier League,1819,Arsenal,2019-04-24 Wolves-Arsenal,4/24/2019,Matchweek 31,Wed,Away,L,1,3,Wolves,3,0,0,9,12,3,16,4,4,0,0,0,42,16,14,53.3,19:45:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Wolves,https://media-4.api-sports.io/football/teams/39.png
35,ENG-Premier League,1819,Arsenal,2019-04-28 Leicester City-Arsenal,4/28/2019,Matchweek 36,Sun,Away,L,0,3,Leicester City,3,1,1,13,12,3,14,13,8,0,0,0,55,14,20,41.2,12:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
36,ENG-Premier League,1819,Arsenal,2019-05-05 Arsenal-Brighton,5/5/2019,Matchweek 37,Sun,Home,D,1,1,Brighton,5,0,0,9,13,2,41,9,7,1,1,0,42,26,19,57.8,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
37,ENG-Premier League,1819,Arsenal,2019-05-12 Burnley-Arsenal,5/12/2019,Matchweek 38,Sun,Away,W,3,1,Burnley,1,0,0,3,10,0,25,6,7,0,0,0,51,17,20,45.9,15:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
38,ENG-Premier League,1819,Bournemouth,2018-08-11 Bournemouth-Cardiff City,8/11/2018,Matchweek 1,Sat,Home,W,2,0,Cardiff City,1,0,0,11,8,0,11,4,5,1,0,0,58,32,31,50.8,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Cardiff City,https://media-4.api-sports.io/football/teams/43.png
39,ENG-Premier League,1819,Bournemouth,2018-08-18 West Ham-Bournemouth,8/18/2018,Matchweek 2,Sat,Away,W,2,1,West Ham,2,0,0,10,14,0,11,6,9,0,1,0,42,17,25,40.5,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
40,ENG-Premier League,1819,Bournemouth,2018-08-25 Bournemouth-Everton,8/25/2018,Matchweek 3,Sat,Home,D,2,2,Everton,0,1,0,12,10,5,22,8,11,1,0,0,44,15,18,45.5,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Everton,https://media-4.api-sports.io/football/teams/45.png
41,ENG-Premier League,1819,Bournemouth,2018-09-01 Chelsea-Bournemouth,9/1/2018,Matchweek 4,Sat,Away,L,0,2,Chelsea,2,0,0,7,10,1,15,13,8,0,0,0,41,12,18,40.0,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
42,ENG-Premier League,1819,Bournemouth,2018-09-15 Bournemouth-Leicester City,9/15/2018,Matchweek 5,Sat,Home,W,4,2,Leicester City,3,0,0,13,14,1,9,6,8,0,1,0,44,15,22,40.5,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
43,ENG-Premier League,1819,Bournemouth,2018-09-22 Burnley-Bournemouth,9/22/2018,Matchweek 6,Sat,Away,L,0,4,Burnley,0,0,0,6,17,2,26,8,5,0,0,0,53,21,23,47.7,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
