,league,season,team,game,date,round,day,venue,result,GF,GA,opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,time,teams_home_name,teams_home_logo,teams_away_name,teams_away_logo
44,ENG-Premier League,1819,Bournemouth,2018-10-01 Bournemouth-Crystal Palace,10/1/2018,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,3,0,0,9,12,2,13,9,8,1,0,0,57,14,9,60.9,20:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
45,ENG-Premier League,1819,Bournemouth,2018-10-06 Watford-Bournemouth,10/6/2018,Matchweek 8,Sat,Away,W,4,0,Watford,1,0,0,9,11,2,14,8,6,1,0,0,49,16,15,51.6,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Watford,https://media-4.api-sports.io/football/teams/38.png
46,ENG-Premier League,1819,Bournemouth,2018-10-20 Bournemouth-Southampton,10/20/2018,Matchweek 9,Sat,Home,D,0,0,Southampton,1,0,0,11,14,0,22,5,7,0,0,0,51,24,26,48.0,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
47,ENG-Premier League,1819,Bournemouth,2018-10-27 Fulham-Bournemouth,10/27/2018,Matchweek 10,Sat,Away,W,3,0,Fulham,1,0,0,3,15,1,23,10,4,1,0,0,46,8,27,22.9,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
48,ENG-Premier League,1819,Bournemouth,2018-11-03 Bournemouth-Manchester Utd,11/3/2018,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,4,0,0,12,10,0,23,7,10,0,0,0,48,15,23,39.5,12:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
49,ENG-Premier League,1819,Bournemouth,2018-11-10 Newcastle Utd-Bournemouth,11/10/2018,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1,0,0,11,9,2,22,10,10,0,0,0,49,22,25,46.8,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
50,ENG-Premier League,1819,Bournemouth,2018-11-25 Bournemouth-Arsenal,11/25/2018,Matchweek 13,Sun,Home,L,1,2,Arsenal,2,0,0,6,9,4,22,13,7,0,0,1,51,23,18,56.1,13:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
51,ENG-Premier League,1819,Bournemouth,2018-12-01 Manchester City-Bournemouth,12/1/2018,Matchweek 14,Sat,Away,L,1,3,Manchester City,0,0,0,3,9,3,9,12,6,0,0,0,37,26,13,66.7,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
52,ENG-Premier League,1819,Bournemouth,2018-12-04 Bournemouth-Huddersfield,12/4/2018,Matchweek 15,Tue,Home,W,2,1,Huddersfield,4,0,0,14,10,3,11,14,8,0,0,0,58,30,39,43.5,19:45:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
53,ENG-Premier League,1819,Bournemouth,2018-12-08 Bournemouth-Liverpool,12/8/2018,Matchweek 16,Sat,Home,L,0,4,Liverpool,2,0,0,9,11,3,17,16,10,0,0,1,47,14,15,48.3,12:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
54,ENG-Premier League,1819,Bournemouth,2018-12-15 Wolves-Bournemouth,12/15/2018,Matchweek 17,Sat,Away,L,0,2,Wolves,2,0,0,7,14,0,19,11,4,0,0,0,69,15,18,45.5,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Wolves,https://media-4.api-sports.io/football/teams/39.png
55,ENG-Premier League,1819,Bournemouth,2018-12-22 Bournemouth-Brighton,12/22/2018,Matchweek 18,Sat,Home,W,2,0,Brighton,2,0,0,8,16,3,13,7,5,0,0,0,52,25,14,64.1,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
56,ENG-Premier League,1819,Bournemouth,2018-12-26 Tottenham-Bournemouth,12/26/2018,Matchweek 19,Wed,Away,L,0,5,Tottenham,1,0,0,8,5,3,15,10,10,0,0,0,48,15,8,65.2,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
57,ENG-Premier League,1819,Bournemouth,2018-12-30 Manchester Utd-Bournemouth,12/30/2018,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,0,0,0,7,10,0,13,5,6,0,0,0,36,11,11,50.0,16:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
58,ENG-Premier League,1819,Bournemouth,2019-01-02 Bournemouth-Watford,1/2/2019,Matchweek 21,Wed,Home,D,3,3,Watford,1,0,0,9,15,2,15,9,10,0,0,0,64,26,34,43.3,19:45:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Watford,https://media-4.api-sports.io/football/teams/38.png
59,ENG-Premier League,1819,Bournemouth,2019-01-13 Everton-Bournemouth,1/13/2019,Matchweek 22,Sun,Away,L,0,2,Everton,0,0,0,8,17,1,23,6,8,0,0,0,50,31,27,53.4,14:15:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Everton,https://media-4.api-sports.io/football/teams/45.png
60,ENG-Premier League,1819,Bournemouth,2019-01-19 Bournemouth-West Ham,1/19/2019,Matchweek 23,Sat,Home,W,2,0,West Ham,0,0,0,6,10,4,18,11,12,0,0,0,66,16,18,47.1,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
61,ENG-Premier League,1819,Bournemouth,2019-01-30 Bournemouth-Chelsea,1/30/2019,Matchweek 24,Wed,Home,W,4,0,Chelsea,1,0,0,8,6,1,8,13,6,0,0,0,50,12,9,57.1,19:45:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
62,ENG-Premier League,1819,Bournemouth,2019-02-02 Cardiff City-Bournemouth,2/2/2019,Matchweek 25,Sat,Away,L,0,2,Cardiff City,2,0,0,14,17,0,21,5,4,0,1,0,51,19,26,42.2,17:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Cardiff City,https://media-4.api-sports.io/football/teams/43.png
63,ENG-Premier League,1819,Bournemouth,2019-02-09 Liverpool-Bournemouth,2/9/2019,Matchweek 26,Sat,Away,L,0,3,Liverpool,2,0,0,6,13,2,14,15,7,0,0,0,51,11,15,42.3,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
64,ENG-Premier League,1819,Bournemouth,2019-02-23 Bournemouth-Wolves,2/23/2019,Matchweek 27,Sat,Home,D,1,1,Wolves,4,0,0,10,15,1,22,13,12,2,1,0,48,26,20,56.5,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Wolves,https://media-4.api-sports.io/football/teams/39.png
65,ENG-Premier League,1819,Bournemouth,2019-02-27 Arsenal-Bournemouth,2/27/2019,Matchweek 28,Wed,Away,L,1,5,Arsenal,2,0,0,9,11,4,16,7,8,0,0,0,45,15,10,60.0,19:45:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
66,ENG-Premier League,1819,Bournemouth,2019-03-02 Bournemouth-Manchester City,3/2/2019,Matchweek 29,Sat,Home,L,0,1,Manchester City,1,0,0,7,6,1,2,16,6,0,0,0,29,9,13,40.9,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
67,ENG-Premier League,1819,Bournemouth,2019-03-09 Huddersfield-Bournemouth,3/9/2019,Matchweek 30,Sat,Away,W,2,0,Huddersfield,1,0,0,9,13,0,9,8,13,0,0,0,61,11,19,36.7,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
68,ENG-Premier League,1819,Bournemouth,2019-03-16 Bournemouth-Newcastle Utd,3/16/2019,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,3,0,0,9,11,0,19,8,7,1,0,0,52,21,15,58.3,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
69,ENG-Premier League,1819,Bournemouth,2019-03-30 Leicester City-Bournemouth,3/30/2019,Matchweek 32,Sat,Away,L,0,2,Leicester City,2,0,0,12,6,1,12,16,8,0,0,0,52,18,23,43.9,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
70,ENG-Premier League,1819,Bournemouth,2019-04-06 Bournemouth-Burnley,4/6/2019,Matchweek 33,Sat,Home,L,1,3,Burnley,2,0,0,12,15,2,19,6,4,0,0,0,44,35,24,59.3,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
71,ENG-Premier League,1819,Bournemouth,2019-04-13 Brighton-Bournemouth,4/13/2019,Matchweek 34,Sat,Away,W,5,0,Brighton,4,0,0,6,10,0,7,16,10,0,0,0,65,20,15,57.1,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
72,ENG-Premier League,1819,Bournemouth,2019-04-20 Bournemouth-Fulham,4/20/2019,Matchweek 35,Sat,Home,L,0,1,Fulham,1,0,0,11,18,1,11,7,11,0,1,0,44,19,20,48.7,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
73,ENG-Premier League,1819,Bournemouth,2019-04-27 Southampton-Bournemouth,4/27/2019,Matchweek 36,Sat,Away,D,3,3,Southampton,1,0,0,9,7,0,11,7,6,0,0,0,52,13,21,38.2,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
74,ENG-Premier League,1819,Bournemouth,2019-05-04 Bournemouth-Tottenham,5/4/2019,Matchweek 37,Sat,Home,W,1,0,Tottenham,1,0,0,11,12,1,35,13,10,0,0,0,51,14,16,46.7,12:30:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
75,ENG-Premier League,1819,Bournemouth,2019-05-12 Crystal Palace-Bournemouth,5/12/2019,Matchweek 38,Sun,Away,L,3,5,Crystal Palace,0,0,0,8,11,1,21,13,10,0,0,1,55,15,13,53.6,15:00:00,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
76,ENG-Premier League,1819,Brighton,2018-08-11 Watford-Brighton,8/11/2018,Matchweek 1,Sat,Away,L,0,2,Watford,2,0,0,16,10,3,15,17,11,0,0,0,54,24,15,61.5,15:00:00,Brighton,https://media-4.api-sports.io/football/teams/51.png,Watford,https://media-4.api-sports.io/football/teams/38.png
77,ENG-Premier League,1819,Brighton,2018-08-19 Brighton-Manchester Utd,8/19/2018,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,1,0,0,16,13,2,13,10,13,1,1,0,55,12,22,35.3,16:00:00,Brighton,https://media-4.api-sports.io/football/teams/51.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
78,ENG-Premier League,1819,Brighton,2018-08-25 Liverpool-Brighton,8/25/2018,Matchweek 3,Sat,Away,L,0,1,Liverpool,1,0,0,14,7,3,11,29,9,0,0,0,52,19,18,51.4,17:30:00,Brighton,https://media-4.api-sports.io/football/teams/51.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
79,ENG-Premier League,1819,Brighton,2018-09-01 Brighton-Fulham,9/1/2018,Matchweek 4,Sat,Home,D,2,2,Fulham,3,0,0,12,11,2,29,18,12,1,0,0,50,15,15,50.0,15:00:00,Brighton,https://media-4.api-sports.io/football/teams/51.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
