,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
,,,,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,2018-08-12,Matchweek 1,Sun,Home,L,0,2,Manchester City,341,442,77.1,6223,2301,148,166,89.2,143,163,87.7,39,71,54.9,0,0.5,0.6,9,25,7,1,36,16:00:00
ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Away,L,2,3,Chelsea,379,467,81.2,7091,2350,146,167,87.4,169,185,91.4,51,84,60.7,1,2.3,1.4,13,27,9,3,38,17:30:00
ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,2018-08-25,Matchweek 3,Sat,Home,W,3,1,West Ham,484,589,82.2,8046,2992,236,260,90.8,189,220,85.9,41,65,63.1,2,1.6,1.4,14,31,9,1,57,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Away,W,3,2,Cardiff City,570,684,83.3,9406,3210,288,313,92.0,201,229,87.8,55,90,61.1,3,1.1,1.0,13,38,16,2,58,13:30:00
ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,2018-09-15,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,533,642,83.0,9165,3094,246,279,88.2,210,239,87.9,55,90,61.1,0,0.8,1.1,9,44,10,2,54,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,2018-09-23,Matchweek 6,Sun,Home,W,2,0,Everton,493,605,81.5,9112,3050,209,231,90.5,197,229,86.0,67,109,61.5,2,0.7,1.1,7,39,11,1,52,16:00:00
ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,2018-09-29,Matchweek 7,Sat,Home,W,2,0,Watford,470,589,79.8,7600,2785,252,282,89.4,166,194,85.6,41,85,48.2,1,1.0,0.8,7,40,13,2,52,15:00:00
ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,2018-10-07,Matchweek 8,Sun,Away,W,5,1,Fulham,430,545,78.9,7385,2907,194,224,86.6,178,215,82.8,41,72,56.9,5,0.7,0.8,7,21,12,2,48,12:00:00
ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,2018-10-22,Matchweek 9,Mon,Home,W,3,1,Leicester City,633,746,84.9,9925,3258,352,397,88.7,237,272,87.1,37,55,67.3,3,2.4,3.0,10,39,14,0,60,20:00:00
ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,484,588,82.3,8240,2304,210,248,84.7,214,244,87.7,36,61,59.0,0,0.2,0.3,3,24,4,0,36,13:30:00
ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,2018-11-03,Matchweek 11,Sat,Home,D,1,1,Liverpool,539,643,83.8,9136,3043,274,297,92.3,206,238,86.6,47,73,64.4,1,1.4,1.4,12,38,13,5,60,17:30:00
ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,2018-11-11,Matchweek 12,Sun,Home,D,1,1,Wolves,670,796,84.2,11088,3303,307,338,90.8,285,322,88.5,46,73,63.0,1,0.7,1.0,5,60,14,1,81,16:30:00
ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Away,W,2,1,Bournemouth,497,628,79.1,7913,2656,245,282,86.9,191,224,85.3,36,77,46.8,1,1.2,1.2,11,35,17,2,55,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,2018-12-02,Matchweek 14,Sun,Home,W,4,2,Tottenham,428,526,81.4,8495,2792,147,162,90.7,180,216,83.3,77,105,73.3,3,1.2,0.9,16,23,11,4,40,14:05:00
ENG-Premier League,1819,Arsenal,2018-12-05 Manchester Utd-Arsenal,2018-12-05,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,478,590,81.0,7997,2523,235,268,87.7,182,207,87.9,47,76,61.8,1,1.1,1.3,7,25,14,2,45,20:00:00
ENG-Premier League,1819,Arsenal,2018-12-08 Arsenal-Huddersfield,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Huddersfield,452,569,79.4,8092,2772,195,223,87.4,199,234,85.0,45,76,59.2,1,1.4,1.3,13,29,9,1,47,15:00:00
ENG-Premier League,1819,Arsenal,2018-12-16 Southampton-Arsenal,2018-12-16,Matchweek 17,Sun,Away,L,2,3,Southampton,586,689,85.1,10625,3334,233,257,90.7,273,306,89.2,57,81,70.4,2,1.3,1.1,12,30,12,3,54,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-22 Arsenal-Burnley,2018-12-22,Matchweek 18,Sat,Home,W,3,1,Burnley,497,582,85.4,8619,2532,230,248,92.7,194,215,90.2,53,85,62.4,2,0.6,1.0,7,22,8,1,37,12:30:00
ENG-Premier League,1819,Arsenal,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Away,D,1,1,Brighton,656,750,87.5,10598,3183,316,339,93.2,278,305,91.1,45,73,61.6,1,0.8,0.9,7,39,8,0,62,17:15:00
ENG-Premier League,1819,Arsenal,2018-12-29 Liverpool-Arsenal,2018-12-29,Matchweek 20,Sat,Away,L,1,5,Liverpool,489,592,82.6,8331,2824,227,250,90.8,200,217,92.2,43,82,52.4,1,1.0,0.8,7,24,6,1,42,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-01 Arsenal-Fulham,2019-01-01,Matchweek 21,Tue,Home,W,4,1,Fulham,463,597,77.6,7831,2949,210,238,88.2,178,207,86.0,49,99,49.5,3,4.4,2.8,14,22,12,3,42,15:00:00
ENG-Premier League,1819,Arsenal,2019-01-12 West Ham-Arsenal,2019-01-12,Matchweek 22,Sat,Away,L,0,1,West Ham,510,595,85.7,9041,2987,209,227,92.1,232,254,91.3,50,72,69.4,0,0.5,0.6,7,36,8,1,50,12:30:00
ENG-Premier League,1819,Arsenal,2019-01-19 Arsenal-Chelsea,2019-01-19,Matchweek 23,Sat,Home,W,2,0,Chelsea,299,395,75.7,5650,2224,109,132,82.6,127,153,83.0,45,75,60.0,2,1.4,1.3,11,17,11,5,30,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-29 Arsenal-Cardiff City,2019-01-29,Matchweek 24,Tue,Home,W,2,1,Cardiff City,537,631,85.1,7994,3020,279,311,89.7,203,226,89.8,25,44,56.8,1,1.6,1.4,13,30,19,0,53,19:45:00
ENG-Premier League,1819,Arsenal,2019-02-03 Manchester City-Arsenal,2019-02-03,Matchweek 25,Sun,Away,L,1,3,Manchester City,360,465,77.4,5745,1752,166,192,86.5,144,167,86.2,25,57,43.9,1,0.7,0.6,4,15,3,0,24,16:30:00
ENG-Premier League,1819,Arsenal,2019-02-09 Huddersfield-Arsenal,2019-02-09,Matchweek 26,Sat,Away,W,2,1,Huddersfield,326,447,72.9,6043,2567,154,185,83.2,116,146,79.5,44,74,59.5,2,1.2,0.9,7,12,11,2,31,15:00:00
ENG-Premier League,1819,Arsenal,2019-02-24 Arsenal-Southampton,2019-02-24,Matchweek 27,Sun,Home,W,2,0,Southampton,522,648,80.6,8967,2922,226,267,84.6,203,240,84.6,58,79,73.4,1,1.8,1.2,10,27,18,2,47,14:05:00
ENG-Premier League,1819,Arsenal,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Home,W,5,1,Bournemouth,606,694,87.3,10068,2885,279,302,92.4,260,281,92.5,40,59,67.8,4,2.3,1.7,14,34,10,2,41,19:45:00
ENG-Premier League,1819,Arsenal,2019-03-02 Tottenham-Arsenal,2019-03-02,Matchweek 29,Sat,Away,D,1,1,Tottenham,223,371,60.1,4042,1867,112,149,75.2,63,103,61.2,36,85,42.4,1,1.9,1.3,7,22,3,0,26,12:30:00
ENG-Premier League,1819,Arsenal,2019-03-10 Arsenal-Manchester Utd,2019-03-10,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,326,436,74.8,5548,2185,154,175,88.0,121,138,87.7,35,77,45.5,1,0.8,0.7,11,25,7,1,37,16:30:00
ENG-Premier League,1819,Arsenal,2019-04-01 Arsenal-Newcastle Utd,2019-04-01,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,637,754,84.5,9917,3179,339,373,90.9,215,245,87.8,47,75,62.7,1,0.7,1.3,6,46,19,1,60,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-07 Everton-Arsenal,2019-04-07,Matchweek 33,Sun,Away,L,0,1,Everton,440,561,78.4,7769,2583,186,217,85.7,199,230,86.5,41,68,60.3,0,0.2,0.4,5,31,4,1,52,14:05:00
ENG-Premier League,1819,Arsenal,2019-04-15 Watford-Arsenal,2019-04-15,Matchweek 34,Mon,Away,W,1,0,Watford,591,690,85.7,9853,3045,290,314,92.4,227,258,88.0,51,72,70.8,0,2.0,1.7,16,48,20,6,56,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-21 Arsenal-Crystal Palace,2019-04-21,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,616,718,85.8,10479,3072,281,311,90.4,254,287,88.5,56,73,76.7,1,1.1,0.9,9,66,12,0,88,16:00:00
ENG-Premier League,1819,Arsenal,2019-04-24 Wolves-Arsenal,2019-04-24,Matchweek 31,Wed,Away,L,1,3,Wolves,642,734,87.5,10545,3116,300,328,91.5,254,274,92.7,50,70,71.4,1,0.7,1.2,9,46,10,1,68,19:45:00
ENG-Premier League,1819,Arsenal,2019-04-28 Leicester City-Arsenal,2019-04-28,Matchweek 36,Sun,Away,L,0,3,Leicester City,211,332,63.6,3906,1948,97,116,83.6,77,104,74.0,29,83,34.9,0,0.6,0.3,6,18,5,1,25,12:00:00
