,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
ENG-Premier League,1819,Arsenal,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Home,D,1,1,Brighton,523,636,82.2,8508,2638,262,298,87.9,215,238,90.3,34,64,53.1,0,0.8,1.0,12,38,18,2,77,16:30:00
ENG-Premier League,1819,Arsenal,2019-05-12 Burnley-Arsenal,2019-05-12,Matchweek 38,Sun,Away,W,3,1,Burnley,484,583,83.0,8407,2892,230,253,90.9,204,225,90.7,42,73,57.5,2,2.2,2.0,13,34,10,1,53,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-11 Bournemouth-Cardiff City,2018-08-11,Matchweek 1,Sat,Home,W,2,0,Cardiff City,432,547,79.0,7484,2691,201,238,84.5,189,223,84.8,38,66,57.6,2,1.3,1.1,8,21,12,4,48,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-18 West Ham-Bournemouth,2018-08-18,Matchweek 2,Sat,Away,W,2,1,West Ham,265,354,74.9,4328,2112,141,158,89.2,93,116,80.2,25,60,41.7,2,1.3,1.1,12,17,12,2,35,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-25 Bournemouth-Everton,2018-08-25,Matchweek 3,Sat,Home,D,2,2,Everton,337,440,76.6,6239,2410,145,178,81.5,154,183,84.2,35,63,55.6,0,1.1,1.0,12,26,14,3,46,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-01 Chelsea-Bournemouth,2018-09-01,Matchweek 4,Sat,Away,L,0,2,Chelsea,198,297,66.7,3508,1918,100,134,74.6,62,86,72.1,28,61,45.9,0,0.8,0.4,5,17,5,1,30,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-15 Bournemouth-Leicester City,2018-09-15,Matchweek 5,Sat,Home,W,4,2,Leicester City,289,407,71.0,4965,2294,148,174,85.1,113,149,75.8,27,66,40.9,3,1.4,0.5,6,24,6,0,31,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-22 Burnley-Bournemouth,2018-09-22,Matchweek 6,Sat,Away,L,0,4,Burnley,523,653,80.1,8653,2983,267,308,86.7,220,253,87.0,29,62,46.8,0,0.7,0.7,14,36,14,2,55,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-01 Bournemouth-Crystal Palace,2018-10-01,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,364,465,78.3,6638,2570,168,198,84.8,156,183,85.2,36,67,53.7,1,0.9,0.6,8,32,11,5,34,20:00:00
ENG-Premier League,1819,Bournemouth,2018-10-06 Watford-Bournemouth,2018-10-06,Matchweek 8,Sat,Away,W,4,0,Watford,378,464,81.5,6683,2578,187,210,89.0,147,167,88.0,35,60,58.3,2,2.0,1.3,7,30,8,2,46,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-20 Bournemouth-Southampton,2018-10-20,Matchweek 9,Sat,Home,D,0,0,Southampton,386,522,73.9,6758,2803,191,222,86.0,152,195,77.9,39,88,44.3,0,0.7,0.6,6,26,7,2,37,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-27 Fulham-Bournemouth,2018-10-27,Matchweek 10,Sat,Away,W,3,0,Fulham,451,550,82.0,7867,2791,225,250,90.0,181,216,83.8,42,70,60.0,2,1.0,1.0,9,41,18,6,58,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-03 Bournemouth-Manchester Utd,2018-11-03,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,342,460,74.3,6222,2721,163,197,82.7,137,163,84.0,41,86,47.7,1,1.3,1.4,12,29,15,2,34,12:30:00
ENG-Premier League,1819,Bournemouth,2018-11-10 Newcastle Utd-Bournemouth,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,432,559,77.3,7423,2641,198,245,80.8,174,207,84.1,43,59,72.9,1,1.4,1.0,9,37,6,1,54,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Home,L,1,2,Arsenal,327,450,72.7,5595,2358,170,198,85.9,120,163,73.6,34,67,50.7,1,0.5,0.6,10,29,9,4,44,13:30:00
ENG-Premier League,1819,Bournemouth,2018-12-01 Manchester City-Bournemouth,2018-12-01,Matchweek 14,Sat,Away,L,1,3,Manchester City,225,321,70.1,3940,1766,113,139,81.3,82,105,78.1,23,60,38.3,1,0.5,0.8,3,12,8,1,23,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-04 Bournemouth-Huddersfield,2018-12-04,Matchweek 15,Tue,Home,W,2,1,Huddersfield,238,343,69.4,4182,1918,112,135,83.0,92,117,78.6,26,62,41.9,2,0.9,0.6,6,18,4,1,20,19:45:00
ENG-Premier League,1819,Bournemouth,2018-12-08 Bournemouth-Liverpool,2018-12-08,Matchweek 16,Sat,Home,L,0,4,Liverpool,354,472,75.0,5668,2032,179,209,85.6,114,142,80.3,36,66,54.5,0,0.1,0.8,2,27,5,2,41,12:30:00
ENG-Premier League,1819,Bournemouth,2018-12-15 Wolves-Bournemouth,2018-12-15,Matchweek 17,Sat,Away,L,0,2,Wolves,564,681,82.8,9209,3074,291,324,89.8,223,266,83.8,41,68,60.3,0,0.4,0.5,10,27,11,3,49,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Home,W,2,0,Brighton,473,589,80.3,7449,3140,258,289,89.3,173,208,83.2,30,59,50.8,2,0.6,1.0,10,31,11,2,46,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-26 Tottenham-Bournemouth,2018-12-26,Matchweek 19,Wed,Away,L,0,5,Tottenham,402,499,80.6,7087,2614,196,223,87.9,151,179,84.4,50,76,65.8,0,1.1,1.0,13,31,14,3,44,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-30 Manchester Utd-Bournemouth,2018-12-30,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,310,394,78.7,5153,2286,161,180,89.4,119,138,86.2,24,54,44.4,1,0.4,0.6,6,21,5,1,31,16:30:00
ENG-Premier League,1819,Bournemouth,2019-01-02 Bournemouth-Watford,2019-01-02,Matchweek 21,Wed,Home,D,3,3,Watford,404,534,75.7,6856,2712,184,218,84.4,160,195,82.1,39,75,52.0,2,1.5,1.1,17,30,11,3,42,19:45:00
ENG-Premier League,1819,Bournemouth,2019-01-13 Everton-Bournemouth,2019-01-13,Matchweek 22,Sun,Away,L,0,2,Everton,293,434,67.5,4981,2036,132,157,84.1,121,155,78.1,24,70,34.3,0,1.3,1.9,11,26,6,1,39,14:15:00
ENG-Premier League,1819,Bournemouth,2019-01-19 Bournemouth-West Ham,2019-01-19,Matchweek 23,Sat,Home,W,2,0,West Ham,298,406,73.4,4956,2195,158,186,84.9,101,138,73.2,30,56,53.6,1,0.8,0.8,6,22,3,0,26,15:00:00
ENG-Premier League,1819,Bournemouth,2019-01-30 Bournemouth-Chelsea,2019-01-30,Matchweek 24,Wed,Home,W,4,0,Chelsea,284,372,76.3,5130,2021,132,157,84.1,116,128,90.6,31,67,46.3,4,1.8,1.0,9,10,7,1,23,19:45:00
ENG-Premier League,1819,Bournemouth,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Away,L,0,2,Cardiff City,541,661,81.8,8330,2933,297,330,90.0,178,220,80.9,41,59,69.5,0,0.5,0.7,8,38,6,0,50,17:30:00
ENG-Premier League,1819,Bournemouth,2019-02-09 Liverpool-Bournemouth,2019-02-09,Matchweek 26,Sat,Away,L,0,3,Liverpool,299,399,74.9,5087,2185,148,173,85.5,114,136,83.8,26,62,41.9,0,0.3,0.4,7,21,9,1,27,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-23 Bournemouth-Wolves,2019-02-23,Matchweek 27,Sat,Home,D,1,1,Wolves,304,425,71.5,5221,2085,141,172,82.0,132,169,78.1,23,60,38.3,0,0.8,1.0,7,20,6,3,32,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Away,L,1,5,Arsenal,301,385,78.2,5226,1742,147,169,87.0,108,127,85.0,37,65,56.9,1,0.7,0.8,9,22,9,3,26,19:45:00
ENG-Premier League,1819,Bournemouth,2019-03-02 Bournemouth-Manchester City,2019-03-02,Matchweek 29,Sat,Home,L,0,1,Manchester City,122,204,59.8,2280,1167,65,80,81.3,31,51,60.8,22,62,35.5,0,0.0,0.0,0,4,0,0,6,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-09 Huddersfield-Bournemouth,2019-03-09,Matchweek 30,Sat,Away,W,2,0,Huddersfield,281,404,69.6,4865,2338,141,172,82.0,104,133,78.2,29,69,42.0,2,1.8,1.2,7,12,10,1,27,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-16 Bournemouth-Newcastle Utd,2019-03-16,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,326,451,72.3,5915,2514,131,165,79.4,152,187,81.3,37,74,50.0,1,0.4,0.5,6,25,3,1,32,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-30 Leicester City-Bournemouth,2019-03-30,Matchweek 32,Sat,Away,L,0,2,Leicester City,358,468,76.5,6029,2371,167,192,87.0,157,192,81.8,26,57,45.6,0,0.7,0.5,6,33,4,0,36,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Home,L,1,3,Burnley,383,496,77.2,6757,2662,190,229,83.0,154,184,83.7,35,68,51.5,0,1.0,1.1,7,29,10,5,37,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Away,W,5,0,Brighton,402,505,79.6,6109,2330,228,260,87.7,147,171,86.0,20,54,37.0,5,2.4,2.1,13,18,13,1,37,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-20 Bournemouth-Fulham,2019-04-20,Matchweek 35,Sat,Home,L,0,1,Fulham,392,481,81.5,7170,2615,166,187,88.8,178,223,79.8,40,53,75.5,0,1.3,0.8,10,33,10,1,53,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-27 Southampton-Bournemouth,2019-04-27,Matchweek 36,Sat,Away,D,3,3,Southampton,378,498,75.9,6214,2353,205,238,86.1,134,171,78.4,30,65,46.2,2,1.9,1.0,7,21,7,2,23,15:00:00
ENG-Premier League,1819,Bournemouth,2019-05-04 Bournemouth-Tottenham,2019-05-04,Matchweek 37,Sat,Home,W,1,0,Tottenham,401,502,79.9,7242,2527,168,193,87.0,168,192,87.5,50,82,61.0,1,1.5,1.3,17,37,15,6,54,12:30:00
ENG-Premier League,1819,Bournemouth,2019-05-12 Crystal Palace-Bournemouth,2019-05-12,Matchweek 38,Sun,Away,L,3,5,Crystal Palace,448,558,80.3,7784,2589,229,265,86.4,177,205,86.3,39,71,54.9,3,1.8,1.0,15,46,6,0,59,15:00:00
ENG-Premier League,1819,Brighton,2018-08-11 Watford-Brighton,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Watford,317,426,74.4,6221,2462,143,162,88.3,120,150,80.0,48,88,54.5,0,0.3,0.2,5,24,6,3,31,15:00:00
ENG-Premier League,1819,Brighton,2018-08-19 Brighton-Manchester Utd,2018-08-19,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,206,322,64.0,3946,1809,88,111,79.3,86,114,75.4,26,76,34.2,2,0.8,0.7,4,14,3,2,15,16:00:00
ENG-Premier League,1819,Brighton,2018-08-25 Liverpool-Brighton,2018-08-25,Matchweek 3,Sat,Away,L,0,1,Liverpool,254,359,70.8,4082,1595,139,158,88.0,88,116,75.9,18,59,30.5,0,0.4,0.5,4,11,3,3,13,17:30:00
ENG-Premier League,1819,Brighton,2018-09-01 Brighton-Fulham,2018-09-01,Matchweek 4,Sat,Home,D,2,2,Fulham,310,426,72.8,5841,2051,137,166,82.5,120,140,85.7,44,91,48.4,1,1.2,0.8,9,23,9,4,32,15:00:00
ENG-Premier League,1819,Brighton,2018-09-17 Southampton-Brighton,2018-09-17,Matchweek 5,Mon,Away,D,2,2,Southampton,368,488,75.4,6658,2592,187,223,83.9,126,154,81.8,47,85,55.3,1,0.7,0.8,10,29,8,2,31,20:00:00
ENG-Premier League,1819,Brighton,2018-09-22 Brighton-Tottenham,2018-09-22,Matchweek 6,Sat,Home,L,1,2,Tottenham,209,297,70.4,4365,2330,92,118,78.0,75,98,76.5,38,67,56.7,1,0.7,0.3,6,17,4,1,12,17:30:00
ENG-Premier League,1819,Brighton,2018-09-29 Manchester City-Brighton,2018-09-29,Matchweek 7,Sat,Away,L,0,2,Manchester City,153,236,64.8,3038,1523,73,88,83.0,53,70,75.7,23,63,36.5,0,0.2,0.1,4,8,2,2,11,15:00:00
ENG-Premier League,1819,Brighton,2018-10-05 Brighton-West Ham,2018-10-05,Matchweek 8,Fri,Home,W,1,0,West Ham,215,323,66.6,4008,1890,107,129,82.9,67,99,67.7,32,68,47.1,1,1.1,0.9,7,16,2,1,17,20:00:00
ENG-Premier League,1819,Brighton,2018-10-20 Newcastle Utd-Brighton,2018-10-20,Matchweek 9,Sat,Away,W,1,0,Newcastle Utd,172,286,60.1,3197,1491,85,109,78.0,62,82,75.6,23,70,32.9,1,0.5,0.2,4,16,8,1,22,15:00:00
ENG-Premier League,1819,Brighton,2018-10-27 Brighton-Wolves,2018-10-27,Matchweek 10,Sat,Home,W,1,0,Wolves,278,398,69.8,5440,2369,107,131,81.7,124,157,79.0,39,85,45.9,1,0.9,0.5,5,13,6,0,25,15:00:00
ENG-Premier League,1819,Brighton,2018-11-03 Everton-Brighton,2018-11-03,Matchweek 11,Sat,Away,L,1,3,Everton,238,355,67.0,4936,2311,83,112,74.1,106,135,78.5,42,84,50.0,1,0.5,0.5,5,21,2,1,19,15:00:00
ENG-Premier League,1819,Brighton,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Cardiff City,221,345,64.1,4043,1920,109,136,80.1,81,118,68.6,27,74,36.5,1,0.5,0.3,6,10,3,0,10,12:30:00
ENG-Premier League,1819,Brighton,2018-11-24 Brighton-Leicester City,2018-11-24,Matchweek 13,Sat,Home,D,1,1,Leicester City,364,494,73.7,6853,2441,165,192,85.9,141,179,78.8,51,91,56.0,1,0.9,0.7,12,22,6,1,41,15:00:00
ENG-Premier League,1819,Brighton,2018-12-01 Huddersfield-Brighton,2018-12-01,Matchweek 14,Sat,Away,W,2,1,Huddersfield,508,615,82.6,9821,3112,198,224,88.4,228,265,86.0,72,105,68.6,2,0.7,0.9,11,43,8,4,55,15:00:00
ENG-Premier League,1819,Brighton,2018-12-04 Brighton-Crystal Palace,2018-12-04,Matchweek 15,Tue,Home,W,3,1,Crystal Palace,203,297,68.4,3883,1610,93,113,82.3,76,99,76.8,28,71,39.4,0,0.3,0.2,5,14,3,1,25,19:45:00
ENG-Premier League,1819,Brighton,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Away,L,0,1,Burnley,419,565,74.2,7679,2904,196,227,86.3,159,209,76.1,54,101,53.5,0,0.9,0.9,12,26,3,2,38,15:00:00
ENG-Premier League,1819,Brighton,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Home,L,1,2,Chelsea,397,507,78.3,7504,2407,170,207,82.1,161,177,91.0,52,78,66.7,1,0.3,0.4,4,19,4,2,35,13:30:00
ENG-Premier League,1819,Brighton,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Away,L,0,2,Bournemouth,319,442,72.2,6072,2038,131,162,80.9,123,155,79.4,52,98,53.1,0,0.7,0.6,8,23,8,3,36,15:00:00
ENG-Premier League,1819,Brighton,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Home,D,1,1,Arsenal,264,365,72.3,5044,2258,121,143,84.6,102,128,79.7,36,74,48.6,0,0.5,0.7,9,22,10,4,30,17:15:00
ENG-Premier League,1819,Brighton,2018-12-29 Brighton-Everton,2018-12-29,Matchweek 20,Sat,Home,W,1,0,Everton,279,409,68.2,5633,2048,117,143,81.8,114,156,73.1,46,98,46.9,0,0.5,0.7,5,24,7,2,32,15:00:00
ENG-Premier League,1819,Brighton,2019-01-02 West Ham-Brighton,2019-01-02,Matchweek 21,Wed,Away,D,2,2,West Ham,333,449,74.2,5797,2355,168,199,84.4,116,145,80.0,38,76,50.0,1,0.6,0.3,11,31,4,2,39,19:45:00
ENG-Premier League,1819,Brighton,2019-01-12 Brighton-Liverpool,2019-01-12,Matchweek 22,Sat,Home,L,0,1,Liverpool,223,339,65.8,4354,2027,86,112,76.8,96,125,76.8,34,79,43.0,0,0.4,0.4,6,20,9,4,29,15:00:00
ENG-Premier League,1819,Brighton,2019-01-19 Manchester Utd-Brighton,2019-01-19,Matchweek 23,Sat,Away,L,1,2,Manchester Utd,336,440,76.4,6578,2404,143,160,89.4,122,147,83.0,55,94,58.5,1,0.7,0.6,6,19,5,2,22,15:00:00
ENG-Premier League,1819,Brighton,2019-01-29 Fulham-Brighton,2019-01-29,Matchweek 24,Tue,Away,L,2,4,Fulham,310,432,71.8,6156,2354,139,170,81.8,114,152,75.0,52,91,57.1,2,1.1,0.7,7,31,12,6,33,19:45:00
ENG-Premier League,1819,Brighton,2019-02-02 Brighton-Watford,2019-02-02,Matchweek 25,Sat,Home,D,0,0,Watford,381,514,74.1,6935,2746,176,212,83.0,136,176,77.3,53,94,56.4,0,1.6,1.1,20,34,10,4,47,15:00:00
