,,,,date,round,day,venue,result,GF,GA,opponent,Poss,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,time
ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,2018-10-22,Matchweek 9,Mon,Home,W,3,1,Leicester City,68,853,70,244,385,237,31,853,16,12,75.0,4,25.0,638,2950,1585,25,25,4,15,10,629,60,20:00:00
ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,57,719,65,219,387,120,12,719,12,7,58.3,5,41.7,386,2226,1278,19,15,1,17,17,482,36,13:30:00
ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,2018-11-03,Matchweek 11,Sat,Home,D,1,1,Liverpool,61,762,61,226,362,180,26,762,11,5,45.5,6,54.5,551,2540,1331,23,12,7,16,7,537,59,17:30:00
ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,2018-11-11,Matchweek 12,Sun,Home,D,1,1,Wolves,71,881,46,133,502,248,25,881,20,9,45.0,11,55.0,633,3452,1850,32,26,2,14,8,665,81,16:30:00
ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Away,W,2,1,Bournemouth,58,737,70,200,321,223,36,737,8,3,37.5,5,62.5,397,2083,1048,18,14,5,13,9,494,55,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,2018-12-02,Matchweek 14,Sun,Home,W,4,2,Tottenham,59,662,54,252,259,155,30,661,9,4,44.4,5,55.6,328,1820,776,18,17,5,17,16,427,40,14:05:00
ENG-Premier League,1819,Arsenal,2018-12-05 Manchester Utd-Arsenal,2018-12-05,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,55,688,67,231,298,163,27,688,11,9,81.8,2,18.2,363,2267,1140,21,22,5,16,13,473,45,20:00:00
ENG-Premier League,1819,Arsenal,2018-12-08 Arsenal-Huddersfield,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Huddersfield,62,679,56,228,310,147,16,679,9,3,33.3,6,66.7,363,2155,1122,19,18,3,15,10,445,46,15:00:00
ENG-Premier League,1819,Arsenal,2018-12-16 Southampton-Arsenal,2018-12-16,Matchweek 17,Sun,Away,L,2,3,Southampton,66,810,56,243,418,158,19,810,16,5,31.3,11,68.8,446,2394,1195,19,14,4,19,9,582,54,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-22 Arsenal-Burnley,2018-12-22,Matchweek 18,Sat,Home,W,3,1,Burnley,60,681,62,193,355,140,26,681,12,8,66.7,4,33.3,389,2170,1063,16,12,8,17,13,495,37,12:30:00
ENG-Premier League,1819,Arsenal,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Away,D,1,1,Brighton,67,832,64,199,465,173,21,832,14,9,64.3,5,35.7,482,2875,1612,20,16,1,12,14,654,62,17:15:00
ENG-Premier League,1819,Arsenal,2018-12-29 Liverpool-Arsenal,2018-12-29,Matchweek 20,Sat,Away,L,1,5,Liverpool,52,681,73,223,345,117,17,681,14,7,50.0,7,50.0,368,1864,1000,21,16,5,16,10,484,42,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-01 Arsenal-Fulham,2019-01-01,Matchweek 21,Tue,Home,W,4,1,Fulham,60,702,61,221,288,194,44,702,21,13,61.9,8,38.1,352,1768,961,27,13,11,13,10,456,42,15:00:00
ENG-Premier League,1819,Arsenal,2019-01-12 West Ham-Arsenal,2019-01-12,Matchweek 22,Sat,Away,L,0,1,West Ham,58,678,69,227,317,142,19,678,19,14,73.7,5,26.3,369,2581,1599,28,18,6,12,6,507,49,12:30:00
ENG-Premier League,1819,Arsenal,2019-01-19 Arsenal-Chelsea,2019-01-19,Matchweek 23,Sat,Home,W,2,0,Chelsea,36,546,91,263,154,133,22,546,12,8,66.7,4,33.3,250,1395,695,14,9,2,15,9,299,30,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-29 Arsenal-Cardiff City,2019-01-29,Matchweek 24,Tue,Home,W,2,1,Cardiff City,70,748,65,177,327,245,37,747,8,7,87.5,1,12.5,428,2692,1547,32,24,8,18,15,530,53,19:45:00
ENG-Premier League,1819,Arsenal,2019-02-03 Manchester City-Arsenal,2019-02-03,Matchweek 25,Sun,Away,L,1,3,Manchester City,41,559,84,214,269,79,8,559,14,10,71.4,4,28.6,288,1695,906,15,10,2,4,9,359,24,16:30:00
ENG-Premier League,1819,Arsenal,2019-02-09 Huddersfield-Arsenal,2019-02-09,Matchweek 26,Sat,Away,W,2,1,Huddersfield,45,586,72,247,269,77,21,586,19,10,52.6,9,47.4,277,1614,808,17,15,6,21,17,325,31,15:00:00
ENG-Premier League,1819,Arsenal,2019-02-24 Arsenal-Southampton,2019-02-24,Matchweek 27,Sun,Home,W,2,0,Southampton,62,778,69,250,351,180,46,778,19,14,73.7,5,26.3,399,1944,1039,29,15,11,20,11,519,46,14:05:00
ENG-Premier League,1819,Arsenal,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Home,W,5,1,Bournemouth,64,788,59,235,340,219,32,788,10,5,50.0,5,50.0,449,2259,1092,26,19,13,17,11,605,41,19:45:00
ENG-Premier League,1819,Arsenal,2019-03-02 Tottenham-Arsenal,2019-03-02,Matchweek 29,Sat,Away,D,1,1,Tottenham,40,481,54,183,202,100,15,480,18,9,50.0,9,50.0,195,1033,533,13,7,5,8,5,221,26,12:30:00
ENG-Premier League,1819,Arsenal,2019-03-10 Arsenal-Manchester Utd,2019-03-10,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,46,543,67,173,244,132,24,542,9,4,44.4,5,55.6,264,1520,856,23,9,6,17,15,326,37,16:30:00
ENG-Premier League,1819,Arsenal,2019-04-01 Arsenal-Newcastle Utd,2019-04-01,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,70,852,41,182,445,234,32,852,16,6,37.5,10,62.5,519,2893,1406,23,18,4,21,7,633,60,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-07 Everton-Arsenal,2019-04-07,Matchweek 33,Sun,Away,L,0,1,Everton,57,678,80,281,266,135,19,678,23,14,60.9,9,39.1,378,2426,1524,25,12,6,9,10,435,52,14:05:00
ENG-Premier League,1819,Arsenal,2019-04-15 Watford-Arsenal,2019-04-15,Matchweek 34,Mon,Away,W,1,0,Watford,65,811,64,165,453,197,44,811,9,3,33.3,6,66.7,428,2262,1344,31,14,9,14,7,586,56,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-21 Arsenal-Crystal Palace,2019-04-21,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,72,827,30,127,393,315,29,827,24,17,70.8,7,29.2,481,3167,1716,43,27,4,27,20,612,88,16:00:00
ENG-Premier League,1819,Arsenal,2019-04-24 Wolves-Arsenal,2019-04-24,Matchweek 31,Wed,Away,L,1,3,Wolves,70,804,24,113,437,256,21,804,13,10,76.9,3,23.1,508,2671,1280,35,26,7,16,12,639,67,19:45:00
ENG-Premier League,1819,Arsenal,2019-04-28 Leicester City-Arsenal,2019-04-28,Matchweek 36,Sun,Away,L,0,3,Leicester City,34,451,71,190,187,83,16,451,18,7,38.9,11,61.1,184,1220,772,11,7,2,11,8,209,25,12:00:00
ENG-Premier League,1819,Arsenal,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Home,D,1,1,Brighton,70,741,49,138,326,281,37,740,23,15,65.2,8,34.8,381,2641,1626,47,23,5,9,14,519,77,16:30:00
ENG-Premier League,1819,Arsenal,2019-05-12 Burnley-Arsenal,2019-05-12,Matchweek 38,Sun,Away,W,3,1,Burnley,60,683,74,259,259,170,36,683,12,5,41.7,7,58.3,376,2402,1417,33,17,11,15,8,482,53,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-11 Bournemouth-Cardiff City,2018-08-11,Matchweek 1,Sat,Home,W,2,0,Cardiff City,63,678,44,171,324,187,34,678,21,11,52.4,10,47.6,445,2625,1527,25,19,8,27,12,432,48,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-18 West Ham-Bournemouth,2018-08-18,Matchweek 2,Sat,Away,W,2,1,West Ham,39,473,65,162,204,114,23,473,22,12,54.5,10,45.5,268,1632,830,24,16,4,10,11,262,34,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-25 Bournemouth-Everton,2018-08-25,Matchweek 3,Sat,Home,D,2,2,Everton,50,540,44,174,234,138,25,539,15,6,40.0,9,60.0,318,1878,977,20,16,5,12,12,335,45,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-01 Chelsea-Bournemouth,2018-09-01,Matchweek 4,Sat,Away,L,0,2,Chelsea,28,431,86,177,128,132,17,431,13,3,23.1,10,76.9,208,976,484,11,5,3,16,2,198,30,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-15 Bournemouth-Leicester City,2018-09-15,Matchweek 5,Sat,Home,W,4,2,Leicester City,47,515,68,212,212,96,19,514,11,5,45.5,6,54.5,299,1355,715,17,5,7,17,14,284,31,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-22 Burnley-Bournemouth,2018-09-22,Matchweek 6,Sat,Away,L,0,4,Burnley,62,767,55,219,351,203,31,767,16,11,68.8,5,31.3,505,2451,1313,24,24,6,19,10,518,54,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-01 Bournemouth-Crystal Palace,2018-10-01,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,45,579,59,178,272,137,21,578,13,3,23.1,10,76.9,371,1733,886,14,9,2,21,9,361,33,20:00:00
ENG-Premier League,1819,Bournemouth,2018-10-06 Watford-Bournemouth,2018-10-06,Matchweek 8,Sat,Away,W,4,0,Watford,52,588,62,228,227,138,16,587,8,3,37.5,5,62.5,364,1757,989,23,10,5,16,14,377,46,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-20 Bournemouth-Southampton,2018-10-20,Matchweek 9,Sat,Home,D,0,0,Southampton,58,629,71,243,263,128,17,629,18,7,38.9,11,61.1,414,2278,1117,17,18,4,14,7,381,37,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-27 Fulham-Bournemouth,2018-10-27,Matchweek 10,Sat,Away,W,3,0,Fulham,49,656,50,176,317,168,28,655,12,7,58.3,5,41.7,467,2413,1353,26,19,8,11,5,449,58,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-03 Bournemouth-Manchester Utd,2018-11-03,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,49,586,71,204,247,146,31,586,15,4,26.7,11,73.3,355,1920,1008,22,14,8,15,6,340,33,12:30:00
ENG-Premier League,1819,Bournemouth,2018-11-10 Newcastle Utd-Bournemouth,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,60,705,77,217,331,162,30,705,12,5,41.7,7,58.3,423,2223,1259,23,12,5,17,11,430,54,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Home,L,1,2,Arsenal,42,575,73,187,248,146,21,575,11,7,63.6,4,36.4,328,1568,730,14,12,3,16,16,325,43,13:30:00
ENG-Premier League,1819,Bournemouth,2018-12-01 Manchester City-Bournemouth,2018-12-01,Matchweek 14,Sat,Away,L,1,3,Manchester City,28,413,62,171,146,101,17,413,14,8,57.1,6,42.9,211,948,472,10,7,1,12,8,223,23,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-04 Bournemouth-Huddersfield,2018-12-04,Matchweek 15,Tue,Home,W,2,1,Huddersfield,33,508,107,235,171,106,12,508,12,5,41.7,7,58.3,268,1302,651,18,10,4,16,15,234,20,19:45:00
ENG-Premier League,1819,Bournemouth,2018-12-08 Bournemouth-Liverpool,2018-12-08,Matchweek 16,Sat,Home,L,0,4,Liverpool,41,585,49,168,287,135,9,585,11,6,54.5,5,45.5,349,1651,739,13,15,3,18,8,352,40,12:30:00
ENG-Premier League,1819,Bournemouth,2018-12-15 Wolves-Bournemouth,2018-12-15,Matchweek 17,Sat,Away,L,0,2,Wolves,62,793,55,202,416,184,14,793,24,12,50.0,12,50.0,570,2570,1287,17,22,3,17,9,562,49,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Home,W,2,0,Brighton,57,688,48,207,321,167,25,688,22,10,45.5,12,54.5,314,1656,853,19,14,3,15,7,468,46,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-26 Tottenham-Bournemouth,2018-12-26,Matchweek 19,Wed,Away,L,0,5,Tottenham,44,581,45,163,281,142,22,581,6,2,33.3,4,66.7,396,1835,919,12,13,1,13,8,401,44,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-30 Manchester Utd-Bournemouth,2018-12-30,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,35,491,56,198,192,104,13,491,14,6,42.9,8,57.1,322,1503,818,10,13,0,18,4,309,31,16:30:00
ENG-Premier League,1819,Bournemouth,2019-01-02 Bournemouth-Watford,2019-01-02,Matchweek 21,Wed,Home,D,3,3,Watford,57,640,52,211,275,161,36,640,17,10,58.8,7,41.2,380,1992,1074,27,13,12,13,10,396,40,19:45:00
ENG-Premier League,1819,Bournemouth,2019-01-13 Everton-Bournemouth,2019-01-13,Matchweek 22,Sun,Away,L,0,2,Everton,49,550,62,155,244,153,30,550,11,9,81.8,2,18.2,245,1278,571,16,8,3,11,17,291,39,14:15:00
ENG-Premier League,1819,Bournemouth,2019-01-19 Bournemouth-West Ham,2019-01-19,Matchweek 23,Sat,Home,W,2,0,West Ham,39,525,67,196,207,134,22,525,18,8,44.4,10,55.6,321,1977,1165,22,22,8,12,3,295,26,15:00:00
ENG-Premier League,1819,Bournemouth,2019-01-30 Bournemouth-Chelsea,2019-01-30,Matchweek 24,Wed,Home,W,4,0,Chelsea,32,498,89,255,159,93,19,498,11,4,36.4,7,63.6,266,1290,708,13,13,4,10,6,283,23,19:45:00
ENG-Premier League,1819,Bournemouth,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Away,L,0,2,Cardiff City,73,769,48,164,395,219,31,769,26,21,80.8,5,19.2,431,3057,1647,36,26,8,9,12,535,50,17:30:00
ENG-Premier League,1819,Bournemouth,2019-02-09 Liverpool-Bournemouth,2019-02-09,Matchweek 26,Sat,Away,L,0,3,Liverpool,35,537,85,249,178,115,22,537,24,11,45.8,13,54.2,275,1300,624,11,12,4,15,10,297,27,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-23 Bournemouth-Wolves,2019-02-23,Matchweek 27,Sat,Home,D,1,1,Wolves,45,557,64,186,225,156,23,555,16,11,68.8,5,31.3,295,1860,938,21,12,7,14,16,302,32,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Away,L,1,5,Arsenal,36,492,55,153,228,115,17,492,9,6,66.7,3,33.3,289,1459,694,15,7,1,16,4,301,26,19:45:00
ENG-Premier League,1819,Bournemouth,2019-03-02 Bournemouth-Manchester City,2019-03-02,Matchweek 29,Sat,Home,L,0,1,Manchester City,19,323,92,200,94,33,4,323,4,4,100.0,0,0.0,148,749,349,6,5,0,12,9,121,6,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-09 Huddersfield-Bournemouth,2019-03-09,Matchweek 30,Sat,Away,W,2,0,Huddersfield,43,531,73,234,191,123,24,531,20,11,55.0,9,45.0,228,1569,875,26,18,5,13,9,281,27,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-16 Bournemouth-Newcastle Utd,2019-03-16,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,49,546,60,173,255,125,15,545,21,9,42.9,12,57.1,350,1977,1227,21,16,5,10,13,320,30,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-30 Leicester City-Bournemouth,2019-03-30,Matchweek 32,Sat,Away,L,0,2,Leicester City,42,583,70,216,267,105,8,583,17,9,52.9,8,47.1,364,1681,700,14,6,1,17,7,358,36,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Home,L,1,3,Burnley,59,606,67,217,261,132,36,606,14,8,57.1,6,42.9,389,2178,1275,26,14,7,21,6,381,37,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Away,W,5,0,Brighton,49,630,56,246,264,127,31,630,17,8,47.1,9,52.9,413,2004,981,18,20,4,11,10,396,36,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-20 Bournemouth-Fulham,2019-04-20,Matchweek 35,Sat,Home,L,0,1,Fulham,49,594,53,197,284,122,28,594,15,7,46.7,8,53.3,392,2211,1221,19,15,5,11,6,389,53,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-27 Southampton-Bournemouth,2019-04-27,Matchweek 36,Sat,Away,D,3,3,Southampton,56,624,78,264,251,112,17,624,13,5,38.5,8,61.5,359,1541,802,14,8,4,22,17,376,23,15:00:00
ENG-Premier League,1819,Bournemouth,2019-05-04 Bournemouth-Tottenham,2019-05-04,Matchweek 37,Sat,Home,W,1,0,Tottenham,53,615,63,156,257,209,34,615,15,5,33.3,10,66.7,411,2314,1219,36,21,5,13,5,395,53,12:30:00
ENG-Premier League,1819,Bournemouth,2019-05-12 Crystal Palace-Bournemouth,2019-05-12,Matchweek 38,Sun,Away,L,3,5,Crystal Palace,54,678,56,197,300,189,25,678,20,12,60.0,8,40.0,459,2549,1539,38,23,6,15,8,447,59,15:00:00
ENG-Premier League,1819,Brighton,2018-08-11 Watford-Brighton,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Watford,47,537,72,221,238,81,10,537,8,6,75.0,2,25.0,251,1254,630,11,7,2,10,16,311,29,15:00:00
ENG-Premier League,1819,Brighton,2018-08-19 Brighton-Manchester Utd,2018-08-19,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,34,426,43,140,211,83,9,425,6,3,50.0,3,50.0,192,979,454,7,7,1,11,9,204,15,16:00:00
ENG-Premier League,1819,Brighton,2018-08-25 Liverpool-Brighton,2018-08-25,Matchweek 3,Sat,Away,L,0,1,Liverpool,31,497,75,222,202,79,10,497,14,7,50.0,7,50.0,241,1199,545,5,6,3,16,14,252,13,17:30:00
ENG-Premier League,1819,Brighton,2018-09-01 Brighton-Fulham,2018-09-01,Matchweek 4,Sat,Home,D,2,2,Fulham,42,520,44,130,239,158,22,519,16,7,43.8,9,56.3,274,1505,814,23,15,7,15,5,308,32,15:00:00
ENG-Premier League,1819,Brighton,2018-09-17 Southampton-Brighton,2018-09-17,Matchweek 5,Mon,Away,D,2,2,Southampton,49,597,57,192,286,122,14,596,11,4,36.4,7,63.6,325,1734,745,11,5,1,14,9,363,31,20:00:00
ENG-Premier League,1819,Brighton,2018-09-22 Brighton-Tottenham,2018-09-22,Matchweek 6,Sat,Home,L,1,2,Tottenham,30,389,60,155,162,77,15,389,12,6,50.0,6,50.0,201,1000,472,6,6,3,13,10,209,12,17:30:00
ENG-Premier League,1819,Brighton,2018-09-29 Manchester City-Brighton,2018-09-29,Matchweek 7,Sat,Away,L,0,2,Manchester City,21,346,98,197,113,41,6,346,8,1,12.5,7,87.5,141,974,433,7,3,1,9,8,152,11,15:00:00
ENG-Premier League,1819,Brighton,2018-10-05 Brighton-West Ham,2018-10-05,Matchweek 8,Fri,Home,W,1,0,West Ham,36,438,75,159,172,110,11,438,18,11,61.1,7,38.9,205,1178,565,11,14,2,15,5,213,17,20:00:00
ENG-Premier League,1819,Brighton,2018-10-20 Newcastle Utd-Brighton,2018-10-20,Matchweek 9,Sat,Away,W,1,0,Newcastle Utd,33,438,96,187,153,100,14,438,14,8,57.1,6,42.9,166,959,404,8,4,2,18,10,171,21,15:00:00
ENG-Premier League,1819,Brighton,2018-10-27 Brighton-Wolves,2018-10-27,Matchweek 10,Sat,Home,W,1,0,Wolves,40,516,76,217,213,93,10,516,16,12,75.0,4,25.0,278,1406,795,9,9,2,10,7,275,25,15:00:00
ENG-Premier League,1819,Brighton,2018-11-03 Everton-Brighton,2018-11-03,Matchweek 11,Sat,Away,L,1,3,Everton,39,473,73,214,195,69,7,473,12,6,50.0,6,50.0,250,1279,580,8,7,1,15,12,238,19,15:00:00
ENG-Premier League,1819,Brighton,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Cardiff City,40,449,87,237,169,51,6,449,14,10,71.4,4,28.6,207,1076,590,6,6,0,11,8,216,10,12:30:00
ENG-Premier League,1819,Brighton,2018-11-24 Brighton-Leicester City,2018-11-24,Matchweek 13,Sat,Home,D,1,1,Leicester City,54,596,68,193,258,151,20,596,15,8,53.3,7,46.7,345,1519,653,13,10,6,14,10,362,41,15:00:00
ENG-Premier League,1819,Brighton,2018-12-01 Huddersfield-Brighton,2018-12-01,Matchweek 14,Sat,Away,W,2,1,Huddersfield,67,728,50,174,390,168,21,728,12,6,50.0,6,50.0,430,2108,1090,20,10,1,18,7,505,54,15:00:00
ENG-Premier League,1819,Brighton,2018-12-04 Brighton-Crystal Palace,2018-12-04,Matchweek 15,Tue,Home,W,3,1,Crystal Palace,32,454,63,178,191,91,13,453,14,7,50.0,7,50.0,200,1246,537,10,9,4,23,10,203,25,19:45:00
ENG-Premier League,1819,Brighton,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Away,L,0,1,Burnley,62,669,62,222,319,130,16,669,17,10,58.8,7,41.2,349,2018,1087,22,14,3,15,5,417,37,15:00:00
ENG-Premier League,1819,Brighton,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Home,L,1,2,Chelsea,43,610,42,227,282,105,7,610,9,5,55.6,4,44.4,264,1209,374,7,6,0,14,11,396,35,13:30:00
ENG-Premier League,1819,Brighton,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Away,L,0,2,Bournemouth,43,547,58,175,248,129,11,547,15,9,60.0,6,40.0,245,1381,759,11,9,0,13,5,318,36,15:00:00
ENG-Premier League,1819,Brighton,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Home,D,1,1,Arsenal,33,459,57,152,202,113,24,459,7,2,28.6,5,71.4,235,1296,723,18,8,4,14,2,261,30,17:15:00
ENG-Premier League,1819,Brighton,2018-12-29 Brighton-Everton,2018-12-29,Matchweek 20,Sat,Home,W,1,0,Everton,46,549,58,177,237,140,23,549,11,6,54.5,5,45.5,201,913,483,7,4,2,18,11,277,32,15:00:00
ENG-Premier League,1819,Brighton,2019-01-02 West Ham-Brighton,2019-01-02,Matchweek 21,Wed,Away,D,2,2,West Ham,45,552,41,153,289,114,13,552,9,7,77.8,2,22.2,310,1608,835,16,10,2,20,8,331,39,19:45:00
ENG-Premier League,1819,Brighton,2019-01-12 Brighton-Liverpool,2019-01-12,Matchweek 22,Sat,Home,L,0,1,Liverpool,30,436,63,187,172,80,12,436,5,3,60.0,2,40.0,215,1152,550,8,3,0,18,8,222,29,15:00:00
ENG-Premier League,1819,Brighton,2019-01-19 Manchester Utd-Brighton,2019-01-19,Matchweek 23,Sat,Away,L,1,2,Manchester Utd,44,546,65,175,243,132,16,546,9,4,44.4,5,55.6,241,1424,631,10,11,1,18,7,330,21,15:00:00
ENG-Premier League,1819,Brighton,2019-01-29 Fulham-Brighton,2019-01-29,Matchweek 24,Tue,Away,L,2,4,Fulham,39,575,68,178,258,143,25,575,13,10,76.9,3,23.1,282,1673,849,17,16,4,22,3,309,33,19:45:00
ENG-Premier League,1819,Brighton,2019-02-02 Brighton-Watford,2019-02-02,Matchweek 25,Sat,Home,D,0,0,Watford,55,647,38,137,335,185,28,647,33,19,57.6,14,42.4,333,1987,1007,24,21,4,14,13,380,47,15:00:00
ENG-Premier League,1819,Brighton,2019-02-09 Brighton-Burnley,2019-02-09,Matchweek 26,Sat,Home,L,1,3,Burnley,68,704,50,180,316,212,35,704,9,6,66.7,3,33.3,391,2061,1076,20,20,3,20,8,452,62,17:30:00
ENG-Premier League,1819,Brighton,2019-02-26 Leicester City-Brighton,2019-02-26,Matchweek 28,Tue,Away,L,1,2,Leicester City,51,604,53,141,301,165,20,604,14,7,50.0,7,50.0,318,1622,776,15,10,3,12,7,382,54,19:45:00
ENG-Premier League,1819,Brighton,2019-03-02 Brighton-Huddersfield,2019-03-02,Matchweek 29,Sat,Home,W,1,0,Huddersfield,54,664,48,154,330,183,32,664,25,11,44.0,14,56.0,339,1938,1018,18,9,9,30,7,409,53,15:00:00
ENG-Premier League,1819,Brighton,2019-03-09 Crystal Palace-Brighton,2019-03-09,Matchweek 30,Sat,Away,W,2,1,Crystal Palace,38,543,74,229,229,94,9,543,16,3,18.8,13,81.3,245,1427,711,13,8,1,20,15,273,22,12:30:00
