,,,,date,round,day,venue,result,GF,GA,opponent,Poss,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,time
,,,,,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,2018-08-12,Matchweek 1,Sun,Home,L,0,2,Manchester City,42,559,93,241,212,111,15,559,7,5,71.4,2,28.6,276,1704,899,20,7,3,20,4,341,36,16:00:00
ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Away,L,2,3,Chelsea,38,571,76,239,224,115,19,571,12,5,41.7,7,58.3,301,1541,842,15,9,4,12,9,376,38,17:30:00
ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,2018-08-25,Matchweek 3,Sat,Home,W,3,1,West Ham,61,695,59,177,337,185,28,695,15,9,60.0,6,40.0,385,2099,1283,23,22,4,15,8,481,57,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Away,W,3,2,Cardiff City,72,786,63,192,395,204,36,786,11,6,54.5,5,45.5,445,2149,965,11,16,2,18,7,565,58,13:30:00
ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,2018-09-15,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,63,742,71,219,371,158,23,742,11,6,54.5,5,45.5,400,2139,1036,16,13,5,10,15,529,54,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,2018-09-23,Matchweek 6,Sun,Home,W,2,0,Everton,62,719,68,221,314,186,24,719,12,6,50.0,6,50.0,413,2150,1163,18,10,4,14,14,486,52,16:00:00
ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,2018-09-29,Matchweek 7,Sat,Home,W,2,0,Watford,63,693,82,222,294,182,20,693,15,7,46.7,8,53.3,470,2232,1098,21,13,2,10,12,468,52,15:00:00
ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,2018-10-07,Matchweek 8,Sun,Away,W,5,1,Fulham,52,664,77,249,300,118,31,664,14,8,57.1,6,42.9,329,1862,1044,21,11,11,11,10,428,48,12:00:00
