,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
,,,,,,,,,,,,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,2018-08-12,Matchweek 1,Sun,Home,L,0,2,Manchester City,0,9,3,33.3,0.0,0.0,18.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,16:00:00
ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Away,L,2,3,Chelsea,2,15,6,40.0,0.13,0.33,16.9,0,0,0,2.4,2.4,0.16,-0.4,-0.4,17:30:00
ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,2018-08-25,Matchweek 3,Sat,Home,W,3,1,West Ham,2,17,10,58.8,0.12,0.2,18.9,1,0,0,1.8,1.8,0.11,0.2,0.2,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Away,W,3,2,Cardiff City,3,17,11,64.7,0.18,0.27,16.1,0,0,0,1.7,1.7,0.1,1.3,1.3,13:30:00
ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,2018-09-15,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,2,12,2,16.7,0.17,1.0,17.0,1,0,0,1.0,1.0,0.08,1.0,1.0,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,2018-09-23,Matchweek 6,Sun,Home,W,2,0,Everton,2,9,5,55.6,0.22,0.4,18.3,0,0,0,0.8,0.8,0.09,1.2,1.2,16:00:00
ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,2018-09-29,Matchweek 7,Sat,Home,W,2,0,Watford,1,9,2,22.2,0.11,0.5,14.7,0,0,0,1.4,1.4,0.15,-0.4,-0.4,15:00:00
ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,2018-10-07,Matchweek 8,Sun,Away,W,5,1,Fulham,5,9,7,77.8,0.56,0.71,16.6,0,0,0,1.1,1.1,0.13,3.9,3.9,12:00:00
ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,2018-10-22,Matchweek 9,Mon,Home,W,3,1,Leicester City,3,19,6,31.6,0.16,0.5,17.7,2,0,0,2.7,2.7,0.14,0.3,0.3,20:00:00
ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,2,7,2,28.6,0.29,1.0,20.5,2,0,0,0.9,0.9,0.12,1.1,1.1,13:30:00
ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,2018-11-03,Matchweek 11,Sat,Home,D,1,1,Liverpool,1,12,4,33.3,0.08,0.25,15.3,0,0,0,1.4,1.4,0.11,-0.4,-0.4,17:30:00
ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,2018-11-11,Matchweek 12,Sun,Home,D,1,1,Wolves,1,10,3,30.0,0.1,0.33,20.4,0,0,0,0.9,0.9,0.09,0.1,0.1,16:30:00
ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Away,W,2,1,Bournemouth,1,20,4,20.0,0.05,0.25,17.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,2018-12-02,Matchweek 14,Sun,Home,W,4,2,Tottenham,4,21,5,23.8,0.14,0.6,17.3,0,1,1,2.7,1.9,0.09,1.3,1.1,14:05:00
ENG-Premier League,1819,Arsenal,2018-12-05 Manchester Utd-Arsenal,2018-12-05,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,1,9,4,44.4,0.11,0.25,16.2,0,0,0,1.1,1.1,0.16,-0.1,-0.1,20:00:00
