date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2022-09-04 19:45:00,Nice,Monaco,0,1,A,0,0,D,12,14,5,2,10,12,3,6,2,1,0,0
2022-09-04 14:00:00,Reims,Lens,1,1,D,0,0,D,17,20,4,4,9,11,4,4,2,2,0,1
2022-09-04 16:05:00,Troyes,Rennes,1,1,D,1,0,H,9,19,1,6,13,22,3,5,2,2,1,0
2022-09-07 18:00:00,Lorient,Lyon,3,1,H,2,1,H,11,15,6,7,8,18,1,6,1,3,0,0
2022-09-09 20:00:00,Lens,Troyes,1,0,H,1,0,H,12,7,3,2,16,10,9,1,2,1,0,0
2022-09-10 20:00:00,Marseille,Lille,2,1,H,1,1,D,14,7,7,3,22,17,4,3,5,1,0,0
2022-09-10 16:00:00,Paris SG,Brest,1,0,H,1,0,H,13,6,4,3,13,16,3,5,4,2,0,0
2022-09-11 14:00:00,Ajaccio,Nice,0,1,A,0,0,D,9,12,3,3,9,11,2,3,1,5,0,0
2022-09-11 14:00:00,Angers,Montpellier,2,1,H,1,1,D,11,7,5,2,15,12,2,5,2,4,0,0
2022-09-11 14:00:00,Lorient,Nantes,3,2,H,1,1,D,13,9,5,4,9,17,2,5,2,3,0,0
2022-09-11 19:45:00,Monaco,Lyon,2,1,H,0,0,D,11,20,4,6,12,9,1,6,1,2,0,0
2022-09-11 16:05:00,Rennes,Auxerre,5,0,H,1,0,H,12,7,9,3,11,9,2,1,1,0,0,0
2022-09-11 12:00:00,Strasbourg,Clermont,0,0,D,0,0,D,12,10,4,4,20,15,3,5,4,2,1,0
2022-09-11 14:00:00,Toulouse,Reims,1,0,H,1,0,H,14,11,3,1,17,11,4,6,2,2,0,1
2022-09-16 20:00:00,Auxerre,Lorient,1,3,A,0,3,A,17,12,5,8,13,11,9,5,3,1,0,0
2022-09-17 20:00:00,Lille,Toulouse,2,1,H,1,0,H,10,14,4,5,20,14,5,7,2,0,0,0
2022-09-17 16:00:00,Montpellier,Strasbourg,2,1,H,1,0,H,10,8,4,2,11,20,8,6,4,4,0,0
2022-09-18 14:00:00,Brest,Ajaccio,0,1,A,0,0,D,8,6,4,4,13,12,6,2,2,2,0,0
2022-09-18 14:00:00,Clermont,Troyes,1,3,A,1,1,D,14,9,2,4,8,15,5,1,0,3,0,0
2022-09-18 19:45:00,Lyon,Paris SG,0,1,A,0,1,A,12,15,3,8,14,4,3,7,0,2,0,0
2022-09-18 14:00:00,Marseille,Rennes,1,1,D,0,1,A,15,12,4,4,13,13,11,7,3,4,0,0
2022-09-18 16:05:00,Nantes,Lens,0,0,D,0,0,D,12,8,4,2,14,14,3,7,1,1,0,0
