fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
197297,,2013-12-01,,Stadio Sant'Elia (Cagliari),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 14,490,Cagliari,https://media-4.api-sports.io/football/teams/490.png,0,488,Sassuolo,https://media-4.api-sports.io/football/teams/488.png,0,2,2,0,2,2,2,75,1589.51831055,91,1537.78564453
197301,,2013-12-02,,Stadio Artemio Franchi (Firenze),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 14,502,Fiorentina,https://media-4.api-sports.io/football/teams/502.png,True,504,Verona,https://media-4.api-sports.io/football/teams/504.png,False,4,3,3,2,4,3,22,1754.07067871,77,1579.87524414
197302,,2013-12-02,,Stadio Olimpico (Roma),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 14,487,Lazio,https://media-4.api-sports.io/football/teams/487.png,False,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,True,2,4,1,1,2,4,48,1671.18518066,20,1763.65734863
197303,,2013-12-06,,Stadio Renato Dall'Ara (Bologna),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,500,Bologna,https://media-4.api-sports.io/football/teams/500.png,False,496,Juventus,https://media-4.api-sports.io/football/teams/496.png,True,0,2,0,1,0,2,81,1574.2635498,11,1868.92053223
197305,,2013-12-07,,Stadio San Paolo (Napoli),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,0,494,Udinese,https://media-4.api-sports.io/football/teams/494.png,0,3,3,2,1,3,3,20,1770.38378906,54,1659.7746582
197321,,2013-12-15,,Stadio San Paolo (Napoli),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 16,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,True,505,Inter,https://media-4.api-sports.io/football/teams/505.png,False,4,2,3,2,4,2,20,1770.38378906,40,1679.80004883
197310,,2013-12-08,,Stadio Città del Tricolore (Reggio Emilia),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,488,Sassuolo,https://media-4.api-sports.io/football/teams/488.png,False,491,Chievo,https://media-4.api-sports.io/football/teams/491.png,True,0,1,0,0,0,1,93,1533.32067871,76,1585.11669922
197309,,2013-12-08,,Stadio Comunale Luigi Ferraris (Genova),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,498,Sampdoria,https://media-4.api-sports.io/football/teams/498.png,True,1580,Catania,https://media-4.api-sports.io/football/teams/1580.png,False,2,0,0,0,2,0,89,1549.84765625,84,1563.51745605
197312,,2013-12-08,,Stadio Giuseppe Meazza (Milano),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,505,Inter,https://media-4.api-sports.io/football/teams/505.png,0,523,Parma,https://media-4.api-sports.io/football/teams/523.png,0,3,3,1,2,3,3,40,1679.80004883,67,1627.85900879
197307,,2013-12-08,,Stadio Sant'Elia (Cagliari),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2013,Regular Season - 15,490,Cagliari,https://media-4.api-sports.io/football/teams/490.png,True,495,Genoa,https://media-4.api-sports.io/football/teams/495.png,False,2,1,0,1,2,1,72,1594.20581055,74,1587.95532227
