fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away
196112,,2010-08-28,,Millerntor-Stadion (Hamburg),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 2,186,FC St. Pauli,https://media-4.api-sports.io/football/teams/186.png,False,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,True,0,1,0,0,0,1
196113,,2010-08-29,,BayArena (Leverkusen),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 2,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,False,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,True,3,6,1,3,3,6
196114,,2010-08-29,,Mercedes-Benz-Arena (Stuttgart),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 2,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,False,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,1,3,0,3,1,3
196115,,2010-09-10,,Wirsol Rhein-Neckar-Arena (Sinsheim),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,True,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,False,2,0,1,0,2,0
196121,,2010-09-11,,Allianz-Arena (München),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,0,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,0,0,0,0,0,0,0
196120,,2010-09-11,,AWD-Arena (Hannover),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,0,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,0,2,2,1,0,2,2
196118,,2010-09-11,,Stadion im BORUSSIA-PARK (Mönchengladbach),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,False,169,Eintracht Frankfurt,https://media-4.api-sports.io/football/teams/169.png,True,0,4,0,2,0,4
196116,,2010-09-11,,Signal-Iduna-Park (Dortmund),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,161,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,False,2,0,0,0,2,0
196119,,2010-09-11,,MAGE SOLAR Stadion (Freiburg im Breisgau),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,True,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,False,2,1,0,1,2,1
196117,,2010-09-11,,Imtech Arena (Hamburg),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,0,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,0,1,1,0,0,1,1
196122,,2010-09-12,,Stadion am Bruchweg (Mainz),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,True,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,False,2,1,0,1,2,1
196123,,2010-09-12,,RheinEnergieStadion (Köln),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 3,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,True,186,FC St. Pauli,https://media-4.api-sports.io/football/teams/186.png,False,1,0,1,0,1,0
196124,,2010-09-17,,Commerzbank-Arena (Frankfurt am Main),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 4,169,Eintracht Frankfurt,https://media-4.api-sports.io/football/teams/169.png,False,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,True,0,1,0,0,0,1
196125,,2010-09-18,,Allianz-Arena (München),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 4,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,0,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,0,0,0,0,0,0,0
196126,,2010-09-18,,Weserstadion (Bremen),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 4,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,False,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,True,0,2,0,0,0,2
196127,,2010-09-18,,Mercedes-Benz-Arena (Stuttgart),,Match Finished,FT,90,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2010,Regular Season - 4,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,True,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,False,7,0,2,0,7,0
