,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
ENG-Premier League,1920,Aston Villa,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Away,L,2,3,Arsenal,365,323,42,14,0,3,25,8,4,2,1,0,281,0,1,16:30:00
ENG-Premier League,1920,Aston Villa,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Home,D,2,2,Burnley,472,411,59,16,0,3,27,24,7,2,0,0,351,2,8,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-05 Norwich City-Aston Villa,2019-10-05,Matchweek 8,Sat,Away,W,5,1,Norwich City,390,336,53,13,0,8,17,22,6,2,2,0,293,1,9,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Home,W,2,1,Brighton,495,447,47,14,0,4,31,15,7,6,0,0,399,1,7,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-26 Manchester City-Aston Villa,2019-10-26,Matchweek 10,Sat,Away,L,0,3,Manchester City,381,331,48,11,0,1,18,14,7,4,0,0,292,2,11,12:30:00
ENG-Premier League,1920,Aston Villa,2019-11-02 Aston Villa-Liverpool,2019-11-02,Matchweek 11,Sat,Home,L,1,2,Liverpool,266,207,56,11,1,1,13,22,2,0,0,0,151,3,10,15:00:00
ENG-Premier League,1920,Aston Villa,2019-11-10 Wolves-Aston Villa,2019-11-10,Matchweek 12,Sun,Away,L,1,2,Wolves,429,375,53,16,0,6,27,21,3,2,1,0,325,1,8,14:00:00
ENG-Premier League,1920,Aston Villa,2019-11-25 Aston Villa-Newcastle Utd,2019-11-25,Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,546,501,44,10,1,6,28,17,11,8,0,0,452,1,7,20:00:00
ENG-Premier League,1920,Aston Villa,2019-12-01 Manchester Utd-Aston Villa,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Manchester Utd,356,298,54,17,2,6,24,15,9,4,1,0,238,4,10,16:30:00
ENG-Premier League,1920,Aston Villa,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Away,L,1,2,Chelsea,396,342,53,18,1,4,23,19,5,5,0,0,302,1,5,19:30:00
ENG-Premier League,1920,Aston Villa,2019-12-08 Aston Villa-Leicester City,2019-12-08,Matchweek 16,Sun,Home,L,1,4,Leicester City,361,302,59,16,0,8,31,20,8,3,2,1,262,0,9,14:00:00
ENG-Premier League,1920,Aston Villa,2019-12-14 Sheffield Utd-Aston Villa,2019-12-14,Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,448,389,59,11,1,4,15,32,2,2,0,0,310,0,7,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-21 Aston Villa-Southampton,2019-12-21,Matchweek 18,Sat,Home,L,1,3,Southampton,497,440,55,17,0,4,27,23,7,2,3,1,378,2,11,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-26 Aston Villa-Norwich City,2019-12-26,Matchweek 19,Thu,Home,W,1,0,Norwich City,418,367,50,12,1,1,26,22,5,3,2,0,300,1,7,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-28 Watford-Aston Villa,2019-12-28,Matchweek 20,Sat,Away,L,0,3,Watford,484,430,51,17,0,3,22,21,3,2,0,0,384,3,3,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Away,W,2,1,Burnley,360,309,50,14,0,2,13,17,4,2,0,0,240,1,6,12:30:00
ENG-Premier League,1920,Aston Villa,2020-01-12 Aston Villa-Manchester City,2020-01-12,Matchweek 22,Sun,Home,L,1,6,Manchester City,389,343,45,11,0,0,7,14,2,0,1,1,313,1,9,16:30:00
ENG-Premier League,1920,Aston Villa,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Away,D,1,1,Brighton,452,395,53,12,0,3,20,29,4,0,2,0,325,4,14,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-21 Aston Villa-Watford,2020-01-21,Matchweek 24,Tue,Home,W,2,1,Watford,630,568,62,21,0,3,36,31,6,3,3,0,492,0,17,19:30:00
ENG-Premier League,1920,Aston Villa,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Away,L,1,2,Bournemouth,517,458,56,11,0,6,24,28,8,5,0,1,380,3,11,15:00:00
ENG-Premier League,1920,Aston Villa,2020-02-16 Aston Villa-Tottenham,2020-02-16,Matchweek 26,Sun,Home,L,2,3,Tottenham,511,449,62,10,2,3,29,30,12,12,0,0,381,0,17,14:00:00
ENG-Premier League,1920,Aston Villa,2020-02-22 Southampton-Aston Villa,2020-02-22,Matchweek 27,Sat,Away,L,0,2,Southampton,454,394,58,13,1,5,20,25,6,5,0,0,324,2,9,15:00:00
ENG-Premier League,1920,Aston Villa,2020-03-09 Leicester City-Aston Villa,2020-03-09,Matchweek 29,Mon,Away,L,0,4,Leicester City,344,282,60,18,0,2,10,27,0,0,0,0,234,2,7,20:00:00
ENG-Premier League,1920,Aston Villa,2020-06-17 Aston Villa-Sheffield Utd,2020-06-17,Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,445,385,59,14,0,9,26,28,12,4,5,2,340,1,8,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Home,L,1,2,Chelsea,277,223,54,16,0,2,10,19,2,1,0,0,176,0,3,16:15:00
ENG-Premier League,1920,Aston Villa,2020-06-24 Newcastle Utd-Aston Villa,2020-06-24,Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,424,375,49,15,1,1,34,17,9,4,4,0,312,0,2,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-27 Aston Villa-Wolves,2020-06-27,Matchweek 32,Sat,Home,L,0,1,Wolves,458,414,44,18,0,6,15,15,2,1,0,1,367,0,3,12:30:00
ENG-Premier League,1920,Aston Villa,2020-07-05 Liverpool-Aston Villa,2020-07-05,Matchweek 33,Sun,Away,L,0,2,Liverpool,312,253,54,18,0,6,18,23,5,3,0,0,199,5,8,16:30:00
ENG-Premier League,1920,Aston Villa,2020-07-09 Aston Villa-Manchester Utd,2020-07-09,Matchweek 34,Thu,Home,L,0,3,Manchester Utd,353,301,50,13,0,5,16,21,3,3,0,0,264,2,7,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-12 Aston Villa-Crystal Palace,2020-07-12,Matchweek 35,Sun,Home,W,2,0,Crystal Palace,363,306,56,20,0,11,24,21,5,3,2,0,258,1,7,14:15:00
ENG-Premier League,1920,Aston Villa,2020-07-16 Everton-Aston Villa,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Everton,412,357,55,14,1,4,27,18,5,4,0,0,313,0,6,18:00:00
ENG-Premier League,1920,Aston Villa,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Home,W,1,0,Arsenal,303,254,48,20,0,3,24,13,8,3,3,0,216,1,8,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-26 West Ham-Aston Villa,2020-07-26,Matchweek 38,Sun,Away,D,1,1,West Ham,323,261,61,15,0,3,14,29,7,3,1,0,217,1,6,16:00:00
ENG-Premier League,1920,Bournemouth,2019-08-10 Bournemouth-Sheffield Utd,2019-08-10,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,532,472,59,18,0,3,14,27,3,1,1,0,411,1,12,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Away,W,2,1,Aston Villa,328,280,46,14,0,3,14,14,5,2,0,0,229,2,8,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-25 Bournemouth-Manchester City,2019-08-25,Matchweek 3,Sun,Home,L,1,3,Manchester City,275,237,36,16,1,2,15,7,4,4,0,0,186,2,7,14:00:00
ENG-Premier League,1920,Bournemouth,2019-08-31 Leicester City-Bournemouth,2019-08-31,Matchweek 4,Sat,Away,L,1,3,Leicester City,479,430,48,11,1,2,17,21,5,2,2,0,362,1,18,15:00:00
ENG-Premier League,1920,Bournemouth,2019-09-15 Bournemouth-Everton,2019-09-15,Matchweek 5,Sun,Home,W,3,1,Everton,376,317,55,11,2,0,7,23,7,3,2,0,252,4,10,14:00:00
ENG-Premier League,1920,Bournemouth,2019-09-20 Southampton-Bournemouth,2019-09-20,Matchweek 6,Fri,Away,W,3,1,Southampton,339,284,53,8,0,2,10,22,5,2,3,0,202,2,20,20:00:00
ENG-Premier League,1920,Bournemouth,2019-09-28 Bournemouth-West Ham,2019-09-28,Matchweek 7,Sat,Home,D,2,2,West Ham,513,458,53,10,2,3,17,30,6,4,1,0,390,2,9,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Away,L,0,1,Arsenal,441,395,46,12,1,1,16,17,5,3,2,0,333,0,11,14:00:00
ENG-Premier League,1920,Bournemouth,2019-10-19 Bournemouth-Norwich City,2019-10-19,Matchweek 9,Sat,Home,D,0,0,Norwich City,473,418,53,12,1,3,33,28,6,5,0,0,360,2,8,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-26 Watford-Bournemouth,2019-10-26,Matchweek 10,Sat,Away,D,0,0,Watford,557,502,52,17,1,1,25,17,10,5,4,0,448,3,10,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-02 Bournemouth-Manchester Utd,2019-11-02,Matchweek 11,Sat,Home,W,1,0,Manchester Utd,403,353,49,15,1,4,13,21,4,1,0,0,286,1,13,12:30:00
ENG-Premier League,1920,Bournemouth,2019-11-09 Newcastle Utd-Bournemouth,2019-11-09,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,620,569,50,13,0,2,24,25,4,2,1,0,508,1,7,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-23 Bournemouth-Wolves,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Wolves,487,436,51,16,2,3,18,21,5,4,1,0,383,0,13,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-30 Tottenham-Bournemouth,2019-11-30,Matchweek 14,Sat,Away,L,2,3,Tottenham,499,449,50,10,2,5,23,20,8,3,5,0,382,0,12,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Away,L,0,1,Crystal Palace,631,589,42,7,0,5,30,18,9,6,2,0,525,0,8,19:30:00
ENG-Premier League,1920,Bournemouth,2019-12-07 Bournemouth-Liverpool,2019-12-07,Matchweek 16,Sat,Home,L,0,3,Liverpool,332,291,36,6,0,0,3,15,1,0,0,0,217,5,7,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Away,W,1,0,Chelsea,342,291,50,12,1,3,16,27,4,4,0,0,219,1,7,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Burnley,497,441,54,21,1,4,21,24,4,3,0,0,373,2,9,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Home,D,1,1,Arsenal,432,377,54,12,1,5,19,21,8,3,3,0,331,1,13,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Away,L,0,2,Brighton,446,401,45,12,0,3,8,19,2,0,2,0,342,0,9,12:30:00
ENG-Premier League,1920,Bournemouth,2020-01-01 West Ham-Bournemouth,2020-01-01,Matchweek 21,Wed,Away,L,0,4,West Ham,658,617,38,4,2,3,15,19,2,1,1,0,561,3,11,17:30:00
ENG-Premier League,1920,Bournemouth,2020-01-12 Bournemouth-Watford,2020-01-12,Matchweek 22,Sun,Home,L,0,3,Watford,587,529,58,17,0,4,21,25,5,1,4,0,450,0,14,14:00:00
ENG-Premier League,1920,Bournemouth,2020-01-18 Norwich City-Bournemouth,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Norwich City,356,308,45,9,0,1,14,17,5,4,1,0,238,3,6,15:00:00
ENG-Premier League,1920,Bournemouth,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Home,W,3,1,Brighton,330,286,42,12,0,1,10,12,5,4,0,0,215,2,12,19:30:00
ENG-Premier League,1920,Bournemouth,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Home,W,2,1,Aston Villa,342,285,56,16,1,2,13,23,1,0,0,0,214,1,10,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-09 Sheffield Utd-Bournemouth,2020-02-09,Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,433,385,47,10,0,5,15,22,4,2,0,0,308,1,7,14:00:00
ENG-Premier League,1920,Bournemouth,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Away,L,0,3,Burnley,484,440,43,9,1,1,22,22,3,1,1,0,373,1,8,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Home,D,2,2,Chelsea,332,291,40,7,0,0,11,17,4,0,3,0,226,1,10,15:00:00
ENG-Premier League,1920,Bournemouth,2020-03-07 Liverpool-Bournemouth,2020-03-07,Matchweek 29,Sat,Away,L,1,2,Liverpool,282,236,41,10,4,1,14,16,4,1,2,0,162,5,7,12:30:00
ENG-Premier League,1920,Bournemouth,2020-06-20 Bournemouth-Crystal Palace,2020-06-20,Matchweek 30,Sat,Home,L,0,2,Crystal Palace,534,477,55,16,0,3,16,20,11,4,5,0,437,2,10,19:45:00
ENG-Premier League,1920,Bournemouth,2020-06-24 Wolves-Bournemouth,2020-06-24,Matchweek 31,Wed,Away,L,0,1,Wolves,396,340,54,13,1,2,16,26,4,1,3,0,291,2,14,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-01 Bournemouth-Newcastle Utd,2020-07-01,Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,541,495,44,10,0,5,16,19,6,5,0,0,441,2,5,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-04 Manchester Utd-Bournemouth,2020-07-04,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,317,276,37,6,0,1,9,15,3,2,0,0,232,4,4,15:00:00
ENG-Premier League,1920,Bournemouth,2020-07-09 Bournemouth-Tottenham,2020-07-09,Matchweek 34,Thu,Home,D,0,0,Tottenham,317,261,55,14,0,2,21,22,8,7,0,0,204,1,16,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-12 Bournemouth-Leicester City,2020-07-12,Matchweek 35,Sun,Home,W,4,1,Leicester City,475,424,47,12,0,4,15,26,2,2,0,0,336,4,12,19:00:00
ENG-Premier League,1920,Bournemouth,2020-07-15 Manchester City-Bournemouth,2020-07-15,Matchweek 36,Wed,Away,L,1,2,Manchester City,318,270,46,11,1,2,20,20,5,2,3,0,200,2,7,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-19 Bournemouth-Southampton,2020-07-19,Matchweek 37,Sun,Home,L,0,2,Southampton,354,290,62,12,1,0,31,31,12,10,2,0,199,2,12,14:00:00
ENG-Premier League,1920,Bournemouth,2020-07-26 Everton-Bournemouth,2020-07-26,Matchweek 38,Sun,Away,W,3,1,Everton,329,288,40,9,0,1,24,21,5,0,3,0,216,1,14,16:00:00
ENG-Premier League,1920,Brighton,2019-08-10 Watford-Brighton,2019-08-10,Matchweek 1,Sat,Away,W,3,0,Watford,484,436,45,15,1,8,12,19,2,1,1,0,370,3,14,15:00:00
ENG-Premier League,1920,Brighton,2019-08-17 Brighton-West Ham,2019-08-17,Matchweek 2,Sat,Home,D,1,1,West Ham,560,498,60,13,0,5,25,30,8,5,2,0,439,2,8,15:00:00
ENG-Premier League,1920,Brighton,2019-08-24 Brighton-Southampton,2019-08-24,Matchweek 3,Sat,Home,L,0,2,Southampton,450,393,56,10,1,8,18,30,8,4,3,0,329,1,14,15:00:00
ENG-Premier League,1920,Brighton,2019-08-31 Manchester City-Brighton,2019-08-31,Matchweek 4,Sat,Away,L,0,4,Manchester City,557,511,43,10,1,7,10,15,1,1,0,0,472,3,6,15:00:00
ENG-Premier League,1920,Brighton,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Home,D,1,1,Burnley,543,486,55,9,2,7,16,33,3,1,1,0,402,2,15,15:00:00
ENG-Premier League,1920,Brighton,2019-09-21 Newcastle Utd-Brighton,2019-09-21,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,773,725,45,12,1,4,17,21,3,2,1,0,670,3,14,17:30:00
ENG-Premier League,1920,Brighton,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Away,L,0,2,Chelsea,543,509,32,6,2,10,13,16,2,1,1,0,443,2,6,15:00:00
ENG-Premier League,1920,Brighton,2019-10-05 Brighton-Tottenham,2019-10-05,Matchweek 8,Sat,Home,W,3,0,Tottenham,541,503,37,7,2,5,16,21,4,2,1,0,438,1,14,12:30:00
ENG-Premier League,1920,Brighton,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Aston Villa,512,470,42,10,1,2,17,12,5,2,3,0,423,0,7,15:00:00
ENG-Premier League,1920,Brighton,2019-10-26 Brighton-Everton,2019-10-26,Matchweek 10,Sat,Home,W,3,2,Everton,578,532,43,11,1,3,8,22,0,0,0,0,466,3,5,15:00:00
ENG-Premier League,1920,Brighton,2019-11-02 Brighton-Norwich City,2019-11-02,Matchweek 11,Sat,Home,W,2,0,Norwich City,582,540,39,9,0,7,19,17,8,0,6,0,480,3,11,15:00:00
ENG-Premier League,1920,Brighton,2019-11-10 Manchester Utd-Brighton,2019-11-10,Matchweek 12,Sun,Away,L,1,3,Manchester Utd,538,484,50,10,1,7,14,26,2,1,1,0,427,4,10,14:00:00
